code_func_type,count,percentage
Algorithm and data structure,32,20.382165605095544
Business logic,8,5.095541401273886
Concurrency and multithreading,5,3.1847133757961785
Configuration and deployment,14,8.9171974522293
Data processing and transformation,30,19.10828025477707
File operations and I/O operation,13,8.280254777070063
Framework and library,7,4.45859872611465
Game development,7,4.45859872611465
Network requests and API call,5,3.1847133757961785
Program input code,1,0.6369426751592357
Security,1,0.6369426751592357
Testing and debugging,20,12.738853503184714
User interface,14,8.9171974522293
