path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line
Whisper\8c4603c73675958efc960fbd4bb599a2909d106a\Whisper\ML\testUtils.h,7,written by chatgpt,,
llios\cab7b781f0dfe8df99b80f649fae035250938c16\macho_parser\sources\utils\hexdump.cpp,5,written by chatgpt,,
my-examples-for-the-arduino-portentaH7\c7d643d8d9cf1289b911f96da69f2fbd31512b22\research\i2c-orange\a02.ino,1,written by chatgpt,,
audience-minutes\ae0d0c1681f6f948190b7db2fe7f38cd383cb117\access2sql.cc,120,written by chatgpt,,
taqtie\2a8caf9090aee2914520dedcbd368f2f6691859f\helpers\time_helpers.cpp,8,written by chatgpt,,
casio-emu\1e01249f43b71a4ac55e02a7447b81b1de7dd492\src\gui\qt\gui.cpp,20,written by chatgpt,,
RiceGPT\918e5125cca68141f783e75224b109f1516d6117\src\kocik.cpp,2,written by chatgpt,,
MusicSchmmusic\29c8377caa22d96afa09f3f1fa3bba5db3a82625\stafflist.cpp,9,written by chatgpt,,
SCT-HWs\b6af24039f4d1c0eb8fd779cc2fae915f6a8cb7d\HW1\Q3\main.cpp,3,written by chatgpt,,
bagconv\260d097f17ba53dde36a8e5265b92aebdb78cdb6\bagconv.cc,101,written by chatgpt,,
Duke-ECE-551\a8f52255e06d04d606aab7af4de5642a6592e5fc\ece551\070_circle\circle.cpp,29,written by chatgpt,,
CUDA-Stuff\818ebbe25b981d37538cb07467e9853365603abe\Mesh\Delaunay-Triangulation\01-ChatGPT.cpp,1,written by chatgpt,,
NumericParser\f35a211e3621db8db305869abfc527cb77acf66f\NumericParser\NumericParser.cpp,1,written by chatgpt,,
sm-rfc-replace\7c197bd22cfef9d93a7277739ccfaf72e4e7050e\sm-replychain-tools\sm-replychain-tools\sm-replychain-tools.cpp,295,written by chatgpt,,
CPP-Udemy-Course\a356745c6eb58a3ebe9e39057c847c38e4ba9c5e\section 5 - Functions\TicTacToe\ChatGPT-generated\main.cpp,1,written by chatgpt,,
hmc-cowBell-clinic\7f30508a1c7a5eed81e5bcf7703a9446d7dfcc9c\custom_emitter_team\DualFlowControlScriptV3_PID_bad\DualFlowControlScriptV3_PID.ino,4,written by chatgpt,,
SplitEngine\d1cb5513f094f252be5bd09f026abbedc02bc983\include\SplitEngine\DataStructures.hpp,58,written by chatgpt,,
Duke-ECE-551\a8f52255e06d04d606aab7af4de5642a6592e5fc\ece551\070_circle\circle.hpp,25,written by chatgpt,,
SpaceportAmericaCup23-24\cc47139ee957bc8893a0b5c2438f4712ebc148e2\kalman_extended\src\autodiff.hpp,8,written by chatgpt,,
CUDA-Stuff\fbfb853c21ba7c738065ccf0bf886405d1b5bd39\Algorithms\Splines\De-Boors-Algorithm\02-ChatGPT-Fail.cpp,1,written by chatgpt,,
Rubix\8c0f3de793c33d360bbaf209075d44d1a27ee0ec\cube.cpp,269,written by chatgpt,,
CUDA-Stuff\41f0a06f83b76d4bc244a775c3182a8d01dc3bb2\Simulations\Bouncing-Balls\1D\02-ChatGPT-Works-N-Steps.cpp,1,written by chatgpt,,
CUDA-Stuff\a6bf1f814bdc300529b602e84c68fdaa75ca116b\Machine-Learning\Feed-Forward-Networks\01-ChatGPT-Works.cpp,1,written by chatgpt,,
CUDA-Stuff\f61b47683c87acf0dbd27ca2c641cd4795a1ad06\Games-and-Graphics\Perlin-Noise\01-ChatGPT.cpp,1,written by chatgpt,,
Projects\d68ea626972acb7e7dc753053da7cccab455f6ab\MazeSolvingAlgorithmVisualizer\src\MazeGenerator.cpp,12,written by chatgpt,,
RocketsOledArduinoGame\ab2c267c598b22f49be97b42dc631f54c74d13db\RocketsFinalGame.ino,2,written by chatgpt,,
CUDA-Stuff\6766caa208cbce0e5d0507e8fe6cf4c6ccec6d5b\Machine-Learning\Backward-Pass\Stochastic-Gradient-Descent-SGD\02-ChatGPT-Works.cpp,1,written by chatgpt,,
CUDA-Stuff\60eaa35c4475937c071eaf8824b261d3f4e1f4f3\Algorithms\Problems\Smallest-Bounding-Circle\03-ChatGPT-Works.cpp,1,written by chatgpt,,
Cpp-ML-Framework\dbb65d5f49a6e76930b83d8be7ac8a38348afcbf\src\dataset\Dataset.cpp,18,written by chatgpt,,
CUDA-Stuff\2ccbef5cf684ee8a8143a2c702586ddfc81210f6\Games-and-Graphics\Wave-Function-Collapse\01-ChatGPT-Jan-30-Version.cpp,1,written by chatgpt,,
FilterKruskal\402b666bfde436d80beb9bff409d7c278807c9c2\filterKruskal.cpp,171,written by chatgpt,,
CUDA-Stuff\87287ed3d4afde8fc62da95850656c7fbb0f6873\Math\Numerical\Least-Squares\01-ChatGPT-Eigen.cpp,1,written by chatgpt,,
llios\de58e5a6d77d30f6fd553cf4d21e9c7a04c4452c\macho_parser\sources\utils\compression.cpp,6,written by chatgpt,,
Rubix\1c48eadc5b37db58ad033b8fb67e74241832f5a2\mini_cube.cpp,432,written by chatgpt,,
CUDA-Stuff\1081660c0b5a5fa0c32319996132f90c58a20e3f\Algorithms\Filtering\Bayesian\03-ChatGPT-Fail-Lunar-Lander.cpp,1,written by chatgpt,,
hmc-cowBell-clinic\5d4cf4c81ce315363a336e0ac66acd68d58be95c\custom_emitter_team\DualFlowControlScriptV4_messy\DualFlowControlScriptV4_messy.ino,3,written by chatgpt,,
CUDA-Stuff\fbfb853c21ba7c738065ccf0bf886405d1b5bd39\Algorithms\Splines\De-Boors-Algorithm\03-ChatGPT-Fail.cpp,1,written by chatgpt,,
CUDA-Stuff\bc79d18b0c8e10384404647754e8c7f9aca95c2c\Math\Linear-Algebra\Addition\051-ChatGPT-Works-CPP-Lib.h,1,written by chatgpt,,
CUDA-Stuff\204049e53cd49a8a29b8919d24a728b0bca83985\Math\Linear-Algebra\Row-Reduction\01-ChatGPT.cpp,1,written by chatgpt,,
CUDA-Stuff\3150251fbe3487ef7ad4613fca708108f3d47e9e\Games-and-Graphics\Perlin-Noise\02-ChatGPT-Save-Image.cpp,1,written by chatgpt,,
Complete-Data-Structures-Algorithms\9bc8ef3883920e056036c022c38048ba4d6970eb\Miscellaneous Folder\LEETCODE_KokoEatingBananas.CPP,35,written by chatgpt,,
CUDA-Stuff\7fb8f0cfbe117e10db367465ec1f67022860f6dc\Mesh\Delaunay-Triangulation\04-ChatGPT-Works-Export-Edges.cpp,1,written by chatgpt,,
CUDA-Stuff\60eaa35c4475937c071eaf8824b261d3f4e1f4f3\Algorithms\Problems\Smallest-Bounding-Circle\01-ChatGPT-Runs.cpp,1,written by chatgpt,,
CUDA-Stuff\fbfb853c21ba7c738065ccf0bf886405d1b5bd39\Algorithms\Splines\De-Boors-Algorithm\01-ChatGPT-Fail.cpp,1,written by chatgpt,,
CUDA-Stuff\1081660c0b5a5fa0c32319996132f90c58a20e3f\Algorithms\Filtering\Bayesian\01-ChatGPT-Runs.cpp,1,written by chatgpt,,
hmc-cowBell-clinic\dc7ae7b79b65b7a215ff41a01962a93b582fabcc\custom_emitter_team\read_3300_3400\read_3300_3400.ino,3,written by chatgpt,,
hmc-cowBell-clinic\a40faaab771c34025d41dc72a89679d69b20741d\custom_emitter_team\DualFlowControlScriptV3_PID_printall\DualFlowControlScriptV3_PID_printall.ino,4,written by chatgpt,,
CUDA-Stuff\bc79d18b0c8e10384404647754e8c7f9aca95c2c\Math\Linear-Algebra\Addition\050-ChatGPT-Fail-CPP-Lib.h,1,written by chatgpt,,
CUDA-Stuff\0067680e26e0861f5ead7414ed397fe84df8e126\Algorithms\Problems\Largest-Empty-Circle\03-ChatGPT-Works-OpenCV.cpp,1,written by chatgpt,,
hmc-cowBell-clinic\dc7ae7b79b65b7a215ff41a01962a93b582fabcc\custom_emitter_team\DualFlowControlScriptV3\DualFlowControlScriptV3.ino,3,written by chatgpt,,
CUDA-Stuff\dbd49cb2ab7a0e5c4faa3950db693fbb8bf4d029\Algorithms\Problems\Convex-Hull\02-ChatGPT-Fail.cpp,1,written by chatgpt,,
hmc-cowBell-clinic\cd1a8989e5ee12043176453dfb09e6eaa23e3b23\custom_emitter_team\DualFlowControlScriptV5\DualFlowControlScriptV5.ino,3,written by chatgpt,,
CUDA-Stuff\41f0a06f83b76d4bc244a775c3182a8d01dc3bb2\Simulations\Bouncing-Balls\1D\03-ChatGPT-Works-Randomized.cpp,1,written by chatgpt,,
CUDA-Stuff\bc79d18b0c8e10384404647754e8c7f9aca95c2c\Math\Linear-Algebra\Addition\001-ChatGPT.cpp,1,written by chatgpt,,
REA\e11a344cf4f2768cfb9016a5f59f909c8c9d2e3a\include\REA\BitSet.hpp,29,written by chatgpt,,
hmc-cowBell-clinic\f8ed58e80a8ef0970e60babdec4f761e1dfd3fa5\custom_emitter_team\DualFlowControlScriptV4_motorlimit\DualFlowControlScriptV4_motorlimit.ino,3,written by chatgpt,,
CUDA-Stuff\38a238badf7c829fe7bfab62225e801897833db5\Mesh\Delaunay-Triangulation\03-ChatGPT-Fail.cpp,1,written by chatgpt,,
CUDA-Stuff\897d3d0cfec288688d9a39a4d4f65ac85515fa02\Algorithms\Problems\Closest-Pair-of-Points\02-ChatGPT-Fail.cpp,1,written by chatgpt,,
Raytracer-VoxPopuli\template\scene.cpp,-1,,,
glitch.gui\baed875860ee7259d3def4a0ec8cd3b51fdd1f0a\libacidcam_dll\acidcam_plugin_x64\examples\gpt2\plugin.cpp,1,written by chatgpt,,
hmc-cowBell-clinic\dc7ae7b79b65b7a215ff41a01962a93b582fabcc\custom_emitter_team\DualFlowControlScriptV3_messy\DualFlowControlScriptV3_messy.ino,3,written by chatgpt,,
CUDA-Stuff\0067680e26e0861f5ead7414ed397fe84df8e126\Algorithms\Problems\Largest-Empty-Circle\01-ChatGPT-Fail.cpp,1,written by chatgpt,,
