index,project_name,create_time,project_language,contributor,star,fork,issues,watch,project_commits,code_language,keyword_index,matched_keyword,path_of_first_file_commit,final_change_commit_path,code_granularity_data,code_func_type,number_of_bug_or_vulnerability_all_commit,start_end_line_data,first_loc,final_start_end_line_data,final_loc_add,final_loc_minus,final_change_type,test_code_data,regular_expression_data,number_of_commits,number_of_change_commit_to_first,change_commit_to_first_index,change_commit_to_first_hash,change_commit_to_first_blocks,number_of_all_change_commit,all_change_commit_index,all_change_commit_hash,all_change_commit_blocks,number_of_all_change_fix_commit,all_change_fix_commit_index,all_change_fix_commit_hash,all_change_fix_commit_blocks,project_lines,project_locs,project_statements,project_functions,project_classes,project_files,project_density_comments,project_comments,project_duplicated_lines,project_duplicated_blocks,project_duplicated_files,project_duplicated_lines_density,project_vulnerability,project_bugs,project_code_smells,project_sqale_index,project_sqale_debt_ratio,project_complexity_all,project_cognitive_complexity_all,project_complexity_mean_method,project_cognitive_complexity_mean_method,code_lines,code_locs,code_statements,code_functions,code_classes,code_files,code_density_comments,code_comments,code_duplicated_lines,code_duplicated_blocks,code_duplicated_files,code_duplicated_lines_density,code_code_smells,code_sqale_index,code_sqale_debt_ratio,code_complexity_all,code_cognitive_complexity_all,code_complexity_mean_method,code_cognitive_complexity_mean_method,manual_vs_gpt_loc_ratio,manual_vs_gpt_change_commit_ratio,manual_vs_gpt_change_fix_commit_ratio,code_vulnerability,code_bugs
5,casio-emu,2023-07-03 14:54:35,C,,21,2,1,2,33,C++,20,written by chatgpt,casio-emu\1e01249f43b71a4ac55e02a7447b81b1de7dd492\src\gui\qt\gui.cpp,casio-emu\9b93c55ee61b9aae699e5dede597810be588119d\src\gui\qt\gui.cpp,file,,7,"[1,187]",187,,,,,,,5,4,"[-2, -3, -4, -5]","['886df43d5f8f6b7ec5476999fbf3ac22720ab541', '5df7a2879686aef2e3bbfbcb7639d8f9348ac11c', '4046aa63a8d6b7070147d40e46e440d60b051734', '9b93c55ee61b9aae699e5dede597810be588119d']","[[{'highest_ratio': 0.9457166316941885, 'best_match_position': (1, 179)}], [{'highest_ratio': 0.9358129457434323, 'best_match_position': (1, 186)}], [{'highest_ratio': 0.76959158916296, 'best_match_position': (1, 224)}], [{'highest_ratio': 0.7606851288618537, 'best_match_position': (1, 228)}]]",4,"[-2, -3, -4, -5]","['886df43d5f8f6b7ec5476999fbf3ac22720ab541', '5df7a2879686aef2e3bbfbcb7639d8f9348ac11c', '4046aa63a8d6b7070147d40e46e440d60b051734', '9b93c55ee61b9aae699e5dede597810be588119d']","[[{'highest_ratio': 0.9457166316941885, 'best_match_position': (1, 179)}], [{'highest_ratio': 0.9358129457434323, 'best_match_position': (1, 186)}], [{'highest_ratio': 0.76959158916296, 'best_match_position': (1, 224)}], [{'highest_ratio': 0.7606851288618537, 'best_match_position': (1, 228)}]]",2,"[-4, -5]","['4046aa63a8d6b7070147d40e46e440d60b051734', '9b93c55ee61b9aae699e5dede597810be588119d']","[[{'highest_ratio': 0.76959158916296, 'best_match_position': (1, 224)}], [{'highest_ratio': 0.7606851288618537, 'best_match_position': (1, 228)}]]",70393,67829,1281,211,20,24,1.1,723,0,0,0,0.0,0,0,845,49065,2.4,221,5,1.05,0.02,187,103,64,10,2,1,23.1,31,0,0,0,0.0,13,199,6.4,14,5,1.4,0.5,,,,0,0
7,MusicSchmmusic,2023-06-25 22:13:14,C++,,0,0,0,1,7,C++,9,written by chatgpt,MusicSchmmusic\29c8377caa22d96afa09f3f1fa3bba5db3a82625\stafflist.cpp,,method,,0,"[9,27]",19,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],1161,820,383,74,3,35,4.4,38,0,0,0,0.0,0,0,319,2198,8.9,128,73,1.73,0.99,20,18,16,1,0,1,21.7,5,0,0,0,0.0,4,29,5.4,2,1,2.0,1.0,,,,0,0
8,SCT-HWs,2023-12-13 16:12:29,C++,,0,0,0,1,7,C++,3,written by chatgpt,SCT-HWs\b6af24039f4d1c0eb8fd779cc2fae915f6a8cb7d\HW1\Q3\main.cpp,,file,,0,"[1,59]",59,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],1617,650,449,60,4,10,13.1,98,0,0,0,0.0,0,0,142,1530,7.8,173,140,2.88,2.33,59,44,21,1,0,1,12.0,6,0,0,0,0.0,3,37,2.8,3,2,3.0,2.0,,,,0,0
9,bagconv,2023-05-02 18:06:44,C++,2,53,5,9,4,47,C++,101,written by chatgpt,bagconv\260d097f17ba53dde36a8e5265b92aebdb78cdb6\bagconv.cc,,method,,4,"[102,110]",9,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],49242,29487,17635,2090,275,11,15.6,5432,724,24,2,1.5,0,0,4062,47424,5.4,8187,6230,3.92,2.98,10,9,6,1,0,1,0.0,0,0,0,0,0.0,3,15,5.6,2,1,2.0,1.0,,,,0,0
10,Duke-ECE-551,2023-12-18 19:31:08,C++,,0,0,0,1,7,C++,29,written by chatgpt,Duke-ECE-551\a8f52255e06d04d606aab7af4de5642a6592e5fc\ece551\070_circle\circle.cpp,,file,,0,"[1,58]",58,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],5474,4147,2699,398,89,106,9.2,422,1072,29,23,19.6,0,0,966,9104,7.3,844,617,2.12,1.55,58,18,14,1,0,1,51.4,19,0,0,0,0.0,3,19,3.5,3,3,3.0,3.0,,,,0,0
12,NumericParser,2023-02-17 10:30:17,C++,,0,0,0,1,14,C++,1,written by chatgpt,NumericParser\f35a211e3621db8db305869abfc527cb77acf66f\NumericParser\NumericParser.cpp,NumericParser\713dd93fe2e2b5223eb4ebb609c57e4dd7637943\NumericParser\NumericParser.cpp,file,,2,"[1,144]",144,,,,,,,4,3,"[-2, -3, -4]","['3b4b5548068001f4813b8fa8428797d7743e7ba8', '208c5511ac130e9d2bd7565f31a942b18d708688', '713dd93fe2e2b5223eb4ebb609c57e4dd7637943']","[[{'highest_ratio': 0.9996094258560083, 'best_match_position': (1, 144)}], [{'highest_ratio': 0.9963456016705821, 'best_match_position': (1, 143)}], [{'highest_ratio': 0.07433545048223947, 'best_match_position': (1, 18)}]]",3,"[-2, -3, -4]","['3b4b5548068001f4813b8fa8428797d7743e7ba8', '208c5511ac130e9d2bd7565f31a942b18d708688', '713dd93fe2e2b5223eb4ebb609c57e4dd7637943']","[[{'highest_ratio': 0.9996094258560083, 'best_match_position': (1, 144)}], [{'highest_ratio': 0.9963456016705821, 'best_match_position': (1, 143)}], [{'highest_ratio': 0.07433545048223947, 'best_match_position': (1, 18)}]]",0,[],[],[],144,124,107,4,0,1,2.4,3,0,0,0,0.0,0,0,6,182,4.9,41,41,10.25,10.25,144,124,107,4,0,1,2.4,3,0,0,0,0.0,6,182,4.9,41,41,10.25,10.25,,,,0,0
13,sm-rfc-replace,2024-04-19 21:05:09,C++,,0,0,1,1,11,C++,295,written by chatgpt,sm-rfc-replace\7c197bd22cfef9d93a7277739ccfaf72e4e7050e\sm-replychain-tools\sm-replychain-tools\sm-replychain-tools.cpp,sm-rfc-replace\49dcbb1e3c7619723950159e05ada06949017046\sm-replychain-tools\sm-replychain-tools\sm-replychain-tools.cpp,method,,5,"[298,424]",127,,,,,,,4,3,"[-2, -3, -4]","['b968e34e685402a625ca366aed22f2d59b9f682f', '49dcbb1e3c7619723950159e05ada06949017046', 'a6aef5b40a6ba0b20e8e5c9bc83d03d56416a248']","[[{'highest_ratio': 0.8763415772281848, 'best_match_position': (355, 481)}], [{'highest_ratio': 0.19334948249284298, 'best_match_position': (322, 448)}], [{'highest_ratio': 0.19334948249284298, 'best_match_position': (338, 464)}]]",2,"[-2, -3]","['b968e34e685402a625ca366aed22f2d59b9f682f', '49dcbb1e3c7619723950159e05ada06949017046']","[[{'highest_ratio': 0.8763415772281848, 'best_match_position': (355, 481)}], [{'highest_ratio': 0.19334948249284298, 'best_match_position': (322, 448)}]]",1,[-3],['49dcbb1e3c7619723950159e05ada06949017046'],"[[{'highest_ratio': 0.19334948249284298, 'best_match_position': (322, 448)}]]",436,116,101,8,0,1,59.0,167,0,0,0,0.0,0,0,12,147,4.2,25,24,3.12,3.0,128,70,62,3,0,1,30.7,31,0,0,0,0.0,4,58,2.8,13,15,4.33,5.0,,,,0,0
17,Duke-ECE-551,2023-12-18 19:31:08,C++,,0,0,0,1,7,C++,25,written by chatgpt,Duke-ECE-551\a8f52255e06d04d606aab7af4de5642a6592e5fc\ece551\070_circle\circle.hpp,,file,,0,"[1,46]",46,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],5474,4147,2699,398,89,106,9.2,422,1072,29,23,19.6,0,0,966,9104,7.3,844,617,2.12,1.55,46,9,1,2,1,1,60.9,14,0,0,0,0.0,7,37,13.7,2,0,1.0,0.0,,,,0,0
18,SpaceportAmericaCup23-24,2023-09-04 14:07:11,C++,6,1,0,0,0,48,C++,8,written by chatgpt,SpaceportAmericaCup23-24\cc47139ee957bc8893a0b5c2438f4712ebc148e2\kalman_extended\src\autodiff.hpp,,file,,4,"[1,181]",181,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],938987,549024,312476,43815,9981,4235,18.1,121038,483410,6727,2073,51.5,0,0,172040,1382925,8.4,86937,62591,1.98,1.43,181,160,98,13,2,1,2.4,4,0,0,0,0.0,38,403,8.4,33,18,2.54,1.38,,,,0,0
24,Projects,2023-10-16 23:15:58,C++,,0,0,0,2,65,C++,12,written by chatgpt,Projects\d68ea626972acb7e7dc753053da7cccab455f6ab\MazeSolvingAlgorithmVisualizer\src\MazeGenerator.cpp,,method,,5,"[18,77]",60,,,,,,,2,0,[],[],[],0,[],[],[],0,[],[],[],16535,2930,1391,232,57,42,42.4,2156,1082,6,6,6.5,0,0,1605,10085,11.5,541,515,2.33,2.22,61,34,32,1,0,1,26.1,12,0,0,0,0.0,3,35,3.4,9,13,9.0,13.0,,,,0,0
