path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line
tooling-playground\7fa4cb085d016c118544e72bf332007780e4a732\PowershellStringCleaner\Program.cs,60,generated by chatgpt,,
Ten-Minute-Physics-Unity\6f7056e507ee48f060ebd74759489db45f01e5b7\Assets\_10 Minute Physics\_Standardized code\UsefulMethods.cs,268,generated by chatgpt,,
TextEditor\eb1d6fdf5355cd1c8ce0f22513f9031ecaf143db\MethodInjector\MethodInjector.cs,3,generated by chatgpt,,
csharp-Protoshift\07c47518589d738e7646c7f48dd2354707f9311d\csharp-Protoshift\Tools.cs,75,generated by chatgpt,,
Mosaic-Base\eb96ec58a509d1fc479f14e96b4862925850421b\Assets\Mosaic\Base\Pairs\Pair.cs,6,generated by chatgpt,,
CmlLib.Core.Auth.Microsoft\9e7b5269591104a097a647f23f25477092452609\src\XboxAuthNet.Game\Accounts\XboxGameAccountCollection.cs,97,generated by chatgpt,,
plang\da569fef3241229389e652bde18df962d5fe8fab\PLang\Services\CompilerService\CSharpCompiler.cs,143,generated by chatgpt,,
Student-Management-System\0c85c4615a523daf28468d8704271489ceba496b\Utilities\RegexValues.cs,11,generated by chatgpt,,
OpenAI-Email-Detector\34eb1fd1456dfffcc144c52e1f9b69ecc90eba98\ChatGPT Sentry for Outlook\ThisAddIn.cs,30,generated by chatgpt,,
ProtaFramework\e7cd5cedfe31118c2b4bed127f96eb58c3c0d692\Unity\Utils\Algorithm.cs,10,generated by chatgpt,,
GitShadows3\e5f64146eeb956fc50049c771909aeefd5744e2a\IMM460Experiment2\Assets\Scripts\InventorySystem\Spawn.cs,5,generated by chatgpt,,
HappyGenyuanImsactUpdate\7dc5715c1ba37d85b5eb345ca2a751c466ce4188\HappyGenyuanImsactUpdate\Helper.cs,134,generated by chatgpt,,
unity-multiplayer-shooter\8a49a701e459958558f09e1a116f58711d576799\Assets\SuperMultiplayerShooter\Scripts\PlayerList\PlayerListUI.cs,40,generated by chatgpt,,
Builtopia\85f3dc41c990eeb913d1a219227663934a2efb30\Assets\Samples\Agents Navigation\4.0.2\Scenarios\Runtime\AgentJump.cs,52,generated by chatgpt,,
3DModeler\a0880d7b4d290b7fb5f81b5936581bf044d24fed\3DModeler\MainForm.cs,1819,generated by chatgpt,,
ExamplesOfMockingWithDatabases\4f0f18894b4e1d2f9404e28c40c47a227266ca92\DessertAnimalsDataBase\DataAccess\SQLiteDataAccess.cs,58,generated by chatgpt,,
cse210-projects\45060dc8f15deafec1492abe84b014909f34bae2\prove\Develop02\PromptGenerator.cs,5,generated by chatgpt,,
Developers-Day-Off\bd8c76d09e895a3ebecde7f290b4ede0ad3c08ac\Assets\Scripts\Entities\Koopa.cs,124,generated by chatgpt,,
ID721-Mobile-Projects\01d14ef73fa25b8bf134643cc2096bdf27526f4f\RunnyRun2\Assets\Scripts\CameraViewportController.cs,28,generated by chatgpt,,
GAMES-103-Lab-123\28a7d3114c2f43d7703f3269d8e4ce9e9d9f7ebf\103-lab02\Assets\MatrixUtils.cs,3,generated by chatgpt,,
CitiSoft\525d1c3a5c740df6c4f4479e0a25ca1dce23198d\CitiSoft\InputValidation.cs,204,generated by chatgpt,,
Final_App\4b667c1dd475f507a9b6ab3cb57b1025f91ec93b\Final_App\Play.xaml.cs,172,generated by chatgpt,,
bet_koks\fecdf34e4824cda44320c77338844f6a8ce784df\OnlineNotes\Services\OpenAIServices\QuizGeneratorService.cs,23,generated by chatgpt,,
EXP-7X42-project\a3832b580a795f27cfafc54ed0590c646d623a4e\Assets\MyGame\Scripts\Script Notes\notesManager.cs,145,generated by chatgpt,,
Kanji-Paint-Project\7352e6e9d36b1b3ff9578c611422bbdd86f9c93d\Kanji Paint Project\Form1.cs,204,generated by chatgpt,,
MathRuleset\75bf9bd979381642128e86303f3864d59bc191e5\Assets\AutoUI\Inspector\CodeArea.cs,358,generated by chatgpt,,
swed32\0a8f8cabb01c59204994e8699b5655e78479ec18\swed32-master\swed32\Swed32.cs,75,generated by chatgpt,,
BundleManager\26f864e25dee67df91508d234d1f4a23af5cf810\BundleManager.cs,1155,generated by chatgpt,,
MyPersonalProjects\e52fcaa2892e0761104b8d30c88afa0906b7d86e\Combined Game\Assets\Other\MouseDownButton.cs,1,generated by chatgpt,,
gister-chatgpt-plugin\1ced0bd4bf139a74586d72244cad6e56f4f5318e\Program.cs,57,generated by chatgpt,,
fAI\a154e341ea318fb7ae5d3a738475aa687ec9246b\src\fAIConsole\RAG\RandomPeople.cs,21,generated by chatgpt,,
cse210-hw\d53af39850e4c3db78c409b9869cdca694c094b1\prove\Develop03\FileManager.cs,2,generated by chatgpt,,
Data-Structures\29b54d3cacc92ea753890554f60085d9ffa840d1\StackPracLib.cs,138,generated by chatgpt,,
XMLpad\d0c3c0937d974aa8399b00403ec6c39a8fef035b\XMLpad\ExampleFiles\CSharpExample.cs,28,generated by chatgpt,,
EvozonInternship2023\db0a0e1a84102e51e355ae3f3f01cfff540abaab\Team 1 (.RED)\BE\src\MealPlan.Business\Menus\Handlers\GetSuggestedMenuQueryHandler.cs,40,generated by chatgpt,,
dogfootman\0b52fc73778a6a3bb67d87025ac6c5292fc11532\DogFootMan\Assets\UI\WorkplaceUIController.cs,139,generated by chatgpt,,
EvozonInternship2023\db0a0e1a84102e51e355ae3f3f01cfff540abaab\Team 1 (.RED)\BE\src\MealPlan.UnitTests\Business\Menus\Handlers\GetSuggestedMenusQueryHandlerTests.cs,111,generated by chatgpt,,
discussions_vite_dotnet\66eda293b69ce03eb38bf1ffaf8b94bd32ad1060\server\DAL\DbInit.cs,51,generated by chatgpt,,
csharp-logger\4a7e315d2c5fee74d507fb38429f5dad85f9fd69\CSharp-Logger\LogFileStream.cs,27,generated by chatgpt,,
discussions_vite_dotnet\5dcfc9595a3ac4ca4c4c11603c178074473fa479\server\Controllers\LoginController.cs,81,generated by chatgpt,,
Banking-App\2c7112159938e17813a8ddf2d801120dfc3dbc15\Program.cs,301,generated by chatgpt,,
