path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line
Aimmy-Arduino-Edition\724a6c174b7a7c1f3167c3836757dd66a18dd2d4\Aimmy2\WinformsReplacement\WinAPICaller.cs,14,written by chatgpt,,
BeamableProduct\0bec1642dd36802796c7189e3a9fed1c690c498f\cli\cli\Services\UnityCliGenerator.cs,500,written by chatgpt,,
enlightened\6d971b3a85dca6c72da6149a04d30ced15565abe\Assets\Code\Helpers\VectorExtensions.cs,25,written by chatgpt,,
marcospgp.github.io\cdb10eec8bbd8631591fa7027ad0adb9ce04c468\_helpers\SortMarkdownHeaders.csx,2,written by chatgpt,,
Stealth\c1e75ea5751883b54919755db9a4b32e55554ed9\Assets\Scripts\Enemy\VisionCone.cs,30,written by chatgpt,,
ChessMakerBlazor\db38c097e540bb2240f5853ba0f138934e005083\Globals\Globals.cs,84,written by chatgpt,,
Data-Structures\29b54d3cacc92ea753890554f60085d9ffa840d1\QRefCode.cs,6,written using chatgpt,,
2D-4X\60acc5774b730ea8867b228ed07960df4d5ce735\Scripts\UI\PopulationDescriptionControl.cs,159,written by chatgpt,,
pecmun\75b979f56b37da901d07689336a26ab46fb08db2\PcMan\Model\Characters\Horse.cs,74,written by chatgpt,,
TBRPG\6d8358992993db177fc531cbdada6fa5935ea073\TBRPGV2\TBRPGV2\Classes\Items\EnchChair.cs,26,written by chatgpt,,
Passage5\07fca52ba2a1c95971d042a8623e9fbaa3b86ead\Assets\Scripts\ZipAdvancePlayer.cs,10,written by chatgpt,,
MicahB.Dev\a052d9497cb8429e9eba3c2d497ed7b185607aee\FTP\AI\PromptResponseGenerator\Program.cs,105,written by chatgpt,,
Comp_Fiber_iOS\7df2dd21c918d7744e31341babaa1e7d187bcb6b\BLE_Universal\BLE_Universal\MainPage.xaml.cs,274,written by chatgpt,,
Data-Structures\29b54d3cacc92ea753890554f60085d9ffa840d1\ListSymbolTable.cs,4,written by chatgpt,,
Data-Structures\29b54d3cacc92ea753890554f60085d9ffa840d1\LinkedListLib.cs,8,written by chatgpt,,
Data-Structures\29b54d3cacc92ea753890554f60085d9ffa840d1\BinarySearchTreeLib.cs,324,written by chatgpt,,
dirigent\9428dd41196d213caa2df8956d572f4f31348533\src\Dirigent.Common\FolderTree.cs,80,written by copilot,,
magic_grid\515719de6a2e5b9b7c45d6cc18b1f2bd9ee32209\Program.cs,64,written by copilot,,
ma-montreal\81e9d3d16ea36456fe2ef7013dd70a2554b9329b\Services\RequestsService.cs,59,written by copilot,,
MKUltra\41ab912f7acf718a24a23098147e1be41913e10b\Inconvenience\Lists\StringList.cs,167,written by copilot,,
aicodecompletionbenchmark\d32fb915cc395f65caab454d7e659da2c3f8e6f3\CsCode\CsJsonParser\CsJsonParser\Program.cs,197,written by copilot,,
