index,project_name,create_time,project_language,contributor,star,fork,issues,watch,project_commits,code_language,keyword_index,matched_keyword,url_of_first_file_commit,path_of_first_file_commit,final_change_commit_path,code_granularity_data,code_func_type,number_of_bug_or_vulnerability_all_commit,comments,start_end_line_data,first_loc,final_start_end_line_data,final_loc_add,final_loc_minus,final_change_type,test_code_data,regular_expression_data,number_of_commits,number_of_change_commit_to_first,change_commit_to_first_index,change_commit_to_first_hash,change_commit_to_first_blocks,number_of_all_change_commit,all_change_commit_index,all_change_commit_hash,all_change_commit_blocks,number_of_all_change_fix_commit,real_fixed_commit_number,real_fixed_commit_hash,real_fixed_commit_reason,all_change_fix_commit_index,all_change_fix_commit_hash,all_change_fix_commit_blocks,project_lines,project_locs,project_statements,project_functions,project_classes,project_files,project_density_comments,project_comments,project_duplicated_lines,project_duplicated_blocks,project_duplicated_files,project_duplicated_lines_density,project_vulnerability,project_bugs,project_code_smells,project_sqale_index,project_sqale_debt_ratio,project_complexity_all,project_cognitive_complexity_all,project_complexity_mean_method,project_cognitive_complexity_mean_method,code_lines,code_locs,code_statements,code_functions,code_classes,code_files,code_density_comments,code_comments,code_duplicated_lines,code_duplicated_blocks,code_duplicated_files,code_duplicated_lines_density,code_code_smells,code_sqale_index,code_sqale_debt_ratio,code_complexity_all,code_cognitive_complexity_all,code_complexity_mean_method,code_cognitive_complexity_mean_method,manual_vs_gpt_loc_ratio,manual_vs_gpt_change_commit_ratio,manual_vs_gpt_change_fix_commit_ratio
53,owf-tstool-googledrive-plugin,2023/12/8 11:48,Java,,0,0,0,1,20,Java,64,generated by chatgpt,https://github.com/OpenWaterFoundation/owf-tstool-googledrive-plugin/blob/86609b8b52282e8a800673855c2ec6cff141dc99/owf-tstool-googledrive-plugin/src/main/java/org/openwaterfoundation/tstool/plugin/googledrive/GoogleDriveToolkit.java,owf-tstool-googledrive-plugin\86609b8b52282e8a800673855c2ec6cff141dc99\owf-tstool-googledrive-plugin\src\main\java\org\openwaterfoundation\tstool\plugin\googledrive\GoogleDriveToolkit.java,owf-tstool-googledrive-plugin\2da006ab45cf9cb54228f0257911fce5ea9f58c4\owf-tstool-googledrive-plugin\src\main\java\org\openwaterfoundation\tstool\plugin\googledrive\GoogleDriveToolkit.java,method,Network requests and API call,17,,"[71,153]",83,"[88,244]",74,0,Optimization,,,5,3,"[-3, -4, -5]","['80c1fe283e60a5e906c9941aaf2d0591ba6fd812', '5947c1ee64617905ff5b3a5429e298292c56d8ca', '2da006ab45cf9cb54228f0257911fce5ea9f58c4']","[[{'highest_ratio': 0.9992516837116487, 'best_match_position': (86, 168)}], [{'highest_ratio': 0.9992516837116487, 'best_match_position': (89, 171)}], [{'highest_ratio': 0.7021249522840056, 'best_match_position': (165, 247)}]]",2,"[-3, -5]","['80c1fe283e60a5e906c9941aaf2d0591ba6fd812', '2da006ab45cf9cb54228f0257911fce5ea9f58c4']","[[{'highest_ratio': 0.9992516837116487, 'best_match_position': (86, 168)}], [{'highest_ratio': 0.7021249522840056, 'best_match_position': (165, 247)}]]",2,2,"['80c1fe283e60a5e906c9941aaf2d0591ba6fd812', '2da006ab45cf9cb54228f0257911fce5ea9f58c4']","[[Interface and dependency management issues],[Interface and dependency management issues]]","[-3, -5]","['80c1fe283e60a5e906c9941aaf2d0591ba6fd812', '2da006ab45cf9cb54228f0257911fce5ea9f58c4']","[[{'highest_ratio': 0.9992516837116487, 'best_match_position': (86, 168)}], [{'highest_ratio': 0.7021249522840056, 'best_match_position': (165, 247)}]]",5392,2710,1538,61,7,7,43.4,2081,146,6,2,2.7,0,9,418,3017,3.7,433,843,7.1,13.82,84,53,31,1,1,1,34.5,29,0,0,0,0,5,45,2.7,9,15,9,15,,,
184,SportMatch,2023/3/27 10:16,Java,5,0,0,0,1,138,Java,115,generated with copilot,https://github.com/elenaaad/SportMatch/blob/968ca7eaca1c97a5880101ad4afd19eadf5006a4/app/src/main/java/com/example/sportmatch/RegisterActivity.java,SportMatch\968ca7eaca1c97a5880101ad4afd19eadf5006a4\app\src\main\java\com\example\sportmatch\RegisterActivity.java,SportMatch\24a3c07f6a573d4dfc8f43088dd2378be871b71d\app\src\main\java\com\example\sportmatch\RegisterActivity.java,statement,User interface,1,,"[116,145]",30,"[199,227]",0,1,,,,7,4,"[-4, -5, -6, -7]","['30d8982a738f10ade2b8860bc5e7201642de1d23', 'ede3c8047b3a522a482e66513e68a342ed0a355f', '24a3c07f6a573d4dfc8f43088dd2378be871b71d', 'bfcaed7a84e564a83445809fc780c684cffb34b7']","[[{'highest_ratio': 0.9970312856816624, 'best_match_position': (174, 203)}], [{'highest_ratio': 0.9760965421211418, 'best_match_position': (213, 242)}], [{'highest_ratio': 0.9770034843205575, 'best_match_position': (199, 228)}], [{'highest_ratio': 0.9770034843205575, 'best_match_position': (192, 221)}]]",3,"[-4, -5, -6]","['30d8982a738f10ade2b8860bc5e7201642de1d23', 'ede3c8047b3a522a482e66513e68a342ed0a355f', '24a3c07f6a573d4dfc8f43088dd2378be871b71d']","[[{'highest_ratio': 0.9970312856816624, 'best_match_position': (174, 203)}], [{'highest_ratio': 0.9760965421211418, 'best_match_position': (213, 242)}], [{'highest_ratio': 0.9770034843205575, 'best_match_position': (199, 228)}]]",1,1,['ede3c8047b3a522a482e66513e68a342ed0a355f'],[Algorithm logic errors],[-5],['ede3c8047b3a522a482e66513e68a342ed0a355f'],"[[{'highest_ratio': 0.9760965421211418, 'best_match_position': (213, 242)}]]",1186,946,338,48,18,18,3.3,32,50,2,2,4.2,0,0,48,433,1.5,110,101,2.29,2.1,33,27,11,0,0,1,6.1,2,0,0,0,0,2,15,1.6,4,8,,,,,
127,fruitfly,2024/2/10 0:03,Java,,2,0,0,1,56,Java,24,generated by chatgpt,https://github.com/shorn/fruitfly/blob/f758e6c7425f741fa864c2b0cb22279bd2cf39ad/src/main/java/fruitfly/psi/BuilderGenerator.java,fruitfly\f758e6c7425f741fa864c2b0cb22279bd2cf39ad\src\main\java\fruitfly\psi\BuilderGenerator.java,fruitfly\617e853eeedbae8e29236f2d4f98aab2341acf8a\src\main\java\fruitfly\psi\BuilderGenerator.java,file,Framework and library,5,,"[1,162]",162,"[1,241]",79,0,Feature addition,,,5,4,"[-2, -3, -4, -5]","['50085647b967bdaa092ee82d5ce804ea45fdc763', 'b7cf0ced84f008b1a984065eb14756a775300756', '7f376fb7d3f9718645abc5ef7280004667f0d58e', '617e853eeedbae8e29236f2d4f98aab2341acf8a']","[[{'highest_ratio': 0.9285409374199607, 'best_match_position': (1, 182)}], [{'highest_ratio': 0.8712305753884922, 'best_match_position': (1, 186)}], [{'highest_ratio': 0.4269083522150168, 'best_match_position': (1, 241)}], [{'highest_ratio': 0.4267416432364886, 'best_match_position': (1, 241)}]]",4,"[-2, -3, -4, -5]","['50085647b967bdaa092ee82d5ce804ea45fdc763', 'b7cf0ced84f008b1a984065eb14756a775300756', '7f376fb7d3f9718645abc5ef7280004667f0d58e', '617e853eeedbae8e29236f2d4f98aab2341acf8a']","[[{'highest_ratio': 0.9285409374199607, 'best_match_position': (1, 182)}], [{'highest_ratio': 0.8712305753884922, 'best_match_position': (1, 186)}], [{'highest_ratio': 0.4269083522150168, 'best_match_position': (1, 241)}], [{'highest_ratio': 0.4267416432364886, 'best_match_position': (1, 241)}]]",1,1,['b7cf0ced84f008b1a984065eb14756a775300756'],"[Code maintainability issues,Grammar and semantic errors]",[-3],['b7cf0ced84f008b1a984065eb14756a775300756'],"[[{'highest_ratio': 0.8712305753884922, 'best_match_position': (1, 186)}]]",635,409,165,27,18,16,13.5,64,0,0,0,0,0,0,11,85,0.7,55,27,2.04,1,163,116,57,2,1,1,16.5,23,0,0,0,0,4,40,1.1,13,14,6.5,7,,,
41,composum-AI,2023/4/4 11:42,Java,4,1,1,4,4,893,Java,17,generated by chatgpt,https://github.com/ist-dresden/composum-AI/blob/2256cb29fb0dac57a3252a6e319f3869eae9bc87/backend/base/src/main/java/com/composum/ai/backend/base/service/chat/impl/HtmlToMarkdownConverter.java,composum-AI\2256cb29fb0dac57a3252a6e319f3869eae9bc87\backend\base\src\main\java\com\composum\ai\backend\base\service\chat\impl\HtmlToMarkdownConverter.java,composum-AI\5581a3415ddf6d87ad9be1b49e59da55d9a4f4cc\backend\base\src\main\java\com\composum\ai\backend\base\service\chat\impl\HtmlToMarkdownConverter.java,file,Data processing and transformation,195,,"[1,138]",138,"[1,367]",229,0,Refactoring,,,11,10,"[-2, -3, -4, -5, -6, -7, -8, -9, -10, -11]","['979cafbedf5df4b21fbf9d61514e11c4b143447b', 'dbbf36a92e9afa51e75b8d7c0d69e1a04ebd9f33', 'e0830ed1433ba2589843601b7e06dae370d471ef', '524f2256f84331dd4cbe99ed1cadb46da18dc91f', '39af36f6985d39d495c1d851c25155521a965626', '855b3479d92212efaaee49afe461cfea8ffd8bea', '2f690b4b7d36615180069943fe4049e1c45a7476', '8c946bba22fadd4d55491adeed3cc2e34259232f', 'a70f653ba52f4cf97833f1976cdcc12ba2e4fba2', '5581a3415ddf6d87ad9be1b49e59da55d9a4f4cc']","[[{'highest_ratio': 0.6689269367689439, 'best_match_position': (1, 243)}], [{'highest_ratio': 0.5431021283111315, 'best_match_position': (1, 271)}], [{'highest_ratio': 0.5376970783830233, 'best_match_position': (1, 275)}], [{'highest_ratio': 0.5146693913297329, 'best_match_position': (1, 286)}], [{'highest_ratio': 0.4799449604403165, 'best_match_position': (1, 309)}], [{'highest_ratio': 0.44822475674979056, 'best_match_position': (1, 336)}], [{'highest_ratio': 0.4258948023653906, 'best_match_position': (1, 349)}], [{'highest_ratio': 0.4185475956820412, 'best_match_position': (1, 355)}], [{'highest_ratio': 0.40683842429314365, 'best_match_position': (1, 363)}], [{'highest_ratio': 0.40615678320009546, 'best_match_position': (1, 367)}]]",10,"[-2, -3, -4, -5, -6, -7, -8, -9, -10, -11]","['979cafbedf5df4b21fbf9d61514e11c4b143447b', 'dbbf36a92e9afa51e75b8d7c0d69e1a04ebd9f33', 'e0830ed1433ba2589843601b7e06dae370d471ef', '524f2256f84331dd4cbe99ed1cadb46da18dc91f', '39af36f6985d39d495c1d851c25155521a965626', '855b3479d92212efaaee49afe461cfea8ffd8bea', '2f690b4b7d36615180069943fe4049e1c45a7476', '8c946bba22fadd4d55491adeed3cc2e34259232f', 'a70f653ba52f4cf97833f1976cdcc12ba2e4fba2', '5581a3415ddf6d87ad9be1b49e59da55d9a4f4cc']","[[{'highest_ratio': 0.6689269367689439, 'best_match_position': (1, 243)}], [{'highest_ratio': 0.5431021283111315, 'best_match_position': (1, 271)}], [{'highest_ratio': 0.5376970783830233, 'best_match_position': (1, 275)}], [{'highest_ratio': 0.5146693913297329, 'best_match_position': (1, 286)}], [{'highest_ratio': 0.4799449604403165, 'best_match_position': (1, 309)}], [{'highest_ratio': 0.44822475674979056, 'best_match_position': (1, 336)}], [{'highest_ratio': 0.4258948023653906, 'best_match_position': (1, 349)}], [{'highest_ratio': 0.4185475956820412, 'best_match_position': (1, 355)}], [{'highest_ratio': 0.40683842429314365, 'best_match_position': (1, 363)}], [{'highest_ratio': 0.40615678320009546, 'best_match_position': (1, 367)}]]",3,1,['e0830ed1433ba2589843601b7e06dae370d471ef'],[Grammar and semantic errors],"[-4, -5, -6]","['e0830ed1433ba2589843601b7e06dae370d471ef', '524f2256f84331dd4cbe99ed1cadb46da18dc91f', '39af36f6985d39d495c1d851c25155521a965626']","[[{'highest_ratio': 0.5376970783830233, 'best_match_position': (1, 275)}], [{'highest_ratio': 0.5146693913297329, 'best_match_position': (1, 286)}], [{'highest_ratio': 0.4799449604403165, 'best_match_position': (1, 309)}]]",4093,2792,1174,235,56,42,12.6,402,65,10,1,1.6,0,3,104,732,0.9,461,326,1.96,1.39,138,106,65,4,1,1,7,8,0,0,0,0,3,12,0.4,24,10,6,2.5,,,
50,CarsRUs,2023/8/23 12:44,Java,,0,0,0,1,57,Java,9,generated by chatgpt,https://github.com/simonj1704/CarsRUs/blob/4fa284533c55ba6bb83e587a5f3166b62a748302/src/main/java/dat3/car/config/MemberTestDataFactory.java,CarsRUs\4fa284533c55ba6bb83e587a5f3166b62a748302\src\main\java\dat3\car\config\MemberTestDataFactory.java,CarsRUs\3b5684bb142ede18315e23a05f02b8006ed649ce\src\main\java\dat3\car\config\MemberTestDataFactory.java,file,Data processing and transformation,2,,"[1,45]",45,"[1,47]",2,0,Feature addition,,,2,1,[-2],['3b5684bb142ede18315e23a05f02b8006ed649ce'],"[[{'highest_ratio': 0.9795149517306334, 'best_match_position': (1, 47)}]]",1,[-2],['3b5684bb142ede18315e23a05f02b8006ed649ce'],"[[{'highest_ratio': 0.9795149517306334, 'best_match_position': (1, 47)}]]",1,1,['3b5684bb142ede18315e23a05f02b8006ed649ce'],[Security vulnerabilities],[-2],['3b5684bb142ede18315e23a05f02b8006ed649ce'],"[[{'highest_ratio': 0.9795149517306334, 'best_match_position': (1, 47)}]]",2808,2150,745,177,48,47,5.2,117,0,0,0,0,0,4,126,1040,1.6,247,42,1.4,0.24,45,27,18,1,1,1,25,9,0,0,0,0,3,20,2.5,2,1,2,1,,,
7,AuctionFlipper,2024/4/9 16:53,Java,4,0,0,0,1,142,Java,9,written by chatgpt,https://github.com/EliotParkRL/AuctionFlipper/blob/a07047ef4f286eb1caaec3bb11be4011dade2bb8/ApiCaller.java,AuctionFlipper\a07047ef4f286eb1caaec3bb11be4011dade2bb8\ApiCaller.java,AuctionFlipper\155a4e2cf1c6a5be5fcd369132bc0779213e17c0\ApiCaller.java,file,Network requests and API call,9,,"[1,159]",159,"[1,250]",91,0,,,,10,9,"[-2, -3, -4, -5, -6, -7, -8, -9, -10]","['1839f30d167e541d50dadb8d077cef100443cee3', 'fa80c6c9c27e8cdc382c5c9adf809d051125b9f7', '0bf64c721efdef9b202ac29d3144bf4f1fb9012d', '7305c13327d0ecb2d67da854325af8dcd9062562', 'c74cea6aba226203c5b764152eecaf2fdad3334f', '156e63d9fc4871402840d7dfeaafe379741024c8', '71d5d9b224a9e3508dd57535fc81b4f6d0b4da16', '25e51d2790a9bb5f3c09bc09b7d75468cdd8780d', '155a4e2cf1c6a5be5fcd369132bc0779213e17c0']","[[{'highest_ratio': 0.8750902527075812, 'best_match_position': (1, 200)}], [{'highest_ratio': 0.8433343643674606, 'best_match_position': (1, 206)}], [{'highest_ratio': 0.8363580199243185, 'best_match_position': (1, 208)}], [{'highest_ratio': 0.8351326341764344, 'best_match_position': (1, 208)}], [{'highest_ratio': 0.8363580199243185, 'best_match_position': (1, 208)}], [{'highest_ratio': 0.8349394803793077, 'best_match_position': (1, 209)}], [{'highest_ratio': 0.8354313074368677, 'best_match_position': (1, 208)}], [{'highest_ratio': 0.8342716125549472, 'best_match_position': (1, 211)}], [{'highest_ratio': 0.7510935221828786, 'best_match_position': (1, 250)}]]",9,"[-2, -3, -4, -5, -6, -7, -8, -9, -10]","['1839f30d167e541d50dadb8d077cef100443cee3', 'fa80c6c9c27e8cdc382c5c9adf809d051125b9f7', '0bf64c721efdef9b202ac29d3144bf4f1fb9012d', '7305c13327d0ecb2d67da854325af8dcd9062562', 'c74cea6aba226203c5b764152eecaf2fdad3334f', '156e63d9fc4871402840d7dfeaafe379741024c8', '71d5d9b224a9e3508dd57535fc81b4f6d0b4da16', '25e51d2790a9bb5f3c09bc09b7d75468cdd8780d', '155a4e2cf1c6a5be5fcd369132bc0779213e17c0']","[[{'highest_ratio': 0.8750902527075812, 'best_match_position': (1, 200)}], [{'highest_ratio': 0.8433343643674606, 'best_match_position': (1, 206)}], [{'highest_ratio': 0.8363580199243185, 'best_match_position': (1, 208)}], [{'highest_ratio': 0.8351326341764344, 'best_match_position': (1, 208)}], [{'highest_ratio': 0.8363580199243185, 'best_match_position': (1, 208)}], [{'highest_ratio': 0.8349394803793077, 'best_match_position': (1, 209)}], [{'highest_ratio': 0.8354313074368677, 'best_match_position': (1, 208)}], [{'highest_ratio': 0.8342716125549472, 'best_match_position': (1, 211)}], [{'highest_ratio': 0.7510935221828786, 'best_match_position': (1, 250)}]]",1,1,['156e63d9fc4871402840d7dfeaafe379741024c8'],[Interface and dependency management issues],[-7],['156e63d9fc4871402840d7dfeaafe379741024c8'],"[[{'highest_ratio': 0.8349394803793077, 'best_match_position': (1, 209)}]]",166,89,57,6,2,2,28.2,35,90,7,1,54.2,0,0,16,201,7.5,9,6,1.5,1,159,83,55,5,1,1,29.7,35,90,7,1,56.6,13,179,7.2,8,6,1.6,1.2,,,
20,GPD_Projekt,2023/5/26 8:34,Java,,0,0,0,1,34,Java,25,generated by chatgpt,https://github.com/Ainges/GPD_Projekt/blob/336098348e294c49f6d293064eb468208cb7e99f/src/main/java/de/thi/services/ReadMember.java,GPD_Projekt\336098348e294c49f6d293064eb468208cb7e99f\src\main\java\de\thi\services\ReadMember.java,GPD_Projekt\3d9c4928de81a0f4990bee27ab6446ee745cb87d\src\main\java\de\thi\services\ReadMember.java,statement,Data processing and transformation,6,,"[26,35]",10,"[27,87]",51,0,Feature addition,,,9,8,"[-2, -3, -4, -5, -6, -7, -8, -9]","['6e717ac7b1813e3ecfe9e6635dc51b7b6665afa8', '77484821447f40e3ca16be2c01af81c379358ce7', '703df19db6fa50af59690a6fce0c122372c185d9', 'c5ba194abb1637d84a803201401fca26b24801dd', '36bc90a234bd2ffd2344bc234a2ec6e6b4bab030', 'e2ac90304d17a5db916fd5106276487c47d1b693', '3d9c4928de81a0f4990bee27ab6446ee745cb87d', 'd0b86a22d01c9767ce72c9870cb330e57d6524a4']","[[{'highest_ratio': 0.12558869701726844, 'best_match_position': (72, 81)}], [{'highest_ratio': 0.1468189233278956, 'best_match_position': (8, 17)}], [{'highest_ratio': 0.15620641562064155, 'best_match_position': (77, 86)}], [{'highest_ratio': 0.15620641562064155, 'best_match_position': (77, 86)}], [{'highest_ratio': 0.19536423841059603, 'best_match_position': (10, 19)}], [{'highest_ratio': 0.1275, 'best_match_position': (77, 86)}], [{'highest_ratio': 0.24469820554649266, 'best_match_position': (12, 21)}], [{'highest_ratio': 0.24469820554649266, 'best_match_position': (12, 21)}]]",6,"[-2, -3, -4, -6, -7, -8]","['6e717ac7b1813e3ecfe9e6635dc51b7b6665afa8', '77484821447f40e3ca16be2c01af81c379358ce7', '703df19db6fa50af59690a6fce0c122372c185d9', '36bc90a234bd2ffd2344bc234a2ec6e6b4bab030', 'e2ac90304d17a5db916fd5106276487c47d1b693', '3d9c4928de81a0f4990bee27ab6446ee745cb87d']","[[{'highest_ratio': 0.12558869701726844, 'best_match_position': (72, 81)}], [{'highest_ratio': 0.1468189233278956, 'best_match_position': (8, 17)}], [{'highest_ratio': 0.15620641562064155, 'best_match_position': (77, 86)}], [{'highest_ratio': 0.19536423841059603, 'best_match_position': (10, 19)}], [{'highest_ratio': 0.1275, 'best_match_position': (77, 86)}], [{'highest_ratio': 0.24469820554649266, 'best_match_position': (12, 21)}]]",1,0,[],,[-7],['e2ac90304d17a5db916fd5106276487c47d1b693'],"[[{'highest_ratio': 0.1275, 'best_match_position': (77, 86)}]]",224,145,32,19,6,6,9.9,16,0,0,0,0,0,0,5,34,0.8,19,1,1,0.05,13,3,3,0,0,1,30,3,0,0,0,0,3,30,14.3,0,0,,,,,
107,cars-fall2023,2023/8/25 10:57,Java,,0,3,0,1,25,Java,9,generated by chatgpt,https://github.com/kea-fall2023/cars-fall2023/blob/3cc5daf25cda458b90de4ec62b352a37cd7e6e7f/src/main/java/dat3/car/config/MemberTestDataFactory.java,cars-fall2023\3cc5daf25cda458b90de4ec62b352a37cd7e6e7f\src\main\java\dat3\car\config\MemberTestDataFactory.java,cars-fall2023\1f55562eaecf418febc6ecc6c675891d66958a66\src\main\java\dat3\car\config\MemberTestDataFactory.java,file,Data processing and transformation,3,,"[1,45]",45,"[1,45]",0,0,Feature addition,,,2,1,[-2],['1f55562eaecf418febc6ecc6c675891d66958a66'],"[[{'highest_ratio': 0.9906067529829906, 'best_match_position': (1, 45)}]]",1,[-2],['1f55562eaecf418febc6ecc6c675891d66958a66'],"[[{'highest_ratio': 0.9906067529829906, 'best_match_position': (1, 45)}]]",1,0,[],,[-2],['1f55562eaecf418febc6ecc6c675891d66958a66'],"[[{'highest_ratio': 0.9906067529829906, 'best_match_position': (1, 45)}]]",269,192,47,8,9,9,9.4,20,0,0,0,0,0,2,26,187,3.2,10,2,1.25,0.25,45,27,18,1,1,1,25,9,0,0,0,0,3,20,2.5,2,1,2,1,,,
181,udm-documents,2023/4/25 7:24,Java,,0,1,0,1,4,Java,33,generated by gpt-4,https://github.com/smellofcode/udm-documents/blob/8dee97cb01ab364e36035be08e9cecf46aa12496/filestore/src/test/java/com/udm/documents/filestore/domain/FileDescriptorTest.java,udm-documents\8dee97cb01ab364e36035be08e9cecf46aa12496\filestore\src\test\java\com\udm\documents\filestore\domain\FileDescriptorTest.java,udm-documents\cf134ca1f3d0c660ed84433f60f0314a103bc567\filestore\src\test\java\com\udm\documents\filestore\domain\FileDescriptorTest.java,file,Testing and debugging,0,,"[1,111]",111,"[1,111]",0,0,,,,2,1,[-2],['cf134ca1f3d0c660ed84433f60f0314a103bc567'],"[[{'highest_ratio': 0.9973961902151569, 'best_match_position': (1, 111)}]]",1,[-2],['cf134ca1f3d0c660ed84433f60f0314a103bc567'],"[[{'highest_ratio': 0.9973961902151569, 'best_match_position': (1, 111)}]]",0,,,,[],[],[],1895,862,190,49,38,32,5.5,50,0,0,0,0,0,0,14,121,0.5,71,13,1.45,0.27,111,54,20,5,1,1,20.6,14,0,0,0,0,0,0,0,6,0,1.2,0,,,
149,TrainDispatchSystem,2023/10/28 10:29,Java,,0,0,0,1,60,Java,194,generated by copilot,https://github.com/jonas-birkeli/TrainDispatchSystem/blob/c6c2e7e71cdc01c65b7a7384e2c132df5fdb79e3/src/main/java/core/Station.java,TrainDispatchSystem\c6c2e7e71cdc01c65b7a7384e2c132df5fdb79e3\src\main\java\core\Station.java,TrainDispatchSystem\21a900425f45a86f4bfb61629f9319d5d27a5992\src\main\java\core\Station.java,statement,Data processing and transformation,5,,"[195,195]",1,"[216,218]",2,0,Feature addition,,,7,6,"[-2, -3, -4, -5, -6, -7]","['21a900425f45a86f4bfb61629f9319d5d27a5992', '0b8ea53affce445463ca99ce6de9bd526c97ff71', '7fd67ff8f6ad9e595e594728168cbb1248b69a04', 'f7758eb3d66603c347c8102bfb24ac4cf70f4e05', 'b63dc685953d1d8833fc5b8213e2dce206c37a22', '7f25c09e24e648d746b1fe859c5e92bd70da009a']","[[{'highest_ratio': 0.4, 'best_match_position': (207, 207)}], [{'highest_ratio': 0.4, 'best_match_position': (206, 206)}], [{'highest_ratio': 0.4, 'best_match_position': (206, 206)}], [{'highest_ratio': 0.4, 'best_match_position': (210, 210)}], [{'highest_ratio': 0.4, 'best_match_position': (212, 212)}], [{'highest_ratio': 0.4, 'best_match_position': (224, 224)}]]",1,[-2],['21a900425f45a86f4bfb61629f9319d5d27a5992'],"[[{'highest_ratio': 0.4, 'best_match_position': (207, 207)}]]",0,,,,[],[],[],2162,1091,420,110,17,17,38.3,676,0,0,0,0,0,0,15,120,0.4,188,97,1.71,0.88,4,1,3,0,0,1,0,0,0,0,0,0,1,10,6.7,1,0,,,,,
