path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line
1Z0-829-preparation\144b533c054bb7f0ee55dd80c04a883b390a4cc8\src\main\java\org\enricogiurin\ocp17\book\ch7\nested\staticnested\ComplexNumber.java,3,created by chatgpt,,
HoldemHandHistory\ad1bd61d3a968d19034c31f2328a60cdabc56106\PlayerBetSizeReports2.java,18,created by chatgpt,,
college-classes\81ab94ed609384b2aa8f34d537600602e270fca0\csc4510\assignment2\Source\java\Alias.java,2,created by chatgpt,,
10862CenterStage\f89d198a5162466aea75b91f9ba07a203bee6f76\TeamCode\src\main\java\org\firstinspires\ftc\teamcode\subsystems\sensor\Potentiometer.java,48,created by chatgpt,,
csd214_class_repo\aa0a58bf00de2eb5b2ffddbbedb9c44c32225885\src\main\java\csd214\lecture4_1\ex4\EditableTableExample.java,2,created by chatgpt,,
AudioEditor\b1c0bbc1d2f6bca5d05e33d169cb04e68e58b164\widget-misc\src\main\java\dev\android\player\widget\misc\CircleProgressBar.java,14,created by chatgpt,,
openbexi_timeline\cbea1cb9e89dfce913da06f91eeec0a65c9cff12\src\com\openbexi\timeline\data_browser\db_mongo_manager.java,59,created by chatgpt,,
1Z0-829-preparation\144b533c054bb7f0ee55dd80c04a883b390a4cc8\src\main\java\org\enricogiurin\ocp17\book\ch9\generics\MethodsWithGenerics.java,21,created by chatgpt,,
college-classes\81ab94ed609384b2aa8f34d537600602e270fca0\csc4510\assignment2\Source\java\Reference.java,2,created by chatgpt,,
Team1_G3\159687a2d6b08f0978f1e03fe828663117d1e3e7\src\main\test\at\ac\fhcampuswien\fhmdb\HomeControllerTest.java,221,created by chatgpt,,
1Z0-829-preparation\144b533c054bb7f0ee55dd80c04a883b390a4cc8\src\main\java\org\enricogiurin\ocp17\book\ch7\nested\staticnested\ComplexNumber.java,3,created by chatgpt,,
HoldemHandHistory\ad1bd61d3a968d19034c31f2328a60cdabc56106\PlayerBetSizeReports2.java,18,created by chatgpt,,
college-classes\81ab94ed609384b2aa8f34d537600602e270fca0\csc4510\assignment2\Source\java\Alias.java,2,created by chatgpt,,
10862CenterStage\f89d198a5162466aea75b91f9ba07a203bee6f76\TeamCode\src\main\java\org\firstinspires\ftc\teamcode\subsystems\sensor\Potentiometer.java,48,created by chatgpt,,
csd214_class_repo\aa0a58bf00de2eb5b2ffddbbedb9c44c32225885\src\main\java\csd214\lecture4_1\ex4\EditableTableExample.java,2,created by chatgpt,,
AudioEditor\b1c0bbc1d2f6bca5d05e33d169cb04e68e58b164\widget-misc\src\main\java\dev\android\player\widget\misc\CircleProgressBar.java,14,created by chatgpt,,
openbexi_timeline\cbea1cb9e89dfce913da06f91eeec0a65c9cff12\src\com\openbexi\timeline\data_browser\db_mongo_manager.java,59,created by chatgpt,,
1Z0-829-preparation\144b533c054bb7f0ee55dd80c04a883b390a4cc8\src\main\java\org\enricogiurin\ocp17\book\ch9\generics\MethodsWithGenerics.java,21,created by chatgpt,,
college-classes\81ab94ed609384b2aa8f34d537600602e270fca0\csc4510\assignment2\Source\java\Reference.java,2,created by chatgpt,,
Team1_G3\159687a2d6b08f0978f1e03fe828663117d1e3e7\src\main\test\at\ac\fhcampuswien\fhmdb\HomeControllerTest.java,221,created by chatgpt,,
