path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line
1Z0-829-preparation\144b533c054bb7f0ee55dd80c04a883b390a4cc8\src\main\java\org\enricogiurin\ocp17\book\ch7\sealed\Shape.java,9,generated by chatgpt,,
rosetta\38a67b4c17f0149ab83806b728d975794e01ea99\queryhelper\src\main\java\queryhelper\utils\ErrorUtils.java,46,generated by chatgpt,,
Figura\46108431382ac91ed18971693adcfaff18c388bd\common\src\main\java\org\figuramc\figura\utils\MathUtils.java,176,generated by chatgpt,,
ICS4U-Unit1-02\e453180f135ad6edb15b91ae35fa543904a7deed\index.java,35,generated by chatgpt,,
ICS4U-Unit-1-01-Java\a0881c161389099eb0a79d1bc1bd46efef5273d4\LogTruck.java,33,generated by chatgpt,,
Legend-Of-Zelda\a751474bc7219de9ebf35de611519895462cf89f\Gameplay\AnimatedObject\DeadAnimation.java,12,generated by chatgpt,,
netbeansPython\21fefd66851624a3dd19abdb69f575526ab5c7e3\src\main\java\org\netbeans\modules\python\actions\PythonFixIndentAction.java,49,generated by chatgpt,,
IST311ReviewQuiz\7a10e49d3b74c7c768e4b90f1f68402b25fe0066\src\main\java\Book.java,2,generated by chatgpt,,
home-work\a8e0d049688c59fe67ae27dcd9d4f3f656888c91\src\KNearestNeighbors.java,11,generated by chatgpt,,
java_dao\d65ebcae12fa840b98fc23bf706fa96dcae9f8ce\src\main\java\de\htwberlin\dao\FahrzeugDao.java,9,generated by chatgpt,,
Pocket-Monsters\730a40f23df112fd70951fc26b36a4aadbfb0286\src\entity\Map.java,24,generated by chatgpt,,
leetcode\7451ebdf6670f221ece84094b1f274fb6d9d2fb2\src\main\java\com\kkzhang\medium\Subsets.java,28,generated by chatgpt,,
cars\3919717e51fc8d05d63c304dfd2d46a12ad0a2fa\src\main\java\dat3\car\config\CarTestDataFactory.java,8,generated by chatgpt,,
HBV501G\821afc5fc1b0082388f558deb2cbfcaf4af6a000\Backend\src\main\java\hbv501g\Utils\PasswordUtils.java,3,generated by chatgpt,,
cars\ff76c49b86110b933e8cfa9d9677c1f76a5b53e5\src\main\java\dat3\car\config\MemberTestDataFactory.java,9,generated by chatgpt,,
