index,project_name,create_time,project_language,contributor,star,fork,issues,watch,project_commits,code_language,keyword_index,matched_keyword,path_of_first_file_commit,final_change_commit_path,code_granularity_data,code_func_type,number_of_bug_or_vulnerability_all_commit,comments,start_end_line_data,first_loc,final_start_end_line_data,final_loc_add,final_loc_minus,final_change_type,test_code_data,regular_expression_data,number_of_commits,number_of_change_commit_to_first,change_commit_to_first_index,change_commit_to_first_hash,change_commit_to_first_blocks,number_of_all_change_commit,all_change_commit_index,all_change_commit_hash,all_change_commit_blocks,number_of_all_change_fix_commit,real_fixed_commit_number,real_fixed_commit_hash,real_fixed_commit_reason,all_change_fix_commit_index,all_change_fix_commit_hash,all_change_fix_commit_blocks,project_lines,project_locs,project_statements,project_functions,project_classes,project_files,project_density_comments,project_comments,project_duplicated_lines,project_duplicated_blocks,project_duplicated_files,project_duplicated_lines_density,project_vulnerability,project_bugs,project_code_smells,project_sqale_index,project_sqale_debt_ratio,project_complexity_all,project_cognitive_complexity_all,project_complexity_mean_method,project_cognitive_complexity_mean_method,code_lines,code_locs,code_statements,code_functions,code_classes,code_files,code_density_comments,code_comments,code_duplicated_lines,code_duplicated_blocks,code_duplicated_files,code_duplicated_lines_density,code_code_smells,code_sqale_index,code_sqale_debt_ratio,code_complexity_all,code_cognitive_complexity_all,code_complexity_mean_method,code_cognitive_complexity_mean_method,manual_vs_gpt_loc_ratio,manual_vs_gpt_change_commit_ratio,manual_vs_gpt_change_fix_commit_ratio
2,Figura,2023-07-15 21:32:27,Java,47,146,38,39,4,1567,Java,176,generated by chatgpt,Figura\46108431382ac91ed18971693adcfaff18c388bd\common\src\main\java\org\figuramc\figura\utils\MathUtils.java,Figura\40478c26b1849b86717e03d9e62819365314cc6d\common\src\main\java\org\figuramc\figura\utils\MathUtils.java,method,,467,,"[177,200]",24,,,,,,,3,2,"[-2, -3]","['40478c26b1849b86717e03d9e62819365314cc6d', '21abcfedc0135f7a0e6d50085e2b55f152aa28d8']","[[{'highest_ratio': 0.9994334277620397, 'best_match_position': (177, 200)}], [{'highest_ratio': 0.9994334277620397, 'best_match_position': (177, 200)}]]",1,[-2],['40478c26b1849b86717e03d9e62819365314cc6d'],"[[{'highest_ratio': 0.9994334277620397, 'best_match_position': (177, 200)}]]",0,,,,[],[],[],51032.0,40562.0,16914.0,3542.0,433.0,332.0,4.8,2035.0,882.0,50.0,22.0,1.7,0.0,133.0,1536.0,12074.0,1.0,8180.0,5460.0,2.31,1.54,25.0,20.0,15.0,2.0,1.0,1.0,4.3,1.0,0.0,0.0,0.0,0.0,3.0,20.0,3.0,4.0,3.0,2.0,1.5,,,
3,ICS4U-Unit1-02,2024-02-20 14:55:10,Java,,0,0,0,1,6,Java,35,generated by chatgpt,ICS4U-Unit1-02\e453180f135ad6edb15b91ae35fa543904a7deed\index.java,,method,,1,,"[34,70]",37,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],72.0,33.0,20.0,2.0,1.0,1.0,25.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,80.0,8.1,4.0,4.0,2.0,2.0,38.0,27.0,19.0,1.0,1.0,1.0,12.1,4.0,0.0,0.0,0.0,0.0,9.0,85.0,9.8,3.0,4.0,3.0,4.0,,,
4,ICS4U-Unit-1-01-Java,2024-02-20 02:02:07,Java,,0,0,0,1,11,Java,33,generated by chatgpt,ICS4U-Unit-1-01-Java\a0881c161389099eb0a79d1bc1bd46efef5273d4\LogTruck.java,ICS4U-Unit-1-01-Java\ff9925629444d75fb516d6c29fdcc3f3d4a85175\LogTruck.java,method,,1,,"[31,49]",19,,,,,,,5,4,"[-2, -3, -4, -5]","['2295ca4dbce0ee2ac618fcff802143a6c1f065b0', 'ced9e0432fdd6b30e843633ebab602c5434db8f3', 'ff9925629444d75fb516d6c29fdcc3f3d4a85175', '222ad1950a8ebeee56d99cfe897b69ae7bdeeec2']","[[{'highest_ratio': 0.7915492957746478, 'best_match_position': (31, 49)}], [{'highest_ratio': 0.7200577200577201, 'best_match_position': (31, 49)}], [{'highest_ratio': 0.7749287749287749, 'best_match_position': (34, 52)}], [{'highest_ratio': 0.7749287749287749, 'best_match_position': (34, 52)}]]",3,"[-2, -3, -4]","['2295ca4dbce0ee2ac618fcff802143a6c1f065b0', 'ced9e0432fdd6b30e843633ebab602c5434db8f3', 'ff9925629444d75fb516d6c29fdcc3f3d4a85175']","[[{'highest_ratio': 0.7915492957746478, 'best_match_position': (31, 49)}], [{'highest_ratio': 0.7200577200577201, 'best_match_position': (31, 49)}], [{'highest_ratio': 0.7749287749287749, 'best_match_position': (34, 52)}]]",0,,,,[],[],[],60.0,16.0,8.0,2.0,1.0,2.0,33.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,45.0,9.4,2.0,0.0,1.0,0.0,20.0,9.0,7.0,1.0,1.0,1.0,15.4,2.0,0.0,0.0,0.0,0.0,5.0,45.0,13.6,1.0,0.0,1.0,0.0,,,
5,Legend-Of-Zelda,2023-09-11 11:08:40,Java,5,5,0,0,1,684,Java,12,generated by chatgpt,Legend-Of-Zelda\a751474bc7219de9ebf35de611519895462cf89f\Gameplay\AnimatedObject\DeadAnimation.java,,file,,34,,"[1,54]",54,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],9514.0,6004.0,2839.0,655.0,98.0,97.0,23.3,1821.0,198.0,13.0,9.0,2.1,3.0,18.0,894.0,5891.0,3.3,1247.0,927.0,1.9,1.42,54.0,39.0,16.0,3.0,1.0,1.0,9.3,4.0,0.0,0.0,0.0,0.0,2.0,15.0,1.3,4.0,0.0,1.33,0.0,,,
6,netbeansPython,2023-04-03 19:25:12,Java,3,36,3,23,3,212,Java,49,generated by chatgpt,netbeansPython\21fefd66851624a3dd19abdb69f575526ab5c7e3\src\main\java\org\netbeans\modules\python\actions\PythonFixIndentAction.java,,method,,56,,"[50,78]",29,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],14657.0,11649.0,4161.0,774.0,154.0,123.0,6.3,786.0,1667.0,63.0,29.0,11.4,0.0,25.0,535.0,4735.0,1.4,1668.0,1161.0,2.16,1.5,30.0,23.0,17.0,1.0,1.0,1.0,19.4,6.0,0.0,0.0,0.0,0.0,4.0,25.0,3.3,7.0,11.0,7.0,11.0,,,
7,IST311ReviewQuiz,2023-09-06 15:13:42,Java,,0,0,0,1,2,Java,2,generated by chatgpt,IST311ReviewQuiz\7a10e49d3b74c7c768e4b90f1f68402b25fe0066\src\main\java\Book.java,IST311ReviewQuiz\218bc45da30332d0824e7b4c265d2a36c55f8a14\src\main\java\Book.java,file,,0,,"[1,37]",37,,,,,,,2,1,[-2],['218bc45da30332d0824e7b4c265d2a36c55f8a14'],"[[{'highest_ratio': 0.997737556561086, 'best_match_position': (1, 37)}]]",1,[-2],['218bc45da30332d0824e7b4c265d2a36c55f8a14'],"[[{'highest_ratio': 0.997737556561086, 'best_match_position': (1, 37)}]]",0,,,,[],[],[],83.0,59.0,27.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,150.0,8.5,7.0,2.0,1.0,0.29,37.0,27.0,12.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,3.7,5.0,2.0,1.67,0.67,,,
8,home-work,2023-10-23 22:28:05,Java,,0,0,0,1,3,Java,11,generated by chatgpt,home-work\a8e0d049688c59fe67ae27dcd9d4f3f656888c91\src\KNearestNeighbors.java,,file,,0,,"[1,89]",89,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],473.0,319.0,179.0,38.0,8.0,7.0,14.9,56.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,260.0,2.7,69.0,45.0,1.82,1.18,89.0,54.0,33.0,5.0,2.0,1.0,25.0,18.0,0.0,0.0,0.0,0.0,3.0,30.0,1.9,12.0,7.0,2.4,1.4,,,
9,java_dao,2023-07-31 16:13:30,Java,,0,0,0,1,2,Java,9,generated by chatgpt,java_dao\d65ebcae12fa840b98fc23bf706fa96dcae9f8ce\src\main\java\de\htwberlin\dao\FahrzeugDao.java,,file,,0,,"[1,55]",55,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],2596.0,1444.0,607.0,214.0,33.0,31.0,22.6,422.0,36.0,2.0,1.0,1.4,0.0,6.0,81.0,784.0,1.8,221.0,62.0,1.03,0.29,55.0,11.0,0.0,5.0,1.0,1.0,62.1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
12,cars,2023-08-20 12:36:58,Java,,0,0,0,1,46,Java,8,generated by chatgpt,cars\3919717e51fc8d05d63c304dfd2d46a12ad0a2fa\src\main\java\dat3\car\config\CarTestDataFactory.java,cars\b49d161ca6efa47b21e3ad0375aa7991baad5737\src\main\java\dat3\car\config\CarTestDataFactory.java,file,,1,,"[1,49]",49,,,,,,,5,4,"[-2, -3, -4, -5]","['aca4b32e1c8cc95723345e3cbd03aaab440c5bd7', '2e555f12daf4828fc8f6d138d4430ef827315b36', '400e2eda37cb05b29059126567b0c4990ca706f9', 'b49d161ca6efa47b21e3ad0375aa7991baad5737']","[[{'highest_ratio': 0.9949367088607595, 'best_match_position': (1, 50)}], [{'highest_ratio': 0.9997456118036123, 'best_match_position': (1, 50)}], [{'highest_ratio': 0.9954407294832827, 'best_match_position': (1, 51)}], [{'highest_ratio': 0.9964503042596349, 'best_match_position': (1, 51)}]]",4,"[-2, -3, -4, -5]","['aca4b32e1c8cc95723345e3cbd03aaab440c5bd7', '2e555f12daf4828fc8f6d138d4430ef827315b36', '400e2eda37cb05b29059126567b0c4990ca706f9', 'b49d161ca6efa47b21e3ad0375aa7991baad5737']","[[{'highest_ratio': 0.9949367088607595, 'best_match_position': (1, 50)}], [{'highest_ratio': 0.9997456118036123, 'best_match_position': (1, 50)}], [{'highest_ratio': 0.9954407294832827, 'best_match_position': (1, 51)}], [{'highest_ratio': 0.9964503042596349, 'best_match_position': (1, 51)}]]",0,,,,[],[],[],1004.0,714.0,210.0,58.0,20.0,20.0,15.4,130.0,0.0,0.0,0.0,0.0,0.0,2.0,58.0,422.0,2.0,77.0,9.0,1.33,0.16,49.0,34.0,10.0,1.0,1.0,1.0,17.1,7.0,0.0,0.0,0.0,0.0,3.0,20.0,2.0,2.0,1.0,2.0,1.0,,,
13,HBV501G,2023-09-01 16:32:00,Java,4,0,1,0,1,212,Java,3,generated by chatgpt,HBV501G\821afc5fc1b0082388f558deb2cbfcaf4af6a000\Backend\src\main\java\hbv501g\Utils\PasswordUtils.java,,file,,18,,"[1,33]",33,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],1212.0,771.0,249.0,121.0,24.0,26.0,9.9,85.0,0.0,0.0,0.0,0.0,0.0,2.0,75.0,427.0,1.8,141.0,30.0,1.17,0.25,33.0,24.0,11.0,2.0,1.0,1.0,14.3,4.0,0.0,0.0,0.0,0.0,2.0,15.0,2.1,2.0,1.0,1.0,0.5,,,
