code_func_type,count,percentage
Algorithm and data structure,9,5.172413793103448
Business logic,16,9.195402298850574
Configuration and deployment,1,0.5747126436781609
Data processing and transformation,80,45.97701149425287
File operations and I/O operation,3,1.7241379310344827
Framework and library,12,6.896551724137931
Game development,1,0.5747126436781609
Network requests and API call,6,3.4482758620689653
Program input code,4,2.2988505747126435
Scientific computation and numerical analysis,2,1.1494252873563218
Security,2,1.1494252873563218
Testing and debugging,12,6.896551724137931
User interface,26,14.942528735632186
