path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line
openaidemo\f57f85dd27fbc421a28dbc3b9898e8777a5f7868\src\main\java\com\kousenit\math\MandelbrotSetGenerator.java,9,written by chatgpt,,
shared-mailbox-toolkit\8a967b6bc8866ed618241ca77a288463bc901078\extension\ShareToolkit\src\tk\barrydegraaff\toolkit\ShareToolkitSoapHandler.java,129,written by chatgpt,,
jt-cmsi662\8fef04ff1a2d5550d7dfb806db52a9b4a5c48881\homework-2\java\SimpleShoppingCart.java,52,written by chatgpt,,
Classwork\8c8e7ef81d82e008dd371543d582d162881c08e3\src\NthPrime.java,113,written by chatgpt,,
chatty-backend\9b990df69c3f62b1ec6794731a6360451fe57573\src\main\java\net\nocpiun\chatty\utils\UniqueID.java,9,written by chatgpt,,
HoldemEvaluator\cb722a5471f2ac667e86c947e5061f2f9436d936\ReplaceStringInAllJavaFiles.java,7,written by chatgpt,,
SudokuSolver\c7beebd8e1b2e8a2243a24950b9f01490e573e7c\src\main\BacktrackingSolver.java,6,written by chatgpt,,
AuctionFlipper\a07047ef4f286eb1caaec3bb11be4011dade2bb8\ApiCaller.java,9,written by chatgpt,,
Wyvern\7bb94e005b131ace0c29c13b1e22d279b1f7be25\Wyvern Client\src\wyvern\util\ColorMap.java,9,written by chatgpt,,
Java-Granulator\01568ae1599ea327aae81bdd2e3ee9f1cac53d8a\src\model\LoudnessDensity.java,57,written by chatgpt,,
ScholarStack\1f83f241e42c8d992902ba2d61d35e6485f45693\src\main\java\MainUI\WrappedTreeRndr.java,8,written by chatgpt,,
MARS-ChatGPT\2a1e9b4b4f5be8c491d030f253b42e7c3a9482d4\src\main\java\mars\tools\ChatGPT.java,131,written by chatgpt,,
projectazure_forge\55884dd0bd53e763eb7b47f6c856615123dea23d\src\main\java\com\yor42\projectazure\libs\utils\MathUtil.java,169,written by chatgpt,,
ArtemisTasks\98db65f7d7f1e4e742047509c357f10877444215\AdventuinParty\pgdp\adventuin\AdventuinParty.java,68,written by chatgpt,,
QRelcome\d457c56ed9c5c0cad368182cbff2c6006bae3d52\app\src\main\java\com\example\qrelcome\CacheUUID.java,67,written by chatgpt,,
plantify\8492e569496c820b6d2249ec1838439748954505\plantifybackend\src\main\java\be\kdg\integration\plantifybackend\Util\MovingAverage.java,7,written by chatgpt,,
airbyte\480a43b9ab758e130832186116df78242b6086e2\airbyte-integrations\bases\base-java\src\main\java\io\airbyte\integrations\destination_async\AirbyteFileUtils.java,11,written by chatgpt,,
MakDan_project\f6fdf07f3a1df20cbf2e1cdd4ebd4622e76486e5\src\main\java\com\example\makdan_project\Main.java,78,written by chatgpt,,
modding\310055f863fbdda7bb2ef9591853ad921b0e023f\1.20.1\verdant\src\main\java\com\thomas\verdant\util\Utilities.java,592,written by chatgpt,,
TecTech\8060f5b13812eb59a14015f273c92a8ff761db26\src\main\java\com\github\technus\tectech\thing\block\TileEyeOfHarmony.java,36,written by chatgpt,,
DrTech\a61b2551ad3bdcf937ca2d0df165f7f6098845cc\src\main\java\com\drppp\drtech\Tile\TileEntityHomoEye.java,50,written by chatgpt,,
airbyte\da32fc86bf6450b4d02d4cc9e5f761b80529255a\airbyte-cdk\java\airbyte-cdk\core\src\main\java\io\airbyte\cdk\integrations\destination_async\AirbyteFileUtils.java,11,written by chatgpt,,
PDADuplicator\18719cea537d0788abffbea638d3fab95a8398e0\app\src\main\java\com\zebra\android\devdemo\sendfile\SendFileDemo.java,46,written by chatgpt,,
