index,project_name,create_time,project_language,contributor,star,fork,issues,watch,project_commits,code_language,keyword_index,matched_keyword,path_of_first_file_commit,final_change_commit_path,code_granularity_data,code_func_type,number_of_bug_or_vulnerability_all_commit,start_end_line_data,first_loc,final_start_end_line_data,final_loc_add,final_loc_minus,final_change_type,test_code_data,regular_expression_data,number_of_commits,number_of_change_commit_to_first,change_commit_to_first_index,change_commit_to_first_hash,change_commit_to_first_blocks,number_of_all_change_commit,all_change_commit_index,all_change_commit_hash,all_change_commit_blocks,number_of_all_change_fix_commit,all_change_fix_commit_index,all_change_fix_commit_hash,all_change_fix_commit_blocks,project_lines,project_locs,project_statements,project_functions,project_classes,project_files,project_density_comments,project_comments,project_duplicated_lines,project_duplicated_blocks,project_duplicated_files,project_duplicated_lines_density,project_vulnerability,project_bugs,project_code_smells,project_sqale_index,project_sqale_debt_ratio,project_complexity_all,project_cognitive_complexity_all,project_complexity_mean_method,project_cognitive_complexity_mean_method,code_lines,code_locs,code_statements,code_functions,code_classes,code_files,code_density_comments,code_comments,code_duplicated_lines,code_duplicated_blocks,code_duplicated_files,code_duplicated_lines_density,code_code_smells,code_sqale_index,code_sqale_debt_ratio,code_complexity_all,code_cognitive_complexity_all,code_complexity_mean_method,code_cognitive_complexity_mean_method,manual_vs_gpt_loc_ratio,manual_vs_gpt_change_commit_ratio,manual_vs_gpt_change_fix_commit_ratio,code_vulnerability,code_bugs
0,openaidemo,2023-07-23 17:50:03,Java,,33,8,0,7,168,Java,9,written by chatgpt,openaidemo\f57f85dd27fbc421a28dbc3b9898e8777a5f7868\src\main\java\com\kousenit\math\MandelbrotSetGenerator.java,openaidemo\0ff12c60d7cc973cac4d22d66c1b56bea62d1725\src\main\java\com\kousenit\math\MandelbrotSetGenerator.java,file,,36,"[1,65]",65,,,,,,,2,1,[-2],['0ff12c60d7cc973cac4d22d66c1b56bea62d1725'],"[[{'highest_ratio': 0.9952048823016565, 'best_match_position': (1, 65)}]]",1,[-2],['0ff12c60d7cc973cac4d22d66c1b56bea62d1725'],"[[{'highest_ratio': 0.9952048823016565, 'best_match_position': (1, 65)}]]",0,[],[],[],681,521,216,31,22,16,4.9,27,0,0,0,0.0,0,4,47,446,2.9,42,19,1.35,0.61,65,50,33,2,1,1,7.4,4,0,0,0,0.0,2,20,1.3,7,9,3.5,4.5,,,,,
2,jt-cmsi662,2023-05-23 06:08:32,Python,2.0,0,0,0,2,33,Java,52,written by chatgpt,jt-cmsi662\8fef04ff1a2d5550d7dfb806db52a9b4a5c48881\homework-2\java\SimpleShoppingCart.java,,method,,1,"[53,60]",8,,,,,,,2,0,[],[],[],0,[],[],[],0,[],[],[],119,84,49,10,4,4,16.0,16,0,0,0,0.0,0,0,20,196,7.8,15,5,1.5,0.5,9,8,6,1,1,1,0.0,0,0,0,0,0.0,2,15,5.0,2,1,2.0,1.0,,,,,
4,chatty-backend,2024-02-06 07:50:19,Java,,0,0,0,1,6,Java,9,written by chatgpt,chatty-backend\9b990df69c3f62b1ec6794731a6360451fe57573\src\main\java\net\nocpiun\chatty\utils\UniqueID.java,,method,,0,"[10,19]",10,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],647,494,171,53,25,25,2.6,13,0,0,0,0.0,0,0,58,701,4.7,67,20,1.26,0.38,11,10,7,1,1,1,0.0,0,0,0,0,0.0,3,20,5.6,2,1,2.0,1.0,,,,,
5,HoldemEvaluator,2024-01-17 00:55:15,Java,,0,0,0,1,4,Java,7,written by chatgpt,HoldemEvaluator\cb722a5471f2ac667e86c947e5061f2f9436d936\ReplaceStringInAllJavaFiles.java,,file,,0,"[1,63]",63,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],31466,20945,11877,748,102,62,22.6,6105,5695,119,20,18.1,0,47,1204,13037,2.1,3986,4534,5.33,6.06,63,30,13,2,1,1,43.4,23,0,0,0,0.0,6,55,6.1,3,2,1.5,1.0,,,,,
6,SudokuSolver,2023-07-02 14:16:01,Java,,0,0,0,1,15,Java,6,written by chatgpt,SudokuSolver\c7beebd8e1b2e8a2243a24950b9f01490e573e7c\src\main\BacktrackingSolver.java,,file,,2,"[1,98]",98,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],621,457,193,32,9,9,11.6,60,0,0,0,0.0,0,2,38,458,3.3,116,194,3.62,6.06,98,66,36,4,1,1,21.4,18,0,0,0,0.0,7,70,3.5,21,37,5.25,9.25,,,,,
7,AuctionFlipper,2024-04-09 16:53:22,Java,4.0,0,0,0,1,142,Java,9,written by chatgpt,AuctionFlipper\a07047ef4f286eb1caaec3bb11be4011dade2bb8\ApiCaller.java,AuctionFlipper\155a4e2cf1c6a5be5fcd369132bc0779213e17c0\ApiCaller.java,file,,9,"[1,159]",159,,,,,,,10,9,"[-2, -3, -4, -5, -6, -7, -8, -9, -10]","['1839f30d167e541d50dadb8d077cef100443cee3', 'fa80c6c9c27e8cdc382c5c9adf809d051125b9f7', '0bf64c721efdef9b202ac29d3144bf4f1fb9012d', '7305c13327d0ecb2d67da854325af8dcd9062562', 'c74cea6aba226203c5b764152eecaf2fdad3334f', '156e63d9fc4871402840d7dfeaafe379741024c8', '71d5d9b224a9e3508dd57535fc81b4f6d0b4da16', '25e51d2790a9bb5f3c09bc09b7d75468cdd8780d', '155a4e2cf1c6a5be5fcd369132bc0779213e17c0']","[[{'highest_ratio': 0.8750902527075812, 'best_match_position': (1, 200)}], [{'highest_ratio': 0.8433343643674606, 'best_match_position': (1, 206)}], [{'highest_ratio': 0.8363580199243185, 'best_match_position': (1, 208)}], [{'highest_ratio': 0.8351326341764344, 'best_match_position': (1, 208)}], [{'highest_ratio': 0.8363580199243185, 'best_match_position': (1, 208)}], [{'highest_ratio': 0.8349394803793077, 'best_match_position': (1, 209)}], [{'highest_ratio': 0.8354313074368677, 'best_match_position': (1, 208)}], [{'highest_ratio': 0.8342716125549472, 'best_match_position': (1, 211)}], [{'highest_ratio': 0.7510935221828786, 'best_match_position': (1, 250)}]]",9,"[-2, -3, -4, -5, -6, -7, -8, -9, -10]","['1839f30d167e541d50dadb8d077cef100443cee3', 'fa80c6c9c27e8cdc382c5c9adf809d051125b9f7', '0bf64c721efdef9b202ac29d3144bf4f1fb9012d', '7305c13327d0ecb2d67da854325af8dcd9062562', 'c74cea6aba226203c5b764152eecaf2fdad3334f', '156e63d9fc4871402840d7dfeaafe379741024c8', '71d5d9b224a9e3508dd57535fc81b4f6d0b4da16', '25e51d2790a9bb5f3c09bc09b7d75468cdd8780d', '155a4e2cf1c6a5be5fcd369132bc0779213e17c0']","[[{'highest_ratio': 0.8750902527075812, 'best_match_position': (1, 200)}], [{'highest_ratio': 0.8433343643674606, 'best_match_position': (1, 206)}], [{'highest_ratio': 0.8363580199243185, 'best_match_position': (1, 208)}], [{'highest_ratio': 0.8351326341764344, 'best_match_position': (1, 208)}], [{'highest_ratio': 0.8363580199243185, 'best_match_position': (1, 208)}], [{'highest_ratio': 0.8349394803793077, 'best_match_position': (1, 209)}], [{'highest_ratio': 0.8354313074368677, 'best_match_position': (1, 208)}], [{'highest_ratio': 0.8342716125549472, 'best_match_position': (1, 211)}], [{'highest_ratio': 0.7510935221828786, 'best_match_position': (1, 250)}]]",1,[-7],['156e63d9fc4871402840d7dfeaafe379741024c8'],"[[{'highest_ratio': 0.8349394803793077, 'best_match_position': (1, 209)}]]",166,89,57,6,2,2,28.2,35,90,7,1,54.2,0,0,16,201,7.5,9,6,1.5,1.0,159,83,55,5,1,1,29.7,35,90,7,1,56.6,13,179,7.2,8,6,1.6,1.2,,,,,
8,Wyvern,2023-04-29 16:21:14,Java,3.0,1,0,0,1,107,Java,9,written by chatgpt,Wyvern\7bb94e005b131ace0c29c13b1e22d279b1f7be25\Wyvern Client\src\wyvern\util\ColorMap.java,,file,,11,"[1,39]",39,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],3259,2690,1235,164,51,50,6.2,177,186,8,7,5.7,0,22,296,3331,4.1,373,500,2.27,3.05,39,29,17,1,1,1,37.0,17,0,0,0,0.0,1,5,0.6,1,0,1.0,0.0,,,,,
9,Java-Granulator,2023-06-12 22:40:28,Java,,0,0,0,1,1,Java,57,written by chatgpt,Java-Granulator\01568ae1599ea327aae81bdd2e3ee9f1cac53d8a\src\model\LoudnessDensity.java,,method,,0,"[58,88]",31,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],865,638,375,47,12,11,20.8,168,259,8,5,29.9,0,12,71,520,2.7,113,116,2.4,2.47,32,21,12,1,1,1,20.7,6,0,0,0,0.0,4,20,2.9,5,8,5.0,8.0,,,,,
10,ScholarStack,2023-12-15 09:37:59,Java,5.0,0,0,0,1,181,Java,8,written by chatgpt,ScholarStack\1f83f241e42c8d992902ba2d61d35e6485f45693\src\main\java\MainUI\WrappedTreeRndr.java,,file,,30,"[1,33]",33,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],1659,977,511,74,25,23,20.8,257,0,0,0,0.0,0,5,159,1375,4.7,140,101,1.89,1.36,33,25,8,2,1,1,3.8,1,0,0,0,0.0,1,10,1.3,3,2,1.5,1.0,,,,,
11,MARS-ChatGPT,2023-11-16 04:51:40,HTML,5.0,0,0,0,1,27,Java,131,written by chatgpt,MARS-ChatGPT\2a1e9b4b4f5be8c491d030f253b42e7c3a9482d4\src\main\java\mars\tools\ChatGPT.java,,method,,5,"[133,155]",23,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],61085,33235,17034,2505,411,219,32.0,15640,4588,217,44,7.5,5,105,3686,32304,3.2,6286,6009,2.51,2.4,24,21,12,1,1,1,0.0,0,0,0,0,0.0,4,27,3.9,1,1,1.0,1.0,,,,,
13,ArtemisTasks,2023-11-21 12:29:06,Java,,0,0,0,1,97,Java,68,written by chatgpt,ArtemisTasks\98db65f7d7f1e4e742047509c357f10877444215\AdventuinParty\pgdp\adventuin\AdventuinParty.java,,method,,2,"[69,91]",23,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],2459,2103,936,326,56,58,3.2,70,0,0,0,0.0,0,5,114,818,1.3,503,243,1.54,0.75,24,15,13,1,1,1,10.5,2,0,0,0,0.0,5,40,7.8,2,1,2.0,1.0,,,,,
14,QRelcome,2024-01-29 03:52:09,Java,6.0,1,1,26,1,60,Java,67,written by chatgpt,QRelcome\d457c56ed9c5c0cad368182cbff2c6006bae3d52\app\src\main\java\com\example\qrelcome\CacheUUID.java,,method,,7,"[72,93]",22,,,,,,,5,0,[],[],[],0,[],[],[],0,[],[],[],337,223,64,16,7,7,11.2,28,0,0,0,0.0,0,1,8,45,0.7,24,8,1.5,0.5,23,16,10,1,1,1,0.0,0,0,0,0,0.0,3,20,3.7,2,2,2.0,2.0,,,,,
15,plantify,2024-01-23 15:30:24,C++,,0,0,0,1,4,Java,7,written by chatgpt,plantify\8492e569496c820b6d2249ec1838439748954505\plantifybackend\src\main\java\be\kdg\integration\plantifybackend\Util\MovingAverage.java,,file,,0,"[1,20]",20,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],3185,2192,747,307,43,42,9.5,230,119,4,4,3.7,0,2,48,482,0.7,326,101,1.06,0.33,20,14,6,1,1,1,12.5,2,0,0,0,0.0,2,15,3.6,3,2,3.0,2.0,,,,,
16,airbyte,2023-09-06 13:25:11,Python,776.0,0,0,0,0,12299,Java,11,written by chatgpt,airbyte\480a43b9ab758e130832186116df78242b6086e2\airbyte-integrations\bases\base-java\src\main\java\io\airbyte\integrations\destination_async\AirbyteFileUtils.java,,file,,5052,"[1,44]",44,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],157114,113937,36034,9053,1667,1516,6.4,7736,11966,642,270,7.6,2,157,3292,39468,1.2,14868,6324,1.64,0.7,44,22,9,1,1,1,21.4,6,0,0,0,0.0,5,25,3.8,5,5,5.0,5.0,,,,,
17,MakDan_project,2024-03-24 19:14:11,Java,,1,0,0,1,15,Java,78,written by chatgpt,MakDan_project\f6fdf07f3a1df20cbf2e1cdd4ebd4622e76486e5\src\main\java\com\example\makdan_project\Main.java,,method,,5,"[79,107]",29,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],768,579,235,46,8,9,0.5,3,66,4,2,8.6,0,1,41,482,2.8,69,30,1.5,0.65,30,24,22,1,1,1,0.0,0,0,0,0,0.0,4,40,5.1,3,3,3.0,3.0,,,,,
