path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line
AI-Prompt-Genius\05c5e8efefe215ee8ea8293dd9649010802d3369\src\components\js\utils.js,13,created by chatgpt,,
chatGPT-yunzai\346193ddaec3fa0dceec801bc798510cbab87343\components\render.js,16,created by chatgpt,,
Bing-Chat-History\e84e3bded63150d605bba6647572445f0116eeff\src\pages\js\thread.js,164,created by chatgpt,,
hslayers-ng\60a6a76a7d4ca9161cee443975734e9a53a0eed7\projects\hslayers-server\src\proxy.js,88,created by chatgpt,,
HighestGoodNetworkApp\26b7c5ad381c960ec04d8489d3c5ceb1aaa1a2a7\src\components\UserProfile\UserProfile.jsx,246,created by chatgpt,,
javascript-testing-examples\1d3da54cc018e1caa77d71b9170c81fadfb6e51f\replay-testing\backend\index.js,2,created by chatgpt,,
WebFutures\792f363cb6bcf75b35857ef9d21a8787c4ca4e64\script.js,7,created by chatgpt,,
Kommuniti\d19d61943eb920b1705e05cf96a8fad534a0fb51\lib\utils.jsx,9,created by chatgpt,,
cmpm169\d5b0d173a70a872688eb4edf36fed89cd16fb04f\experiment3\js\sketch.js,68,created by chatgpt,,
threads\1ca53912ee619c5985b5dded10eed96670b581be\.next\server\chunks\2857.js,22,created by chatgpt,,
RecallRx-Full-Stack-Web-App\1aa67e6d39cb706ca8c6678812e732cef7e852aa\public\scripts\mmse-helpers.js,1,created by chatgpt,,
code-challenges\3287f7e9be74d545375de59a03556e455f284bd2\findMedian.js,2,created by chatgpt,,
algorithm\2633e8a902d97dc6657e84cc437a27efc62b3eac\00_Leetcode\src\_06_math\_6_z_2.js,21,created by chatgpt,,
chat-app-socket-io\f72c567874665426fa2727922aa773c397947bbf\src\config\database\seed\seeder.js,9,created by chatgpt,,
chatgpt-a-brief-rendition\3524890cef03089a197b4a9e7e6d0d2dc29bed37\src\components\About.js,73,created by chatgpt,,
assignment-3-Furi0usGeorgeX\7531e15cabdb627f1ac44989898e78d703e6af2f\AndrewRichardA3Q2.js,263,created by chatgpt,,
ShellyScripts\421f7c5561bd0adec8989854b16adccf93d512e8\Shelly_Gen2_provisioning.js,1,created by chatgpt,,
99100sim\735ba3b9f564e5000bdf26e4477ff299186b48ef\viz.js,64,created by chatgpt,,
,-1,,,
pariwise_survey\0a19f184ce750341185d8c0a6eada6f29515fcbb\js\elo.js,243,created by chatgpt,,
step-by-step-app\3e99e98f4dd8f36a7f667f716bcba78b6f7389dc\client\src\components\AddGoal.jsx,91,created by chatgpt,,
newwin01.github.io\bbf823b92f5d03e9d9e2b409f99ae723f962108e\_site\assets\js\lunr\lunr-store.js,63,created by chatgpt,,
clrb-edition_tracker\d40531e4d2dd5d324f69591176352ccd14808d8b\src\main\resources\static\js\main.js,9,created by chatgpt,,
usdb_plus\c3d3ba992a026c7a68c641c9a328e4324193a4cd\scripts\highlight_search_results.js,63,created by chatgpt,,
emergent-playground\17e1f8c3df6abe6d36ed54e576708eb38afb192b\frontend\src\sketches\CellularAutomataSketchClass.js,417,created by chatgpt,,
Threadify-NextJs\43cdebdc089bb404e600a5411f8a90c48aa05cb8\lib\utils.js,8,created by chatgpt,,
thread\b9b7997958f11019578e2ba91f09c8b950749b29\src\lib\utils.js,8,created by chatgpt,,
Chat-WebApp\a8e5bf4c02c4023cc00e32cdf7071a503e741200\script.js,49,created by chatgpt,,
portfolio\18fbb7e622adc79f5c88d0d755b37b0ac5fc0d43\pages\projects\quizProj.js,48,created by chatgpt,,
4537Lab4-1\920e48e376a9027ebb7fcbf9bbcad0d70849a0e2\api\app.js,92,created by chatgpt,,
react-tutorial-app\af45b1cc611327a2bb7d142422c383b7f8d53240\frontend\src\pages\teacher\index.js,18,created by chatgpt,,
VR_Bus_2\a421367644bdc55be793e0b3833e9ff7ae793c7c\index.js,704,created by chatgpt,,
personal-portfolio\b20af244965298710e8f362747d26bb0eeced3ef\src\constants\index.js,199,created by chatgpt,,
FullStackOpenExercise\b883a9a5a359233760b42ef2c5c1524d3bdb9b70\part1\unicafe\src\App.jsx,6,created by chatgpt,,
LB-b\3cdea62408be70cfddfdfe2d4e3e3ba276b21f67\Code-lb.js\LB-b.js,15,created by chatgpt,,
Bing-Chat-History\53deac5b9a256423f12235654b0c4be87f15081e\src\content-scripts\bing\scraper.js,14,created by chatgpt,,
Bing-Chat-History\e84e3bded63150d605bba6647572445f0116eeff\src\pages\js\explorer.js,11,created by chatgpt,,
AI-Prompt-Genius\6f8aafa5b049ff15e58294c456d0167b0601b595\src\components\js\export.js,33,created by chatgpt,,
threads\1ca53912ee619c5985b5dded10eed96670b581be\.next\server\chunks\5839.js,22,created by chatgpt,,
Bing-Chat-History\a9b013bc573b42d867b0ad23e884928947a0c167\src\pages\js\utility.js,28,created by chatgpt,,
project-1-jknt27\3f16d0a7c4ddecab6266f426c6e7d56810a3cdfe\src\components\About.js,57,created by chatgpt,,
automaticbrowserinterceptor\93b25be668b618e275d2b10c0de73e39b2946429\publicip\index.js,4,created by chatgpt,,
Bing-Chat-History\e84e3bded63150d605bba6647572445f0116eeff\src\content-scripts\utility.js,22,created by chatgpt,,
AllUnitsTeacher\1be06fa308d12a2bda96717035430b88f3474866\exf5_ChatGPT.js,47,created by chatgpt,,
cmpm169\2a62e70d29a5054c23784f4b92b816fd98ce6d1b\experiment4\js\sketch.js,150,created by chatgpt,,
express-hp\c69d87bbd6e61b78db371d856def688e3167f445\utils\userPassword.js,2,created by chatgpt,,
trip-architect\f7583c2d054c0ee5d98def7b06115851bf38d5b8\src\pages\REPage.jsx,62,created by chatgpt,,
khu-mcl.github.io\52e6b32a658ef59c441bd939df6a0dbcb0809482\_site\assets\js\lunr\lunr-store.js,78,created by chatgpt,,
assignment-3-Furi0usGeorgeX\21f68f5ae25566418ed5f33d836ed6d5c510e036\AndrewRichardA3Q5.js,386,created by chatgpt,,
antonrou-projects\4d0c2d2af1ed0bc3a3cf59f75fd658ad94d9c638\Internships\codetrain\AllUnitsTeacher\exf5_ChatGPT.js,47,created by chatgpt,,
AI-Prompt-Genius\05c5e8efefe215ee8ea8293dd9649010802d3369\src\components\js\utils.js,13,created by chatgpt,,
chatGPT-yunzai\346193ddaec3fa0dceec801bc798510cbab87343\components\render.js,16,created by chatgpt,,
Bing-Chat-History\e84e3bded63150d605bba6647572445f0116eeff\src\pages\js\thread.js,164,created by chatgpt,,
hslayers-ng\60a6a76a7d4ca9161cee443975734e9a53a0eed7\projects\hslayers-server\src\proxy.js,88,created by chatgpt,,
HighestGoodNetworkApp\26b7c5ad381c960ec04d8489d3c5ceb1aaa1a2a7\src\components\UserProfile\UserProfile.jsx,246,created by chatgpt,,
javascript-testing-examples\1d3da54cc018e1caa77d71b9170c81fadfb6e51f\replay-testing\backend\index.js,2,created by chatgpt,,
WebFutures\792f363cb6bcf75b35857ef9d21a8787c4ca4e64\script.js,7,created by chatgpt,,
Kommuniti\d19d61943eb920b1705e05cf96a8fad534a0fb51\lib\utils.jsx,9,created by chatgpt,,
cmpm169\d5b0d173a70a872688eb4edf36fed89cd16fb04f\experiment3\js\sketch.js,68,created by chatgpt,,
threads\1ca53912ee619c5985b5dded10eed96670b581be\.next\server\chunks\2857.js,22,created by chatgpt,,
RecallRx-Full-Stack-Web-App\1aa67e6d39cb706ca8c6678812e732cef7e852aa\public\scripts\mmse-helpers.js,1,created by chatgpt,,
code-challenges\3287f7e9be74d545375de59a03556e455f284bd2\findMedian.js,2,created by chatgpt,,
algorithm\2633e8a902d97dc6657e84cc437a27efc62b3eac\00_Leetcode\src\_06_math\_6_z_2.js,21,created by chatgpt,,
chat-app-socket-io\f72c567874665426fa2727922aa773c397947bbf\src\config\database\seed\seeder.js,9,created by chatgpt,,
chatgpt-a-brief-rendition\3524890cef03089a197b4a9e7e6d0d2dc29bed37\src\components\About.js,73,created by chatgpt,,
assignment-3-Furi0usGeorgeX\7531e15cabdb627f1ac44989898e78d703e6af2f\AndrewRichardA3Q2.js,263,created by chatgpt,,
ShellyScripts\421f7c5561bd0adec8989854b16adccf93d512e8\Shelly_Gen2_provisioning.js,1,created by chatgpt,,
99100sim\735ba3b9f564e5000bdf26e4477ff299186b48ef\viz.js,64,created by chatgpt,,
,-1,,,
pariwise_survey\0a19f184ce750341185d8c0a6eada6f29515fcbb\js\elo.js,243,created by chatgpt,,
step-by-step-app\3e99e98f4dd8f36a7f667f716bcba78b6f7389dc\client\src\components\AddGoal.jsx,91,created by chatgpt,,
newwin01.github.io\bbf823b92f5d03e9d9e2b409f99ae723f962108e\_site\assets\js\lunr\lunr-store.js,63,created by chatgpt,,
clrb-edition_tracker\d40531e4d2dd5d324f69591176352ccd14808d8b\src\main\resources\static\js\main.js,9,created by chatgpt,,
usdb_plus\c3d3ba992a026c7a68c641c9a328e4324193a4cd\scripts\highlight_search_results.js,63,created by chatgpt,,
emergent-playground\17e1f8c3df6abe6d36ed54e576708eb38afb192b\frontend\src\sketches\CellularAutomataSketchClass.js,417,created by chatgpt,,
Threadify-NextJs\43cdebdc089bb404e600a5411f8a90c48aa05cb8\lib\utils.js,8,created by chatgpt,,
thread\b9b7997958f11019578e2ba91f09c8b950749b29\src\lib\utils.js,8,created by chatgpt,,
Chat-WebApp\a8e5bf4c02c4023cc00e32cdf7071a503e741200\script.js,49,created by chatgpt,,
portfolio\18fbb7e622adc79f5c88d0d755b37b0ac5fc0d43\pages\projects\quizProj.js,48,created by chatgpt,,
4537Lab4-1\920e48e376a9027ebb7fcbf9bbcad0d70849a0e2\api\app.js,92,created by chatgpt,,
react-tutorial-app\af45b1cc611327a2bb7d142422c383b7f8d53240\frontend\src\pages\teacher\index.js,18,created by chatgpt,,
VR_Bus_2\a421367644bdc55be793e0b3833e9ff7ae793c7c\index.js,704,created by chatgpt,,
personal-portfolio\b20af244965298710e8f362747d26bb0eeced3ef\src\constants\index.js,199,created by chatgpt,,
FullStackOpenExercise\b883a9a5a359233760b42ef2c5c1524d3bdb9b70\part1\unicafe\src\App.jsx,6,created by chatgpt,,
LB-b\3cdea62408be70cfddfdfe2d4e3e3ba276b21f67\Code-lb.js\LB-b.js,15,created by chatgpt,,
Bing-Chat-History\53deac5b9a256423f12235654b0c4be87f15081e\src\content-scripts\bing\scraper.js,14,created by chatgpt,,
Bing-Chat-History\e84e3bded63150d605bba6647572445f0116eeff\src\pages\js\explorer.js,11,created by chatgpt,,
AI-Prompt-Genius\6f8aafa5b049ff15e58294c456d0167b0601b595\src\components\js\export.js,33,created by chatgpt,,
threads\1ca53912ee619c5985b5dded10eed96670b581be\.next\server\chunks\5839.js,22,created by chatgpt,,
Bing-Chat-History\a9b013bc573b42d867b0ad23e884928947a0c167\src\pages\js\utility.js,28,created by chatgpt,,
project-1-jknt27\3f16d0a7c4ddecab6266f426c6e7d56810a3cdfe\src\components\About.js,57,created by chatgpt,,
automaticbrowserinterceptor\93b25be668b618e275d2b10c0de73e39b2946429\publicip\index.js,4,created by chatgpt,,
Bing-Chat-History\e84e3bded63150d605bba6647572445f0116eeff\src\content-scripts\utility.js,22,created by chatgpt,,
AllUnitsTeacher\1be06fa308d12a2bda96717035430b88f3474866\exf5_ChatGPT.js,47,created by chatgpt,,
cmpm169\2a62e70d29a5054c23784f4b92b816fd98ce6d1b\experiment4\js\sketch.js,150,created by chatgpt,,
express-hp\c69d87bbd6e61b78db371d856def688e3167f445\utils\userPassword.js,2,created by chatgpt,,
trip-architect\f7583c2d054c0ee5d98def7b06115851bf38d5b8\src\pages\REPage.jsx,62,created by chatgpt,,
khu-mcl.github.io\52e6b32a658ef59c441bd939df6a0dbcb0809482\_site\assets\js\lunr\lunr-store.js,78,created by chatgpt,,
assignment-3-Furi0usGeorgeX\21f68f5ae25566418ed5f33d836ed6d5c510e036\AndrewRichardA3Q5.js,386,created by chatgpt,,
antonrou-projects\4d0c2d2af1ed0bc3a3cf59f75fd658ad94d9c638\Internships\codetrain\AllUnitsTeacher\exf5_ChatGPT.js,47,created by chatgpt,,
