index,project_name,create_time,project_language,contributor,star,fork,issues,watch,project_commits,code_language,keyword_index,matched_keyword,path_of_first_file_commit,final_change_commit_path,code_granularity_data,code_func_type,number_of_bug_or_vulnerability_all_commit,start_end_line_data,first_loc,final_start_end_line_data,final_loc_add,final_loc_minus,final_change_type,test_code_data,regular_expression_data,number_of_commits,number_of_change_commit_to_first,change_commit_to_first_index,change_commit_to_first_hash,change_commit_to_first_blocks,number_of_all_change_commit,all_change_commit_index,all_change_commit_hash,all_change_commit_blocks,number_of_all_change_fix_commit,all_change_fix_commit_index,all_change_fix_commit_hash,all_change_fix_commit_blocks,project_lines,project_locs,project_statements,project_functions,project_classes,project_files,project_density_comments,project_comments,project_duplicated_lines,project_duplicated_blocks,project_duplicated_files,project_duplicated_lines_density,project_vulnerability,project_bugs,project_code_smells,project_sqale_index,project_sqale_debt_ratio,project_complexity_all,project_cognitive_complexity_all,project_complexity_mean_method,project_cognitive_complexity_mean_method,code_lines,code_locs,code_statements,code_functions,code_classes,code_files,code_density_comments,code_comments,code_duplicated_lines,code_duplicated_blocks,code_duplicated_files,code_duplicated_lines_density,code_code_smells,code_sqale_index,code_sqale_debt_ratio,code_complexity_all,code_cognitive_complexity_all,code_complexity_mean_method,code_cognitive_complexity_mean_method,manual_vs_gpt_loc_ratio,manual_vs_gpt_change_commit_ratio,manual_vs_gpt_change_fix_commit_ratio,code_vulnerability,code_bugs
2,Bing-Chat-History,2023/2/11 0:19,JavaScript,3.0,72,8,16,3,52,JavaScript,164,created by chatgpt,Bing-Chat-History\e84e3bded63150d605bba6647572445f0116eeff\src\pages\js\thread.js,Bing-Chat-History\5591999dc495d8f156819bcfaa646d5afb2d78a5\src\pages\js\thread.js,method,,6,"[164,186]",23,,,,,,,7,2,"[-6, -7]","['5591999dc495d8f156819bcfaa646d5afb2d78a5', '0daccd9b631213ddc02f8231f7f16d191c6320f4']","[[{'highest_ratio': 0.99906191369606, 'best_match_position': (42, 64)}], [{'highest_ratio': 0.99906191369606, 'best_match_position': (42, 64)}]]",1,[-6],['5591999dc495d8f156819bcfaa646d5afb2d78a5'],"[[{'highest_ratio': 0.99906191369606, 'best_match_position': (42, 64)}]]",0,[],[],[],20485,17175,10247,1735,24,22,11.4,2200,507,22,9,2.5,3,58,1467,14443,2.8,5212,6681,3.0,3.85,24,15.0,13.0,4.0,0.0,1,25.0,5.0,0,0,0,0,0,0,0.0,4.0,0.0,1.0,0.0,,,,,
5,javascript-testing-examples,2023/9/29 6:49,JavaScript,,7,0,0,1,29,JavaScript,2,created by chatgpt,javascript-testing-examples\1d3da54cc018e1caa77d71b9170c81fadfb6e51f\replay-testing\backend\index.js,javascript-testing-examples\cc97b80d2d82a5fe5103486b138e7c51deb11b02\replay-testing\backend\index.js,file,,0,"[1,25]",25,,,,,,,3,2,"[-2, -3]","['598f9e0f12a228977e1e85ce2db3abec5994e0e5', 'cc97b80d2d82a5fe5103486b138e7c51deb11b02']","[[{'highest_ratio': 0.6993780234968902, 'best_match_position': (1, 43)}], [{'highest_ratio': 0.44621513944223107, 'best_match_position': (1, 45)}]]",2,"[-2, -3]","['598f9e0f12a228977e1e85ce2db3abec5994e0e5', 'cc97b80d2d82a5fe5103486b138e7c51deb11b02']","[[{'highest_ratio': 0.6993780234968902, 'best_match_position': (1, 43)}], [{'highest_ratio': 0.44621513944223107, 'best_match_position': (1, 45)}]]",0,[],[],[],605,370,213,41,0,9,12.3,52,0,0,0,0.0,0,0,7,32,0.3,57,32,1.39,0.78,25,16.0,13.0,3.0,0.0,1,0.0,0.0,0,0,0,0,0,0,0.0,3.0,0.0,1.0,0.0,,,,,
6,WebFutures,2024/4/22 23:35,HTML,,0,0,0,1,43,JavaScript,7,created by chatgpt,WebFutures\792f363cb6bcf75b35857ef9d21a8787c4ca4e64\script.js,,file,,2,"[1,33]",33,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],34,23,12,8,0,1,25.8,8,0,0,0,0.0,0,0,0,0,0.0,8,0,1.0,0.0,34,23.0,12.0,8.0,0.0,1,25.8,8.0,0,0,0,0,0,0,0.0,8.0,0.0,1.0,0.0,,,,,
7,Kommuniti,2023/11/17 18:25,JavaScript,,0,0,0,1,120,JavaScript,9,created by chatgpt,Kommuniti\d19d61943eb920b1705e05cf96a8fad534a0fb51\lib\utils.jsx,,method,,7,"[[10,13],[16,32],[35,43]]",30,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],1133,979,146,40,0,25,2.4,24,154,2,1,13.6,0,0,29,97,0.3,73,36,1.82,0.9,33,27.0,12.0,3.0,0.0,1,0.0,0.0,0,0,0,0,0,0,0.0,5.0,4.0,1.67,1.33,,,,,
8,cmpm169,2024/1/18 4:36,HTML,,0,0,0,1,49,JavaScript,68,created by chatgpt,cmpm169\d5b0d173a70a872688eb4edf36fed89cd16fb04f\experiment3\js\sketch.js,cmpm169\a9217075390c74efdd62b173df17499a2ae058de\experiment3\js\sketch.js,file,,0,"[1,68]",68,,,,,,,5,4,"[-2, -3, -4, -5]","['9771b459608012d5cbbdf2d942397f84a62cc3ca', '46746ad1826f95124d3bb226b7d4cde970204c71', '22b2af5a6aea6498350087e6e67da4bfaf09ef4a', 'a9217075390c74efdd62b173df17499a2ae058de']","[[{'highest_ratio': 0.9910083493898523, 'best_match_position': (1, 68)}], [{'highest_ratio': 0.8435737607598695, 'best_match_position': (1, 71)}], [{'highest_ratio': 0.8525872442839952, 'best_match_position': (1, 70)}], [{'highest_ratio': 0.8667651403249631, 'best_match_position': (1, 73)}]]",4,"[-2, -3, -4, -5]","['9771b459608012d5cbbdf2d942397f84a62cc3ca', '46746ad1826f95124d3bb226b7d4cde970204c71', '22b2af5a6aea6498350087e6e67da4bfaf09ef4a', 'a9217075390c74efdd62b173df17499a2ae058de']","[[{'highest_ratio': 0.9910083493898523, 'best_match_position': (1, 68)}], [{'highest_ratio': 0.8435737607598695, 'best_match_position': (1, 71)}], [{'highest_ratio': 0.8525872442839952, 'best_match_position': (1, 70)}], [{'highest_ratio': 0.8667651403249631, 'best_match_position': (1, 73)}]]",0,[],[],[],613,327,202,51,11,13,23.4,100,232,4,4,37.8,0,0,16,160,1.6,66,14,1.29,0.27,69,54.0,39.0,5.0,1.0,1,5.3,3.0,0,0,0,0,0,0,0.0,14.0,7.0,2.8,1.4,,,,,
9,threads,2023/11/16 17:41,JavaScript,,0,0,0,1,10,JavaScript,22,created by chatgpt,threads\1ca53912ee619c5985b5dded10eed96670b581be\.next\server\chunks\2857.js,,method,,3,"[[23,26],[28,41],[43,51]]",27,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],125279,110356,46853,10769,531,69,10.2,12551,43547,2324,46,34.8,1,536,5196,78354,2.4,27470,55935,2.55,5.19,30,27.0,12.0,3.0,0.0,1,0.0,0.0,0,0,0,0,0,0,0.0,5.0,4.0,1.67,1.33,,,,,
10,RecallRx-Full-Stack-Web-App,2023/4/24 17:45,JavaScript,4.0,1,0,0,1,426,JavaScript,1,created by chatgpt,RecallRx-Full-Stack-Web-App\1aa67e6d39cb706ca8c6678812e732cef7e852aa\public\scripts\mmse-helpers.js,RecallRx-Full-Stack-Web-App\25cf9e472a54e35b9b97dba515bc0cab9b8fb6e6\public\scripts\mmse-helpers.js,file,,58,"[1,6]",6,,,,,,,5,4,"[-2, -3, -4, -5]","['dc99e7dd559aab94c1640566d69f7ea5a3d706ca', 'aa4d3ee2265d9d3f4db09e38f05b9c5536f01977', 'e570b386cc5360933e30c82d1555242ebeea8e8a', '25cf9e472a54e35b9b97dba515bc0cab9b8fb6e6']","[[{'highest_ratio': 0.896551724137931, 'best_match_position': (1, 6)}], [{'highest_ratio': 0.6735751295336787, 'best_match_position': (1, 15)}], [{'highest_ratio': 0.6414473684210527, 'best_match_position': (1, 18)}], [{'highest_ratio': 0.491183879093199, 'best_match_position': (1, 21)}]]",4,"[-2, -3, -4, -5]","['dc99e7dd559aab94c1640566d69f7ea5a3d706ca', 'aa4d3ee2265d9d3f4db09e38f05b9c5536f01977', 'e570b386cc5360933e30c82d1555242ebeea8e8a', '25cf9e472a54e35b9b97dba515bc0cab9b8fb6e6']","[[{'highest_ratio': 0.896551724137931, 'best_match_position': (1, 6)}], [{'highest_ratio': 0.6735751295336787, 'best_match_position': (1, 15)}], [{'highest_ratio': 0.6414473684210527, 'best_match_position': (1, 18)}], [{'highest_ratio': 0.491183879093199, 'best_match_position': (1, 21)}]]",0,[],[],[],131,85,59,9,0,5,19.8,21,0,0,0,0.0,0,0,8,47,1.8,10,1,1.11,0.11,6,5.0,3.0,1.0,0.0,1,0.0,0.0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,,,,,
11,code-challenges,2024/5/12 13:11,JavaScript,,0,0,0,1,1,JavaScript,2,created by chatgpt,code-challenges\3287f7e9be74d545375de59a03556e455f284bd2\findMedian.js,,file,,0,"[1,21]",21,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],61,37,20,6,0,3,26.0,13,0,0,0,0.0,0,0,0,0,0.0,7,2,1.17,0.33,22,13.0,9.0,3.0,0.0,1,23.5,4.0,0,0,0,0,0,0,0.0,4.0,2.0,1.33,0.67,,,,,
13,chat-app-socket-io,2023/8/1 20:45,JavaScript,,0,0,0,1,303,JavaScript,9,created by chatgpt,chat-app-socket-io\f72c567874665426fa2727922aa773c397947bbf\src\config\database\seed\seeder.js,,statement,,65,"[11,17]",7,,,,,,input,5,0,[],[],[],0,[],[],[],0,[],[],[],369,285,111,19,0,9,4.4,13,42,2,1,11.4,0,0,3,12,0.1,29,12,1.53,0.63,8,7.0,1.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,
17,99100sim,2024/2/3 18:44,JavaScript,,0,0,0,1,70,JavaScript,64,created by chatgpt,99100sim\735ba3b9f564e5000bdf26e4477ff299186b48ef\viz.js,99100sim\757fc8080c49aed950d07303c0fae239a816d0e4\viz.js,method,,4,"[112,154]",43,,,,,,,12,11,"[-2, -3, -4, -5, -6, -7, -8, -9, -10, -11, -12]","['eff1649fb92c4c862359100f4ecb5ff42f328455', 'c4582d020822d3ebd8ed2b063732313cceb2e907', '883197a2b27b0918a5263988438bb1944e57fedd', 'f5404955698bc686c737cd4153c69d91d7164303', 'b3e60b2df08b1e536effcff558501c6fcc4a60d0', 'f34103b79d7542566e5e5bbac9f31125244d0c71', '864a8119a406fb60f59ed162d73f69167baedc2f', '3257f2d97d8bd99fdbd692aae12efb6104765d72', '6a99c2bd113620e3fae5f17da1a6b7bf43bea069', '4c16515525d4634bee0c07ae443e3f4f90d3cff8', '757fc8080c49aed950d07303c0fae239a816d0e4']","[[{'highest_ratio': 0.9997092177958709, 'best_match_position': (112, 154)}], [{'highest_ratio': 0.9997092177958709, 'best_match_position': (112, 154)}], [{'highest_ratio': 0.9997092177958709, 'best_match_position': (112, 154)}], [{'highest_ratio': 0.9997092177958709, 'best_match_position': (113, 155)}], [{'highest_ratio': 0.9997092177958709, 'best_match_position': (113, 155)}], [{'highest_ratio': 0.9997092177958709, 'best_match_position': (113, 155)}], [{'highest_ratio': 0.999127145766657, 'best_match_position': (113, 155)}], [{'highest_ratio': 0.999127145766657, 'best_match_position': (113, 155)}], [{'highest_ratio': 0.9635339460420991, 'best_match_position': (116, 158)}], [{'highest_ratio': 0.9635339460420991, 'best_match_position': (117, 159)}], [{'highest_ratio': 0.9341463414634147, 'best_match_position': (117, 159)}]]",4,"[-2, -8, -10, -12]","['eff1649fb92c4c862359100f4ecb5ff42f328455', '864a8119a406fb60f59ed162d73f69167baedc2f', '6a99c2bd113620e3fae5f17da1a6b7bf43bea069', '757fc8080c49aed950d07303c0fae239a816d0e4']","[[{'highest_ratio': 0.9997092177958709, 'best_match_position': (112, 154)}], [{'highest_ratio': 0.999127145766657, 'best_match_position': (113, 155)}], [{'highest_ratio': 0.9635339460420991, 'best_match_position': (116, 158)}], [{'highest_ratio': 0.9341463414634147, 'best_match_position': (117, 159)}]]",0,[],[],[],5853,4584,2188,1776,161,13,21.0,1221,2164,136,1,37.0,0,2,211,2188,1.6,1897,136,1.07,0.08,44,36.0,34.0,1.0,0.0,1,2.7,1.0,0,0,0,0,2,7,0.6,5.0,7.0,5.0,7.0,,,,,
