index,project_name,create_time,project_language,contributor,star,fork,issues,watch,project_commits,code_language,keyword_index,matched_keyword,path_of_first_file_commit,final_change_commit_path,code_granularity_data,code_func_type,number_of_bug_or_vulnerability_all_commit,start_end_line_data,first_loc,final_start_end_line_data,final_loc_add,final_loc_minus,final_change_type,test_code_data,regular_expression_data,number_of_commits,number_of_change_commit_to_first,change_commit_to_first_index,change_commit_to_first_hash,change_commit_to_first_blocks,number_of_all_change_commit,all_change_commit_index,all_change_commit_hash,all_change_commit_blocks,number_of_all_change_fix_commit,all_change_fix_commit_index,all_change_fix_commit_hash,all_change_fix_commit_blocks,project_lines,project_locs,project_statements,project_functions,project_classes,project_files,project_density_comments,project_comments,project_duplicated_lines,project_duplicated_blocks,project_duplicated_files,project_duplicated_lines_density,project_vulnerability,project_bugs,project_code_smells,project_sqale_index,project_sqale_debt_ratio,project_complexity_all,project_cognitive_complexity_all,project_complexity_mean_method,project_cognitive_complexity_mean_method,code_lines,code_locs,code_statements,code_functions,code_classes,code_files,code_density_comments,code_comments,code_duplicated_lines,code_duplicated_blocks,code_duplicated_files,code_duplicated_lines_density,code_code_smells,code_sqale_index,code_sqale_debt_ratio,code_complexity_all,code_cognitive_complexity_all,code_complexity_mean_method,code_cognitive_complexity_mean_method,manual_vs_gpt_loc_ratio,manual_vs_gpt_change_commit_ratio,manual_vs_gpt_change_fix_commit_ratio,code_vulnerability,code_bugs
8,ProtoReplicant,2023/5/24 22:58,JavaScript,,57,5,0,3,12,JavaScript,4,generated by chatgpt,ProtoReplicant\2efea60be3f2bf77d58d6b34af4a3914bbd84b21\vrm-ui\vad-stt.js,,method,,0,"[5,42]",38,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],846,557,349,38,0,4,18.3,125,0,0,0,0,2,1,41,312,1.9,69,47,1.82,1.24,39,27,25,1,0,1,15.6,5,0,0,0,0,0,0,0,4,4,4,4,,,,,
9,yunzai-meme,2023/3/22 16:40,JavaScript,3,83,11,9,1,63,JavaScript,87,generated by chatgpt,yunzai-meme\e0ff65cf02d95507e9bb3af75ba3ab0044d5c4c8\meme.js,yunzai-meme\f9bcb3d7840a012873004fdf5e771b9ef0577afb\meme.js,method,,25,"[88,97]",10,,,,,,,8,3,"[-6, -7, -8]","['f9bcb3d7840a012873004fdf5e771b9ef0577afb', 'b585a117be9c03f376713561ebd933cb91087ae7', 'f114eeb1843b549a8b310dbd683467ff26ef7c3c']","[[{'highest_ratio': 0.9928825622775801, 'best_match_position': (93, 102)}], [{'highest_ratio': 0.9928825622775801, 'best_match_position': (93, 102)}], [{'highest_ratio': 0.9928825622775801, 'best_match_position': (93, 102)}]]",1,[-6],['f9bcb3d7840a012873004fdf5e771b9ef0577afb'],"[[{'highest_ratio': 0.9928825622775801, 'best_match_position': (93, 102)}]]",1,[-6],['f9bcb3d7840a012873004fdf5e771b9ef0577afb'],"[[{'highest_ratio': 0.9928825622775801, 'best_match_position': (93, 102)}]]",547,463,278,35,1,2,10.1,52,0,0,0,0,0,0,7,91,0.7,128,120,3.66,3.43,11,5,3,1,0,1,37.5,3,0,0,0,0,0,0,0,1,0,1,0,,,,,
17,utilsNodeJs,2024/1/18 10:42,JavaScript,2,0,0,0,1,3,JavaScript,1,generated by chatgpt,utilsNodeJs\8bd1fec924b2b1141b47c2a10911ed8035002918\src\Sorter.js,,file,,0,"[1,44]",44,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],109,83,42,19,4,4,5.7,5,0,0,0,0,0,2,0,0,0,24,8,1.26,0.42,44,34,21,6,1,1,8.1,3,0,0,0,0,1,5,0.5,11,7,1.83,1.17,,,,,
22,contrast-color-picker,2023/3/5 18:04,JavaScript,2,0,0,10,1,91,JavaScript,1,generated by chatgpt,contrast-color-picker\f66d5be01d5eb6727d4a4d7c3705fbb2cdbe0659\site\lib\getCombos.js,,method,,5,"[2,10]",9,,,,,,,2,0,[],[],[],0,[],[],[],0,[],[],[],733,642,117,42,0,17,3.2,21,0,0,0,0,0,0,22,108,0.6,65,26,1.55,0.62,10,9,7,1,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,,,,,
24,Using-Konduktiva-With-MIDI,2023/7/8 6:12,JavaScript,2,0,2,0,1,61,JavaScript,75,generated by chatgpt,Using-Konduktiva-With-MIDI\a4fe0844bfcb987ecdd1d62441365df72220678a\infoFromArray.js,Using-Konduktiva-With-MIDI\326fd0b5f0da533cc4bba5033f50e6fb891943c4\infoFromArray.js,method,,9,"[[77,92],[96,98],[102,104],[113,115]]",25,,,,,,,2,1,[-2],['326fd0b5f0da533cc4bba5033f50e6fb891943c4'],"[[{'highest_ratio': 0.9318364073777065, 'best_match_position': (99, 114)}, {'highest_ratio': 0.575, 'best_match_position': (123, 125)}, {'highest_ratio': 0.575, 'best_match_position': (130, 132)}, {'highest_ratio': 0.79, 'best_match_position': (128, 130)}]]",1,[-2],['326fd0b5f0da533cc4bba5033f50e6fb891943c4'],"[[{'highest_ratio': 0.9318364073777065, 'best_match_position': (99, 114)}, {'highest_ratio': 0.575, 'best_match_position': (123, 125)}, {'highest_ratio': 0.575, 'best_match_position': (130, 132)}, {'highest_ratio': 0.79, 'best_match_position': (128, 130)}]]",0,[],[],[],3537,2541,1471,457,6,29,13.5,395,153,13,4,4.3,0,37,128,758,1,636,267,1.39,0.58,29,25,14,4,0,1,0,0,0,0,0,0,0,0,0,8,8,2,2,,,,,
25,Using-Konduktiva-With-MIDI,2023/7/8 6:12,JavaScript,2,0,2,0,1,61,JavaScript,35,generated by chatgpt,Using-Konduktiva-With-MIDI\554f86a5e9de09730cafe86ec9d27e131bb86600\utilities-string.js,Using-Konduktiva-With-MIDI\326fd0b5f0da533cc4bba5033f50e6fb891943c4\utilities-string.js,method,,9,"[38,40]",3,,,,,,,4,3,"[-2, -3, -4]","['326fd0b5f0da533cc4bba5033f50e6fb891943c4', 'bef8d99260d6d1b9e4dc18d4088c23c10f365f57', 'd344cebf07ee6ce207a992d638a6f98a1186ff65']","[[{'highest_ratio': 0.9901960784313726, 'best_match_position': (38, 40)}], [{'highest_ratio': 0.9901960784313726, 'best_match_position': (57, 59)}], [{'highest_ratio': 0.9901960784313726, 'best_match_position': (60, 62)}]]",1,[-2],['326fd0b5f0da533cc4bba5033f50e6fb891943c4'],"[[{'highest_ratio': 0.9901960784313726, 'best_match_position': (38, 40)}]]",0,[],[],[],3305,2374,1379,432,6,26,13.7,376,109,11,2,3.3,0,36,125,730,1,594,240,1.38,0.56,4,3,2,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,,,,,
26,matsu-tech-blog,2024/2/29 20:33,JavaScript,,0,0,0,1,26,JavaScript,6,generated by chatgpt,matsu-tech-blog\ac4c4479e9000c0a8d85bbd0d5df52aaa19d8939\seeds\postSeeds.js,,statement,,0,"[4,78]",75,,,,,,input,1,0,[],[],[],0,[],[],[],0,[],[],[],962,752,234,33,3,26,8.3,68,0,0,0,0,0,0,13,100,0.4,49,38,1.48,1.15,76,72,1,0,0,1,5.3,4,0,0,0,0,0,0,0,0,0,0,0,,,,,
28,cmpm169,2024/1/18 4:36,HTML,,0,0,0,1,49,JavaScript,56,generated by chatgpt,cmpm169\1b7a001093a908cd6a4d2de96c14820ada04209c\experiment5\js\sketch.js,cmpm169\1b7a001093a908cd6a4d2de96c14820ada04209c\experiment5\js\sketch.js,file,,0,"[1,54]",54,,,,,,,1,1,[-1],['1b7a001093a908cd6a4d2de96c14820ada04209c'],"[[{'highest_ratio': 0.9756295694557271, 'best_match_position': (1, 56)}]]",1,[-1],['1b7a001093a908cd6a4d2de96c14820ada04209c'],"[[{'highest_ratio': 0.9756295694557271, 'best_match_position': (1, 56)}]]",0,[],[],[],689,422,272,64,10,13,15.6,78,116,2,2,16.8,0,0,8,80,0.6,93,31,1.45,0.48,55,47,37,5,0,1,0,0,0,0,0,0,0,0,0,8,6,1.6,1.2,,,,,
34,bc14_w2d2_workshop_rps-in-dom-cabbagepatch1981,2023/3/21 13:54,JavaScript,,0,0,1,0,6,JavaScript,7,generated by chatgpt,bc14_w2d2_workshop_rps-in-dom-cabbagepatch1981\af9605c64d32e2fe7cb137cb16d1392b63ace3aa\main.js,bc14_w2d2_workshop_rps-in-dom-cabbagepatch1981\098d451e0630a47c8d1b7715647f9a9d9fac9219\main.js,file,,0,"[1,70]",70,,,,,,,3,3,"[-1, -2, -3]","['af9605c64d32e2fe7cb137cb16d1392b63ace3aa', 'a370bfbee276567d8b572fd0352813825126cd2f', '098d451e0630a47c8d1b7715647f9a9d9fac9219']","[[{'highest_ratio': 0.998933674557475, 'best_match_position': (1, 76)}], [{'highest_ratio': 0.558837656099904, 'best_match_position': (1, 138)}], [{'highest_ratio': 0.5060345764923344, 'best_match_position': (1, 150)}]]",3,"[-1, -2, -3]","['af9605c64d32e2fe7cb137cb16d1392b63ace3aa', 'a370bfbee276567d8b572fd0352813825126cd2f', '098d451e0630a47c8d1b7715647f9a9d9fac9219']","[[{'highest_ratio': 0.998933674557475, 'best_match_position': (1, 76)}], [{'highest_ratio': 0.558837656099904, 'best_match_position': (1, 138)}], [{'highest_ratio': 0.5060345764923344, 'best_match_position': (1, 150)}]]",0,[],[],[],76,50,34,7,0,1,0,0,0,0,0,0,0,0,0,0,0,16,11,2.29,1.57,71,50,34,7,0,1,0,0,0,0,0,0,0,0,0,16,11,2.29,1.57,,,,,
39,wppGroupMembers,2023/11/1 20:10,JavaScript,,0,0,0,1,11,JavaScript,24,generated by chatgpt,wppGroupMembers\8685c8ad4ed03a8f6c4b313717c0aa870a8678b2\src\main.user.js,,method,,3,"[30,74]",45,,,,,,,6,0,[],[],[],0,[],[],[],0,[],[],[],377,276,164,25,0,1,16.9,56,0,0,0,0,0,7,6,57,0.7,60,65,2.4,2.6,46,38,12,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,,,,,
