code_func_type,count,percentage
Algorithm and data structure,19,5.163043478260869
Business logic,19,5.163043478260869
Concurrency and multithreading,12,3.260869565217391
Configuration and deployment,33,8.967391304347826
Data processing and transformation,83,22.554347826086957
File operations and I/O operation,7,1.9021739130434785
Framework and library,9,2.4456521739130435
Game development,2,0.5434782608695652
Network requests and API call,27,7.336956521739131
Program input code,27,7.336956521739131
Security,14,3.804347826086957
Testing and debugging,21,5.706521739130435
User interface,95,25.815217391304344
