path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line
chatGPTBox\b2cd54e9c43bc7f8aaa89682f30db1af5d2abf6c\src\content-script\site-adapters\youtube\index.mjs,4,written by chatgpt,,
talk-to-chatgpt\f9627531020f6b0e12b4fd43c3c0c46a727c360a\chrome-extension\content.js,706,written by chatgpt,,
langterm\3cdd8aef25b5cd2b21d317f46b6fbfbd2cfecc26\shaders\composite.frag,11,written by chatgpt,,
enable-column-direction\8967461abcd45240b4f99c5817097218441ab1b1\src\frontend.js,1,written by chatgpt,,
engraft\4e6cf13d6cf7ee6c096f7d3088fc6a111ab9a6e6\scripts\css-to-js.cjs,9,written by chatgpt,,
platform-meta\d7f2a9c58a73163cfab525b49205002ca13598b6\docs\examples\settings.mjs,1,written by chatgpt,,
gradido\7494429aad901e39d54db58f2372c965455da94c\admin\src\components\input\EditableLabel.spec.js,1,written by chatgpt,,
xinjs-ui\5f02678148c0b8e4f2af7e78776a913e1a6d9394\docs.js,1,written by chatgpt,,
code_tau\7d1ef462b85379e96f64bab9d6a5fdeab51494e8\assets\js\lib\tb303.js,185,written by chatgpt,,
john-heyer.github.io\27555fa62e17ff0c0b88ce23cdb5707e0a1ec292\assets\js\zoom.js,1,written by chatgpt,,
akgcc.github.io\2e413c8250132aa7685a3cddb0d53c7b0a6cfa43\cc\js\recruit.js,223,written by chatgpt,,
spring24-nodebb-apple\2bd1e1a2fcc28e5769c02b21075b189edfde3a2a\src\api\topics.js,68,written by chatgpt,,
EdBox\46ac4690be0fe850d9cafedb98236fc6a1075cb9\apps\app\metro.config.js,24,written by chatgpt,,
shininglegend.github.io\fe995974094e37d341d1a5da6fd606f03b426270\static\scripts.js,13,written by chatgpt,,
tabitha-editor\203628ded0e879fafb973d530c13dbb01eb55dd3\app\src\lib\pipeline.js,4,written by chatgpt,,
cmpm169\fdcbf6fb7e7c9545c04650f50408772ce4ac3584\experiment2\js\sketch.js,5,written by chatgpt,,
Ishitori\ba99b5403db3274001cf5800f47d3d550a935541\components\ImageDownload.js,1,written by chatgpt,,
leetcode-in-ts\19f834e0ff647ca32d77353c279aca1443df4963\src\heap\MinHeapChatGPT.js,2,written by chatgpt,,
CodeWars\e9fbcf21c641410e6708b4d442f982336e80ce5a\7kyu\Regular-Expression-3.js,47,written by chatgpt,,
aesthetic-computer\13977438e6c98e2281cef9cbe8bdf7a05da58956\system\public\aesthetic.computer\lib\graph.mjs,1080,written by chatgpt,,
chatgpt-meeting-summariser\5bcd9552bf82ab31235317cd9cdf2ff30c64cb4d\project\backend\routes\user.js,85,written by chatgpt,,
precourse\a5488b3cad397c94a9384093c65e4b24d3d70b3a\week2\exercise.js,6,written by chatgpt,,
FilmIsBest\2b4a8d59212e9a2dcd6308f8215498884da9fe7e\locales\en.js,96,written by chatgpt,,
PolyPlus\948c9b8fae1bdf899900825f2f2a125b9265932b\settings.js,289,written by chatgpt,,
monalisa\5a0acfa0baf988fd11a2cd97ac1475fd4de0a417\src\ServerButton.js,155,written by chatgpt,,
close-encounters-of-the-cute-kind\120cb53faaad9d302e12b8c21132b74498a28db5\app.js,796,written by chatgpt,,
react-portfolio\ebf4a4aeaba30bdd11a53a0e0bec8f551a3ab5d5\portfolio\src\pages\Works.jsx,17,written by chatgpt,,
Dynamic-Dictionary-Tooltips\7dd65636fa39aa83dee49ce7f93a04af2ff87827\dictionary.js,3,written by chatgpt,,
elixir_rpg\16230c6e7eb6046dea09c2250bfde31db7e500f5\src\components\npcs\NpcDetail.jsx,69,written by chatgpt,,
Command-Line-Employee-Tracker\7637259edd6591a9eceee60e7ae50c1de0c6df02\assets\js\printFunctions.js,47,written by chatgpt,,
mj-launcher\0aae814afa1c972b69868de776f143c934706f4c\launcher.js,1,written by chatgpt,,
hassan_ahmed\bbd87545c52a10470025bbc2f9e7c5325ab24078\src\projects\ChatGPT.js,115,written by chatgpt,,
gioelecrispo.github.io\80f219f914f75a131579601a017900e17232a62e\store\DataState.js,530,written by chatgpt,,
AP\dd8856342a12cb9c56a8b5fb02e11aba25f95c1c\project.js,12,written by chatgpt,,
e-shop\80b4d79777ec79af79cfd6dc916a23aec68e465f\app\about\page.js,33,written by chatgpt,,
higamy.github.io\ca9cbbb0576b4e21638c006b847e49bfa86518f0\TW\script.js,119,written by chatgpt,,
PalladiumHassium\c285849bc035651189274e26e57352c984d987e8\Hydrogen.js,1,written by chatgpt,,
187_final\67605deec89e14e43901d10c1b3494ebd26aea86\js\script.js,1,written by chatgpt,,
tim-the-news\180c8b61567b6c7bc3ee9030df4f4708e4dc4622\src\config\data.js,138,written by chatgpt,,
Kirby.3JS\097187b3b01ea2d135f5654df255d5caadb7d9f3\animation-class\QuaterniusModel.js,45,written by chatgpt,,
Omat-koodit\79f89e76adc30d29017de6d91a26ca849352b9a9\kotisivut\script.js,262,written by chatgpt,,
fop-lunar-lander-ErikSandquist\245302160db992584d27b1c58fcfc4ec54236d84\spel.js,215,written by chatgpt,,
yunetas\8d1707c334ad3994e791879e2f4771fc7819886e\kernel\js\gobj-js\src\utils.js,2975,written by chatgpt,,
ruffle\6a94ec42bd9ad89ab68e1e57b94e8e3b125a81a4\js\subtitle.js,406,written by chatgpt,,
search-algo-visualizer\fe16701379bbc1bb297e45ee0dd477c4ee60d5a5\search-algo-visualizer\src\data-structures\Queue.js,1,written by chatgpt,,
Blog-App\9dc2423f4f2a966ffaa6a441b4b0927ea4d0b88b\Blog\src\Components\Post-form\PostForm.jsx,70,written by chatgpt,,
ducky-poc\f8f45ca20066958baaebb27f89bf79c0d8b20161\chrome-ext\chrome-extension\content-old.js,1370,written by chatgpt,,
chatgpt-meeting-summariser\5bcd9552bf82ab31235317cd9cdf2ff30c64cb4d\project\frontend\src\components\account\CreateAccount.jsx,86,written by chatgpt,,
mediabin\0b3580e4707917a1e798450ba71422d6a6b33a5c\mediabin-frontend\src\components\SyntaxHighlightList.js,2,written by chatgpt,,
youtube-recommendations\0219ed9b41b8caec6fe462d0f84c2a7dd2b285f4\production\client\src\components\About.jsx,34,written by chatgpt,,
COMP4537\42fd11d47dd8f81b164ab3427ea84f22b8aaf731\project\server.js,297,written by chatgpt,,
14828\8814e626417a24b7eede3f1502ebec9e5a95b19c\crawler\greasyfork_scripts\299.js,7,written by chatgpt,,
QuizGPT\9b600502440870236a58c976c63c26dfdb026a32\info1910.js,42,written by chatgpt,,
soccerwithyourfriends\0c6ddd9c7a8b063368892dc945c3e7c792b66071\soccerwithyourfriends\static\script_upload.js,1,written by chatgpt,,
jwswent-homepage\268b63b4345a14b22e514d3be6323cbb53592b1f\pages\posts\chatgpt-1.js,116,written by chatgpt,,
frontendv3\07848e625c4a326f081cf212e78a9325c8eb085a\components\TableOfContents.js,3,written by chatgpt,,
ruiqimmm.github.io\ce78d1b6f3ec318cbfbe14fa9f9ad1c7fb72ce8a\project1\script2.js,9,written by chatgpt,,
talk-to-chatgpt\7b2cd413c9c7b0b12a1a414be0db53d3e63e194a\chrome-extension\content.js,706,written by chatgpt,,
talk-to-chatgpt\d1877674c301975bade4d176fc12ec2f66f52849\chrome-extension\content.js,1369,written by chatgpt,,
blog.nielssoete.be\assets\js\posts.js,-1,,,
messagine\js\functions.js,-1,,,
cmpm169\2e3bdae6054abedba3897238224a0927c37bb3ff\experiment2\js\sketch.js,43,written by chatgpt,,
spring24-nodebb-apple\c78b2adcae9f202c48d802656ac19e0465c19a93\src\topics\tools.js,26,written by chatgpt,,
spring24-nodebb-apple\1a47afea74ac5084e243cdbef0e9dbbf905f28f6\src\topics\create.js,232,written by chatgpt,,
spring24-nodebb-apple\2bd1e1a2fcc28e5769c02b21075b189edfde3a2a\public\src\client\topic\events.js,25,written by chatgpt,,
spring24-nodebb-apple\c78b2adcae9f202c48d802656ac19e0465c19a93\public\src\client\topic.js,65,written by chatgpt,,
HackDaildemo\b2cd54e9c43bc7f8aaa89682f30db1af5d2abf6c\src\content-script\site-adapters\youtube\index.mjs,4,written by chatgpt,,
cmpm169\57e2b1b55db8e5ce294074bdf0a989259fe9cee7\experiment3\js\sketch.js,5,written by chatgpt,,
spring24-nodebb-apple\c78b2adcae9f202c48d802656ac19e0465c19a93\src\controllers\write\topics.js,44,written by chatgpt,,
cmpm169\cfcf30b5a7922670ce4747377e238b61fae89a43\experiment5\js\sketch.js,6,written by chatgpt,,
cmpm169\9ecea39ab5b50ca7fac68e0c8996c0e438366575\experiment4\js\sketch.js,6,written by chatgpt,,
cmpm169\caeb8f8612043e2eb6fc34bb67b06c6f2678df59\experiment1\js\sketch.js,5,written by chatgpt,,
oldsite\ae0a9d56d4c664a921eb47eca9f7e6a5a6e5845c\3kh0\js\subtitle.js,406,written by chatgpt,,
prompt-storer-vite\07837cc6e7279feecc265ab3396dff9d5a0eab5b\src\pages\ErrorPage.jsx,13,written by copilot,,
wax-kit\fe33017be159a9e1846f7339ea3fe07b0882d5fe\src\lib\image_management.js,13,written by copilot,,
pigeon\8b43cd101a62d2db1b9d075afb7f4aa93c35119a\src\analyzer.js,16,written by copilot,,
GameEngine_CA2\9af0339e6e4eabf00414451ed31cd5868b6463c5\GameEngine\js\engine\physics.js,51,written by copilot,,
santa-tracker-frontend\7af70075b277282a98cd01e73e2dcc50794bc6bc\js\santaController.js,352,written by copilot,,
react-spotify-app\ff7629a4beb2d18045c3b0a6a95a52056ccf5428\src\components\PlaylistMergeForm\index.js,137,written by copilot,,
RecipeHubApplication-React\3a06c037c809bea3d26b8a7fd16dbe1c6172e615\recipe_hub\src\pages\ErrorPage.jsx,13,written by copilot,,
Jobify\129f715a4ddf37ee28be7ed57c15acb3880f642d\client\src\components\FormRowSelect.jsx,28,written by copilot,,
transitwise\2bb1ea88a528c1b96d17f8461f1bf6b93e202719\js\index.js,504,written by copilot,,
RecipeHub-FunctionalReact\31f6e9ed64c1f38c1f35037ecade24eb5b201b0f\recipe_hub\src\pages\ErrorPage.jsx,12,written by copilot,,
enmap\a3246c74015c6253e82072d95ba5d8564b83d8b8\test\index.js,215,written by copilot,,
gptdoc\108d3b70e187ed1f9c1b63424e0eb81fe13f7c0d\example\gpt.example.js,3,written by gpt-3,,
