index,project_name,create_time,project_language,contributor,star,fork,issues,watch,project_commits,code_language,keyword_index,matched_keyword,path_of_first_file_commit,final_change_commit_path,code_granularity_data,code_func_type,number_of_bug_or_vulnerability_all_commit,start_end_line_data,first_loc,final_start_end_line_data,final_loc_add,final_loc_minus,final_change_type,test_code_data,regular_expression_data,number_of_commits,number_of_change_commit_to_first,change_commit_to_first_index,change_commit_to_first_hash,change_commit_to_first_blocks,number_of_all_change_commit,all_change_commit_index,all_change_commit_hash,all_change_commit_blocks,number_of_all_change_fix_commit,all_change_fix_commit_index,all_change_fix_commit_hash,all_change_fix_commit_blocks,project_lines,project_locs,project_statements,project_functions,project_classes,project_files,project_density_comments,project_comments,project_duplicated_lines,project_duplicated_blocks,project_duplicated_files,project_duplicated_lines_density,project_vulnerability,project_bugs,project_code_smells,project_sqale_index,project_sqale_debt_ratio,project_complexity_all,project_cognitive_complexity_all,project_complexity_mean_method,project_cognitive_complexity_mean_method,code_lines,code_locs,code_statements,code_functions,code_classes,code_files,code_density_comments,code_comments,code_duplicated_lines,code_duplicated_blocks,code_duplicated_files,code_duplicated_lines_density,code_code_smells,code_sqale_index,code_sqale_debt_ratio,code_complexity_all,code_cognitive_complexity_all,code_complexity_mean_method,code_cognitive_complexity_mean_method,manual_vs_gpt_loc_ratio,manual_vs_gpt_change_commit_ratio,manual_vs_gpt_change_fix_commit_ratio
,librosa,2012-10-20 14:21:01,Python,114.0,6724.0,925.0,53.0,138.0,3273.0,Python,10.0,authored by chatgpt,librosa\bc51280c43c3c4db3f4719ac76532be42a2592d4\scripts\audit_docstring_examples.py,,file,,,"[1,185]",185.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,buster,2023-01-24 18:55:02,Python,4.0,196.0,33.0,12.0,6.0,135.0,Python,26.0,authored by chatgpt,buster\17afe17ac8e313b24a994221c7b878b820dcdeb5\buster\utils.py,,method,,,"[51,70]",20.0,,,,,,,3.0,0.0,[],[],[],0.0,[],[],[],0.0,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,exa-py,2023-07-04 22:56:45,Python,8,60.0,20.0,12.0,8.0,76.0,Python,2.0,authored by chatgpt,exa-py\a3d4c480cb99854656924e83696cfb5546bc7118\docs\repair_markdown_docs.py,,file,,12.0,"[1,31]",31.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,[],[],[],438.0,230.0,155.0,20.0,5.0,6.0,41.8,165.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,80.0,1.2,43.0,26.0,2.15,1.3,31.0,18.0,16.0,3.0,0.0,1.0,21.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,,,
4.0,slack-gpt,2023-04-15 18:57:57,Python,,44.0,10.0,2.0,5.0,2.0,Python,3.0,authored by chatgpt,slack-gpt\cbbf194e3b508eefa0c90490f0a451a917bf11ad\slackgpt.py,slack-gpt\1c319f90361fd09a0dd2d2e9114ee34a2f72d501\slackgpt.py,file,,0.0,"[1,155]",155.0,,,,,,,2.0,1.0,[-2],['1c319f90361fd09a0dd2d2e9114ee34a2f72d501'],"[[{'highest_ratio': 0.9980794501162438, 'best_match_position': (1, 154)}]]",1.0,[-2],['1c319f90361fd09a0dd2d2e9114ee34a2f72d501'],"[[{'highest_ratio': 0.9980794501162438, 'best_match_position': (1, 154)}]]",0.0,[],[],[],155.0,97.0,73.0,5.0,0.0,1.0,22.4,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,16.0,18.0,3.2,3.6,155.0,97.0,73.0,5.0,0.0,1.0,22.4,28.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,16.0,18.0,3.2,3.6,,,
,adventofcode,2022-12-24 06:00:34,Python,,0.0,0.0,0.0,2.0,32.0,Python,6.0,authored by chatgpt,adventofcode\0a9da7147bb55ebef5f65de14e640833e956069c\2023\01\main.py,,method,,0.0,"[10,21]",12.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,ecosim-ontology,2023-11-03 23:20:17,Makefile,,0.0,0.0,0.0,1.0,3.0,Python,4.0,authored by chatgpt,ecosim-ontology\44a380ef9b04577b15cbed22110a1691c2a08ae0\utils\fortran2params.py,,file,,0.0,"[1,47]",47.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,[],[],[],47.0,20.0,19.0,2.0,0.0,1.0,42.9,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,2.5,3.0,47.0,20.0,19.0,2.0,0.0,1.0,42.9,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,2.5,3.0,,,
,vocadb-sc,2021-01-01 11:04:29,Python,,0.0,0.0,1.0,1.0,79.0,Python,6.0,authored by chatgpt,vocadb-sc\31bc875e0b405f25ff5619fed02a305ea8541351\sc_artist_extract\lang.py,,file,,0.0,"[1,25]",25.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,trunkSegmentation,2023-08-06 10:02:56,Jupyter Notebook,,1.0,0.0,2.0,1.0,7.0,Python,70.0,authored by chatgpt,trunkSegmentation\810a4ef92f2a50985c3a9d8e5b7aa5aa4a699c76\utils\dataset_utils.py,,method,,4.0,"[37,128]",92.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,[],[],[],2222.0,1535.0,1299.0,181.0,30.0,35.0,14.2,255.0,48.0,2.0,1.0,2.2,0.0,1.0,15.0,65.0,0.1,350.0,232.0,1.93,1.28,93.0,44.0,41.0,1.0,0.0,1.0,48.8,42.0,0.0,0.0,0.0,0.0,1.0,10.0,0.8,19.0,20.0,19.0,20.0,,,
59.0,BWX_Game_Jam01,2024-02-16 05:59:00,Python,13,0.0,0.0,0.0,2.0,654.0,Python,1.0,authored by copilot,BWX_Game_Jam01\60338f782ed9abaacc2f1d812eb93dcc44b39069\src\vec2.py,,file,,81.0,"[1,98]",98.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,[],[],[],325.0,194.0,195.0,37.0,2.0,3.0,23.6,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,60.0,1.81,1.62,98.0,69.0,66.0,28.0,1.0,1.0,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,1.11,0.11,,,
,,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
