path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line,test_code,regular_expression
pytorch\ac07de4a61831bd23e2d3d270890cde3983d9257\torch\_dynamo\eval_frame.py,599,authored by chatgpt,no code,,,
librosa\bc51280c43c3c4db3f4719ac76532be42a2592d4\scripts\audit_docstring_examples.py,10,authored by chatgpt,file,"[1,185]",,
buster\17afe17ac8e313b24a994221c7b878b820dcdeb5\buster\utils.py,26,authored by chatgpt,method,"[51,70]",,
exa-py\a3d4c480cb99854656924e83696cfb5546bc7118\docs\repair_markdown_docs.py,2,authored by chatgpt,file,"[1,31]",,
slack-gpt\cbbf194e3b508eefa0c90490f0a451a917bf11ad\slackgpt.py,3,authored by chatgpt,file,"[1,155]",,
adventofcode\0a9da7147bb55ebef5f65de14e640833e956069c\2023\01\main.py,6,authored by chatgpt,method,"[10,21]",,
ecosim-ontology\44a380ef9b04577b15cbed22110a1691c2a08ae0\utils\fortran2params.py,4,authored by chatgpt,file,"[1,47]",,
vocadb-sc\31bc875e0b405f25ff5619fed02a305ea8541351\sc_artist_extract\lang.py,6,authored by chatgpt,file,"[1,25]",,
trunkSegmentation\810a4ef92f2a50985c3a9d8e5b7aa5aa4a699c76\utils\dataset_utils.py,70,authored by chatgpt,method,"[37,128]",,
llm-target-determinator\3f49ab515df480b1302a268715fe3422f91d3ba2\pytorch_prs_with_patch_100\105402\torch\_dynamo\eval_frame.py,841,authored by chatgpt,no code,,,
pytorch\ac07de4a61831bd23e2d3d270890cde3983d9257\torch\_dynamo\eval_frame.py,599,authored by chatgpt,no code,,,
pytorch_private\ac07de4a61831bd23e2d3d270890cde3983d9257\torch\_dynamo\eval_frame.py,599,authored by chatgpt,no code,,,
pytorch-explained\06e7ebedd2032b619e9eca339c634aca01edaa28\torch\_dynamo\eval_frame.py,843,authored by chatgpt,no code,,,
PNP\ac07de4a61831bd23e2d3d270890cde3983d9257\torch\_dynamo\eval_frame.py,599,authored by chatgpt,no code,,,
