path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line
ATCS-2023\d0f465479cb72e7e720d8b835f37390cad8b82f9\river.py,1,coded by chatgpt,,
4dbimloc\08d340e2bbaf0f66962c6d8cd3ef4708b0539c19\bim4loc\geometry\convex_hull.py,19,coded by chatgpt,,
ATCS-2023\d0f465479cb72e7e720d8b835f37390cad8b82f9\beehive.py,1,coded by chatgpt,,
ATCS-2023\d0f465479cb72e7e720d8b835f37390cad8b82f9\bee.py,1,coded by chatgpt,,
problem-solving\1836bc6652c347a70af2cba800ba263066761b0a\out\production\algorithms\알고리즘연습\python\baekjoon_3417.py,1,coded by chatgpt,,
ATCS-2023\d0f465479cb72e7e720d8b835f37390cad8b82f9\river.py,1,coded by chatgpt,,
4dbimloc\08d340e2bbaf0f66962c6d8cd3ef4708b0539c19\bim4loc\geometry\convex_hull.py,19,coded by chatgpt,,
ATCS-2023\d0f465479cb72e7e720d8b835f37390cad8b82f9\beehive.py,1,coded by chatgpt,,
ATCS-2023\d0f465479cb72e7e720d8b835f37390cad8b82f9\bee.py,1,coded by chatgpt,,
problem-solving\1836bc6652c347a70af2cba800ba263066761b0a\out\production\algorithms\알고리즘연습\python\baekjoon_3417.py,1,coded by chatgpt,,
