index,project_name,create_time,project_language,contributor,star,fork,issues,watch,project_commits,code_language,keyword_index,matched_keyword,url_of_first_file_commit,path_of_first_file_commit,final_change_commit_path,code_granularity_data,code_func_type,number_of_bug_or_vulnerability_all_commit,comments,start_end_line_data,first_loc,final_start_end_line_data,final_loc_add,final_loc_minus,final_change_type,test_code_data,regular_expression_data,number_of_commits,number_of_change_commit_to_first,change_commit_to_first_index,change_commit_to_first_hash,change_commit_to_first_blocks,number_of_all_change_commit,all_change_commit_index,all_change_commit_hash,all_change_commit_blocks,number_of_all_change_fix_commit,real_fixed_commit_number,real_fixed_commit_hash,real_fixed_commit_reason,all_change_fix_commit_index,all_change_fix_commit_hash,all_change_fix_commit_blocks,project_lines,project_locs,project_statements,project_functions,project_classes,project_files,project_density_comments,project_comments,project_duplicated_lines,project_duplicated_blocks,project_duplicated_files,project_duplicated_lines_density,project_vulnerability,project_bugs,project_code_smells,project_sqale_index,project_sqale_debt_ratio,project_complexity_all,project_cognitive_complexity_all,project_complexity_mean_method,project_cognitive_complexity_mean_method,code_lines,code_locs,code_statements,code_functions,code_classes,code_files,code_density_comments,code_comments,code_duplicated_lines,code_duplicated_blocks,code_duplicated_files,code_duplicated_lines_density,code_code_smells,code_sqale_index,code_sqale_debt_ratio,code_complexity_all,code_cognitive_complexity_all,code_complexity_mean_method,code_cognitive_complexity_mean_method,manual_vs_gpt_loc_ratio,manual_vs_gpt_change_commit_ratio,manual_vs_gpt_change_fix_commit_ratio
,computer-sciences,2019/9/17 9:30,C,2,98,51,0,13,459,Python,1,created by chatgpt,,computer-sciences\130bbc82bfd9e92b76723abcdf6a486d3440284d\Python\exams\shells\chatgpt.py,,file,,,,"[1,58]",58,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ISMS,2021/12/12 4:21,Shell,,15,5,0,3,968,Python,1,created by chatgpt,,ISMS\17339aa6407867f48966304240d84fdc8ba844e2\devops\GPT\webpage_hash.py,,file,,,,"[1,38]",38,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sd-trainer,2023/1/23 8:05,Python,,69,10,1,3,305,Python,86,created by chatgpt,,sd-trainer\833fac9d98cce4f14a2906adfa04ea3bf93fc365\tools\create_control_lora.py,,statement,,,,"[87,90]",4,,,,,,,2,0,[],[],[],0,[],[],[],0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,glowing-robot,2014/12/2 1:16,HTML,,3,0,0,2,186,Python,2,created by chatgpt,,glowing-robot\6d37c90d2229eebbded8a435c40d6482ae29d0c2\jigsaw\Puzzle_Piece_Identifier.py,,file,,,,"[1,39]",39,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,neurorient,2023/8/23 1:48,Jupyter Notebook,2,1,0,0,2,110,Python,4,created by chatgpt,,neurorient\4116c5502f90107e044c5cc69b6662d6034170f7\neurorient\logger.py,neurorient\c0021da1842430405f1c279b314d46f9b32a8084\neurorient\logger.py,file,,11,,"[1,27]",27,,,,,,,2,1,[-2],['c0021da1842430405f1c279b314d46f9b32a8084'],"[[{'highest_ratio': 0.9959231217239372, 'best_match_position': (1, 27)}]]",1,[-2],['c0021da1842430405f1c279b314d46f9b32a8084'],"[[{'highest_ratio': 0.9959231217239372, 'best_match_position': (1, 27)}]]",1,,,,[-2],['c0021da1842430405f1c279b314d46f9b32a8084'],"[[{'highest_ratio': 0.9959231217239372, 'best_match_position': (1, 27)}]]",4985,2903,2360,195,40,36,24.3,930,769,17,5,15.4,0,1,65,275,0.3,522,506,2.68,2.59,27,16,18,4,1,1,23.8,5,0,0,0,0,0,0,0,6,2,1.5,0.5,,,
6,markpickle,2023/3/13 15:15,Python,,2,1,0,3,32,Python,7,created by chatgpt,,markpickle\b24c8723a005f49cf0cc9c353c06259d4a51a75e\create_examples_by_file.py,,method,,1,,"[6,15]",10,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],4256,2837,1509,150,7,92,18.4,639,560,52,8,13.2,0,0,33,306,0.4,397,453,2.65,3.02,11,7,6,1,0,1,12.5,1,0,0,0,0,0,0,0,2,1,2,1,,,
,POS2IDON,2023/1/16 16:01,Python,3,12,4,2,2,159,Python,108,created by chatgpt,,POS2IDON\c0436c68491321111400bebee5cfa60a225996bf\modules\Tiling.py,POS2IDON\c1bf97be1dfcca99a5ff7354844affa5b2ca550f\modules\Tiling.py,method,,1,,"[104,194]",91,,,,,,,2,1,[-2],['c1bf97be1dfcca99a5ff7354844affa5b2ca550f'],"[[{'highest_ratio': 0.9865905355134528, 'best_match_position': (102, 192)}]]",1,[-2],['c1bf97be1dfcca99a5ff7354844affa5b2ca550f'],"[[{'highest_ratio': 0.9865905355134528, 'best_match_position': (102, 192)}]]",0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,website-2023,2022/10/21 15:47,SCSS,3,2,1,0,2,172,Python,1,created by chatgpt,,website-2023\147b53d4ac53797daeb42d3526ab61e6d2a86171\static\python-scripts\poster_filter.py,,file,,,,"[1,40]",40,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,python-2draycasting-lines,2023/10/14 14:35,Python,,0,0,0,1,6,Python,7,created by chatgpt,,python-2draycasting-lines\e848288fd0a6ceb9e53f9092579624ea43effdf0\utils.py,,method,,2,,"[8,62]",55,,,,,,,2,0,[],[],[],0,[],[],[],0,,,,[],[],[],547,332,306,28,7,14,7.5,27,0,0,0,0,0,0,9,265,2.7,63,42,2.25,1.5,56,31,30,3,0,1,29.5,13,0,0,0,0,0,0,0,6,4,2,1.33,,,
11,simplify-ecom,2023/8/1 21:40,Python,2,1,0,0,1,101,Python,1,created by chatgpt,,simplify-ecom\30b605d2d28938b07c4da6ea2ea45b659ebc26b4\sql.py,simplify-ecom\dbda2cad74b8cee93ba6cc5cd8e0786ba3b390d9\sql.py,file,,22,,"[1,100]",100,,,,,,,4,3,"[-2, -3, -4]","['8c70a8d823f78d4932e8dc9789137767952a5f24', '79552a7729b3373f293ad3f5299b813275abb4d2', 'dbda2cad74b8cee93ba6cc5cd8e0786ba3b390d9']","[[{'highest_ratio': 0.7127566239691174, 'best_match_position': (1, 120)}], [{'highest_ratio': 0.7416058394160584, 'best_match_position': (1, 111)}], [{'highest_ratio': 0.7414705345739828, 'best_match_position': (1, 112)}]]",3,"[-2, -3, -4]","['8c70a8d823f78d4932e8dc9789137767952a5f24', '79552a7729b3373f293ad3f5299b813275abb4d2', 'dbda2cad74b8cee93ba6cc5cd8e0786ba3b390d9']","[[{'highest_ratio': 0.7127566239691174, 'best_match_position': (1, 120)}], [{'highest_ratio': 0.7416058394160584, 'best_match_position': (1, 111)}], [{'highest_ratio': 0.7414705345739828, 'best_match_position': (1, 112)}]]",0,,,,[],[],[],100,61,34,0,0,1,16.4,12,0,0,0,0,0,0,0,0,0,1,2,1,2,100,61,34,0,0,1,16.4,12,0,0,0,0,0,0,0,1,2,1,2,,,
,vim_config,2022/4/13 17:45,Vim Script,2,1,0,0,2,56,Python,1,created by chatgpt,,vim_config\915748b7ee5c3b815db03429fce3181c7bfb7816\scripts\update_license_headers.py,vim_config\2e21e83b3cbdd2d7d290d4944b33be8ec85ca0fd\scripts\update_license_headers.py,file,,,,"[1,32]",32,,,,,,,2,1,[-2],['2e21e83b3cbdd2d7d290d4944b33be8ec85ca0fd'],"[[{'highest_ratio': 0.8556455454978561, 'best_match_position': (1, 36)}]]",1,[-2],['2e21e83b3cbdd2d7d290d4944b33be8ec85ca0fd'],"[[{'highest_ratio': 0.8556455454978561, 'best_match_position': (1, 36)}]]",0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,WD65C02_FPGA,2023/9/24 19:58,VHDL,2,1,0,0,1,111,Python,1,created by chatgpt,,WD65C02_FPGA\174bb2e32be1f70311bbba6a239ed2a2763c7fa4\ASM\GameOfLife\DumpGameBoardMem.py,WD65C02_FPGA\c8869b8999901920b8c009f5a2a19658213fd0f4\ASM\GameOfLife\DumpGameBoardMem.py,file,,17,,"[1,38]",38,,,,,,,2,1,[-2],['c8869b8999901920b8c009f5a2a19658213fd0f4'],"[[{'highest_ratio': 0.8340734759790068, 'best_match_position': (1, 38)}]]",1,[-2],['c8869b8999901920b8c009f5a2a19658213fd0f4'],"[[{'highest_ratio': 0.8340734759790068, 'best_match_position': (1, 38)}]]",0,,,,[],[],[],125,90,88,6,0,2,13.5,14,0,0,0,0,0,0,0,0,0,20,24,3.33,4,38,27,26,2,0,1,10,3,0,0,0,0,0,0,0,7,9,3.5,4.5,,,
15,YapaySinirAglari,2024/1/4 19:56,Python,,0,0,0,1,2,Python,158,created by chatgpt,,YapaySinirAglari\c948221802479c6d9d5885540ebe4dafdc28b6a7\main.py,,method,,0,,"[159,217]",59,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],428,246,237,16,2,3,23.4,75,0,0,0,0,0,0,42,90,1.2,33,27,2.06,1.69,60,30,23,1,0,1,37.5,18,0,0,0,0,0,0,0,7,10,7,10,,,
16,moodify_app,2023/12/18 6:26,Python,,0,0,0,2,98,Python,66,created by chatgpt,,moodify_app\5ecded464869830fb1a278486e96afec36d5b0ac\py script\calculate_mood_score.py,,statement,,0,,"[67,82]",16,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],395,278,190,7,1,3,12.9,41,0,0,0,0,0,1,1,5,0.1,18,18,2.57,2.57,17,13,13,0,0,1,18.8,3,0,0,0,0,0,0,0,0,0,0,0,,,
19,COMS-127,2024/4/5 6:39,Python,,0,0,0,1,3,Python,4,created by chatgpt,,COMS-127\37a36c2f14f7a050e6423e6cceeb79839b7ba639\COMS127\asignments\fourInSequence.py,,file,,0,,"[1,490]",490,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],2795,1593,1453,160,0,40,24.6,520,0,0,0,0,0,3,254,1787,3.7,376,429,2.35,2.68,490,258,217,21,0,1,38,158,0,0,0,0,49,365,4.7,99,151,4.71,7.19,,,
20,Neural-Python-Network,2023/7/8 2:13,Python,,0,0,0,1,1,Python,2,created by chatgpt,,Neural-Python-Network\7f3bc86467805337f15b4586e4322a1a9b820236\ChatGPT Neural Network.py,,file,,0,,"[1,98]",98,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],890,433,293,30,18,12,40.6,296,193,4,2,21.7,0,0,31,80,0.6,37,8,1.23,0.27,98,47,48,6,5,1,40.5,32,0,0,0,0,9,18,1.3,7,1,1.17,0.17,,,
,vim_config,2022/4/13 17:45,Vim Script,2,1,0,0,2,56,Python,1,created by chatgpt,,vim_config\2e21e83b3cbdd2d7d290d4944b33be8ec85ca0fd\scripts\check_copyright_headers.py,,file,,0,,"[1,28]",28,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,neurorient,2023/8/23 1:48,Jupyter Notebook,2,1,0,0,2,110,Python,13,created by chatgpt,,neurorient\1d34765b7588e11c385433277e3b203df300b51c\neurorient\utils_config.py,neurorient\cb5989cda16e674f0b83f3f34f7da17594369be1\neurorient\utils_config.py,method,,11,,"[11,45]",35,,,,,,,2,1,[-2],['cb5989cda16e674f0b83f3f34f7da17594369be1'],"[[{'highest_ratio': 0.8962877918101799, 'best_match_position': (11, 45)}]]",1,[-2],['cb5989cda16e674f0b83f3f34f7da17594369be1'],"[[{'highest_ratio': 0.8962877918101799, 'best_match_position': (11, 45)}]]",0,,,,[],[],[],4335,2693,2172,186,38,33,23.8,840,238,10,2,5.5,0,0,60,277,0.3,481,465,2.59,2.5,36,14,16,2,0,1,53.3,16,0,0,0,0,0,0,0,7,7,3.5,3.5,,,
,arcane_suite,2022/7/28 15:47,Python,,1,0,5,1,88,Python,99,created by chatgpt,,arcane_suite\9e179aee3af5cb249a2047e92136bcfb05fe0ba4\src\arcane_utils\misc.py,arcane_suite\ebcde61e31484ccf3ea30784faf36ec11c949876\src\arcane_utils\misc.py,method,,,,"[84,157]",74,,,,,,,3,2,"[-2, -3]","['ebcde61e31484ccf3ea30784faf36ec11c949876', '0912776edecbb438525dd8467fe18bf55eeddfa7']","[[{'highest_ratio': 0.9770209273697169, 'best_match_position': (84, 157)}], [{'highest_ratio': 0.9770209273697169, 'best_match_position': (90, 163)}]]",1,[-2],['ebcde61e31484ccf3ea30784faf36ec11c949876'],"[[{'highest_ratio': 0.9770209273697169, 'best_match_position': (84, 157)}]]",0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,arcane_suite,2022/7/28 15:47,Python,,1,0,5,1,88,Python,86,created by chatgpt,,arcane_suite\9e179aee3af5cb249a2047e92136bcfb05fe0ba4\src\arcane_utils\casa_wrapper.py,,method,,0,,"[77,112]",36,,,,,,,2,0,[],[],[],0,[],[],[],0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2800-202310-BBY01,2023/4/24 17:50,JavaScript,4,1,1,0,1,1108,Python,8,created by chatgpt,,2800-202310-BBY01\7cdbdc4756bda996b2535cca5fa55a31219cc18d\server\PnCGenerator\Fitness.py,,file,,109,,"[1,36]",36,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],152,116,84,0,0,4,9.4,12,0,0,0,0,0,0,0,0,0,8,8,8,8,36,27,19,0,0,1,10,3,0,0,0,0,0,0,0,2,2,2,2,,,
,demos-python,2013/10/1 11:23,Python,2,5,2,0,4,1489,Python,5,created by chatgpt,,demos-python\b0d26746c4a64930c79a12b3d78f5a4bf2ee6731\src\examples\short\apps\make_video_snippet\create_with_filenames.py,,file,,,,"[1,45]",45,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p13i.github.io,2017/7/16 0:15,JavaScript,2,1,0,17,1,1070,Python,3,created by chatgpt,,p13i.github.io\ebf963deb111d505f0b1e04bfaea56e3d9d5c623\scripts\generate_sitemap.py,,method,,,,"[4,23]",20,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,arcane_suite,2022/7/28 15:47,Python,,1,0,5,1,88,Python,61,created by chatgpt,,arcane_suite\19ca9d9a51fc7873ad6a599a34ab6c531f32ae36\src\arcane_utils\visual_diagnostics.py,arcane_suite\f722233c54e984612b1c906a1ea0e5cac1c9c8b1\src\arcane_utils\visual_diagnostics.py,method,,11,,"[53,114]",62,,,,,,,8,7,"[-2, -3, -4, -5, -6, -7, -8]","['4d0890f91f559686b62206a7c2f43002d8bff6c8', '9e179aee3af5cb249a2047e92136bcfb05fe0ba4', 'e8bb516fa1b6c3dec7087e3aeba9fc3ab84a05bf', 'e50ef45ef30cbc7dbb2741875de3ecd60edcdf52', '0ca03b63d3ff174f3f3813de6ac331e11e1da072', 'ea1a411283dddef5376544509944873c14eb3f42', 'f722233c54e984612b1c906a1ea0e5cac1c9c8b1']","[[{'highest_ratio': 0.9963837481386939, 'best_match_position': (53, 114)}], [{'highest_ratio': 0.7396751740139211, 'best_match_position': (53, 114)}], [{'highest_ratio': 0.6518972425170869, 'best_match_position': (58, 119)}], [{'highest_ratio': 0.6518972425170869, 'best_match_position': (58, 119)}], [{'highest_ratio': 0.6518928901200369, 'best_match_position': (63, 124)}], [{'highest_ratio': 0.577490774907749, 'best_match_position': (80, 141)}], [{'highest_ratio': 0.5824706694271912, 'best_match_position': (97, 158)}]]",6,"[-2, -3, -4, -6, -7, -8]","['4d0890f91f559686b62206a7c2f43002d8bff6c8', '9e179aee3af5cb249a2047e92136bcfb05fe0ba4', 'e8bb516fa1b6c3dec7087e3aeba9fc3ab84a05bf', '0ca03b63d3ff174f3f3813de6ac331e11e1da072', 'ea1a411283dddef5376544509944873c14eb3f42', 'f722233c54e984612b1c906a1ea0e5cac1c9c8b1']","[[{'highest_ratio': 0.9963837481386939, 'best_match_position': (53, 114)}], [{'highest_ratio': 0.7396751740139211, 'best_match_position': (53, 114)}], [{'highest_ratio': 0.6518972425170869, 'best_match_position': (58, 119)}], [{'highest_ratio': 0.6518928901200369, 'best_match_position': (63, 124)}], [{'highest_ratio': 0.577490774907749, 'best_match_position': (80, 141)}], [{'highest_ratio': 0.5824706694271912, 'best_match_position': (97, 158)}]]",3,,,,"[-2, -3, -7]","['4d0890f91f559686b62206a7c2f43002d8bff6c8', '9e179aee3af5cb249a2047e92136bcfb05fe0ba4', 'ea1a411283dddef5376544509944873c14eb3f42']","[[{'highest_ratio': 0.9963837481386939, 'best_match_position': (53, 114)}], [{'highest_ratio': 0.7396751740139211, 'best_match_position': (53, 114)}], [{'highest_ratio': 0.577490774907749, 'best_match_position': (80, 141)}]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,words_guesser,2024/5/7 23:02,Python,,0,0,0,1,19,Python,8,created by chatgpt,,words_guesser\f33868367b0274aaf127ad0246fd2f2d81f78c66\classes\wordsbank.py,,statement,,0,,"[9,160]",152,,,,,,input,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],325,248,83,11,4,7,17.1,51,0,0,0,0,0,0,1,6,0.1,16,12,1.45,1.09,153,152,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
