path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line
chromium-web-store\c24761cdb15e4ccb656eaf531cc0b3bd7a39a0cc\untranslated.py,3,written by chatgpt,,
mathlib4\89aa3a3b2f4e58193a3209d9d2457d951382ef0c\scripts\align-import.py,3,written by chatgpt,,
prompt-optimizer\ea72ca56973559ad5d37b38da96caa22cfb2310d\evaluations\utils.py,8,written by chatgpt,,
assistant\a7074c1438f3ff2488b9ef308f3a52aa8f210e8b\scripts\create_gear_icon.py,1,written by chatgpt,,
rosys\acb8b2a49d060694ef9869633c0c94d446df8174\rosys\vision\image_processing.py,61,written by chatgpt,,
logtest\98b3cff11ce96cb5413de9b7afa4fdd66356dfb0\copier.py,1,written by chatgpt,,
gems-tools-pro\f49b31665a630433ae1eae6eaab76725a947d49c\Scripts\GeMS_DocxToDMU.py,286,written by chatgpt,,
chatgpt-demo\a440d39e4c83133019c42035c45ed52c17615d80\streamlit-app-chatgpt.py,5,written by chatgpt,,
iari\edf1115aec1daa2ffee88fab6047d5cde7b9cd12\src\models\api\handlers\xhtml.py,57,written by chatgpt,,
hpc-intro\2d4ce2596143edad556e207c3262fc1f9b5254db\course_files\scripts\sir_plotter.py,2,written by chatgpt,,
studentPythonStuff\68c573568bc69b221091328788e0b29c9a2ce234\connect4.py,2,written by chatgpt,,
TRGB-BikeComputer\2537af5d089f764d74269c04410485827529af7b\Tools\csv2influx.py,3,written by chatgpt,,
anime_screenshot_pipeline\81792f215048282e87f2086f767843dd1a1cd258\scripts_v1\classify_characters.py,124,written by chatgpt,,
ai_detector\03c5889f311f908d6abd17182a1799b9e5a2e0fd\email_ai_detector.py,1,written by chatgpt,,
LTSuggest\260d4be8d231cdeaf61bae90ebc4a03252657294\ltsuggest.py,1,written by chatgpt,,
CrashBashResearchACE\e323824f71661c7b810392d15f8d4992d09ba6ac\tools\subgraphTools.py,4,written by chatgpt,,
BDSN\f1be4bc554f8765c7f64563e05c5f4505056cfe8\SparkStreamingUtils\StreamRelay3.py,2,written by chatgpt,,
Parse2GPX\9b646d78af9b2a5e26cbbf2f6cbf502ff03fb7db\iski_id_parser.py,1,written by chatgpt,,
dictionary-tools\c2d739ffb1f613e3000cd4ab7b4d95c120ad24ec\scripts\update_pom.py,1,written by chatgpt,,
goldenfile\1c3b23fecb522a3c0127fbbe9e40fd9f8d627c95\goldenfile\runner.py,24,written by chatgpt,,
wscribe-editor\f9e901d618f580c16df2feb20707288826d8ebed\scripts\help_audio_transcript\generate_wscribe_intro_audio.py,44,written by chatgpt,,
WebScraper\0d77f1d9613127049e239ec7cb3516e6d31a7960\Crawler.py,50,written by chatgpt,,
cb2\eff76c722aabee4ec67680cdb1b4be3a1b6a6b71\src\cb2game\server\util.py,175,written by chatgpt,,
Passwordery\10f4b75c7daaf5c7c2fccaa931bfdbdec8cc13b1\src\shared.py,33,written by chatgpt,,
Pandora\08fc34cda653460ead386144ec064a50575838ed\src\pandora.py,280,written by chatgpt,,
LLMmed\623bf87e3aa3c5482849918ce17f1aada07cadba\main_LLMmed.py,36,written by chatgpt,,
uniform-probability-selector\3e0caf628b4678f6aeba707db6ff9c7e8e38554c\gui.py,6,written by chatgpt,,
infra-config\6353168dc698d8726ea75570000de7fe1f56674c\ci\ip_address_duplicates.py,8,written by chatgpt,,
UMU_5TF078_Paper_Keyboard_Tracker\472fb9a50ec25b595d8c8a0b731cb9aa9bd1781a\Program\feed_filter.py,9,written by chatgpt,,
Group08FinalProject\b3d7d21445b8205dbab9179f8622faf281456fb0\GPT.py,31,written by chatgpt,,
PlatformGame\20c6a539a020176502c8b0cfb999d967106f8d13\utils\scene.py,2,written by chatgpt,,
player_rating_kedro\1f3d6b20b4ce2053363580796ec62511d3f3c3ce\src\st_data.py,49,written by chatgpt,,
openu-course-visualizer\700264c4982771e5986b17f15b3c2e6eef95d1a9\course_analyzer.py,41,written by chatgpt,,
ebusd-brink-hru\534e9f7ea8524be980cb4b174dedc06a7bf6966b\src\parse_xaml.py,7,written by chatgpt,,
OffloadingFramework\daaeb4015f1f1e3b7716f36c42e7d7e7a9277dac\spinUpLdScript.py,1,written by chatgpt,,
EEGTetris\5dbbef0dc9f3f5e9b2537973ab462f2988bda0d9\sw\src\plotxdf.py,1,written by chatgpt,,
classifygpt\1cf2f22b72ff0bd6dcf47b13c76ac9c14d35433c\ClassifyGPT\classify.py,23,written by chatgpt,,
ALFFI\a5026a3715c1cbd50b4285a48445200c2e96f3d5\SIR\models\SIR_dnn_cdf_100k.py,23,written by chatgpt,,
gpt-summarizer-main\52c806a5933b721de25b53d62b29591f9c0a9379\summarize.py,19,written by chatgpt,,
CFK_Delete_Python\db808d2f6992ab79a6795a41f864fcee8e07760c\my_multiprocessing.py,2,written by chatgpt,,
Pianobaren\7e5e2bab933962541a736ad1e914c3dfc8bb766a\recordsong2.py,1,written by chatgpt,,
alana-utilities\498cda62e5637fd42ff6e16af2c8cdb1d367748a\alana\color.py,85,written by chatgpt,,
Bird-monitoring-with-NIR-illumination\405a427331d05e4be801557220cda78163e5bdeb\readH264Frames.py,1,written by chatgpt,,
cpppc\922e43fa6773c1f3b22006980fbf52c5aa33526f\src\dev\fileutils.py,38,written by chatgpt,,
phdSideQuests\70077224a7d894e8ce7e5dfd5d2653105eb30ad1\labmeeting-rocketchat\pickle_editor.py,3,written by chatgpt,,
SystemGPT\222807b913f65574fff12f0ffd803a8e20952214\sysGPT.py,8,written by chatgpt,,
scripts\f83e1f14745479d6ef91b37d59ea1be8c99df994\ytd.py,28,written by chatgpt,,
CodeCollab\e29a0ad7eaab2dc64cec1977c0cad0f2b598f72c\model\poc\type_inference_aug.py,18,written by chatgpt,,
full_stack_ChromHMM_annotations\887812af90b02d54330ea44582ac670963e491af\chromHMM_utilities\liftOver\clean_overlapping_bases_and_compress.py,16,written by chatgpt,,
COOD_benchmarking\f5db1edc91d346be5dc197e6c2305b43ec924317\utils\confidence_functions.py,433,written by chatgpt,,
BAD\8f17432451f1cd9bef90581ed6cd4ce4df0c1a54\BAD\mag_reader.py,10,written by chatgpt,,
AIGenerated\46fe66c21199074ed12f5bb393380b0a16ab04d4\MasterMindAI\masterMindGame.py,1,written by chatgpt,,
web3py-cheatsheet\8e9e4f664732fc6a9871f68d65cb7f15a8dc933c\nonpayable-utilities\vanity_generator.py,32,written by chatgpt,,
accuracy_maximization_analysis\ebc88bc3715e0ae5dc3176d856f7b7e7b40e545f\script_to_notebook.py,8,written by chatgpt,,
epa-rss\d39fa0553ff1b331334ebf24492f44022269636b\experiments\download_submissions.py,1,written by chatgpt,,
CSE-6740-Fall23\9b8d6137e4ac4f620708632fac3084ed723de4eb\code\fc.py,2,written by chatgpt,,
backprompt\90a6a8b96e689376f80b59c0bae097d4a2f8f9a1\src\backprompt\_text.py,125,written by chatgpt,,
streamlit_camera\6e787f97c1283a2ecf090d9c959fe67ce2990914\feature_01.py,78,written by chatgpt,,
SnipeBot4\24d1a8dd17ab5cca3a2966281eaf55206e3858bb\cogs\friend.py,75,written by chatgpt,,
calliope\1f4976f34f0b9b9aae578d9c9d8c50e5f8c9d743\calliope\utils\file.py,60,written by chatgpt,,
layers\50f513b6d741b8017b97457a882337886d879426\shared\src\shared\util.py,22,written by chatgpt,,
motlee\fb09c97977edf1be0118ad9bb8a7fd96dce6cad5\motlee\utils\cam_utils.py,59,written by chatgpt,,
