index,project_name,create_time,project_language,contributor,star,fork,issues,watch,project_commits,code_language,keyword_index,matched_keyword,path_of_first_file_commit,final_change_commit_path,code_granularity_data,code_func_type,number_of_bug_or_vulnerability_all_commit,comments,start_end_line_data,first_loc,final_start_end_line_data,final_loc_add,final_loc_minus,final_change_type,test_code_data,regular_expression_data,number_of_commits,number_of_change_commit_to_first,change_commit_to_first_index,change_commit_to_first_hash,change_commit_to_first_blocks,number_of_all_change_commit,all_change_commit_index,all_change_commit_hash,all_change_commit_blocks,number_of_all_change_fix_commit,real_fixed_commit_number,real_fixed_commit_hash,real_fixed_commit_reason,all_change_fix_commit_index,all_change_fix_commit_hash,all_change_fix_commit_blocks,project_lines,project_locs,project_statements,project_functions,project_classes,project_files,project_density_comments,project_comments,project_duplicated_lines,project_duplicated_blocks,project_duplicated_files,project_duplicated_lines_density,project_vulnerability,project_bugs,project_code_smells,project_sqale_index,project_sqale_debt_ratio,project_complexity_all,project_cognitive_complexity_all,project_complexity_mean_method,project_cognitive_complexity_mean_method,code_lines,code_locs,code_statements,code_functions,code_classes,code_files,code_density_comments,code_comments,code_duplicated_lines,code_duplicated_blocks,code_duplicated_files,code_duplicated_lines_density,code_code_smells,code_sqale_index,code_sqale_debt_ratio,code_complexity_all,code_cognitive_complexity_all,code_complexity_mean_method,code_cognitive_complexity_mean_method,manual_vs_gpt_loc_ratio,manual_vs_gpt_change_commit_ratio,manual_vs_gpt_change_fix_commit_ratio
,chromium-web-store,2019-08-17 20:09:31,JavaScript,16.0,2113.0,69.0,9.0,39.0,217.0,Python,3.0,written by chatgpt,chromium-web-store\c24761cdb15e4ccb656eaf531cc0b3bd7a39a0cc\untranslated.py,,file,,,,"[1,43]",43.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mathlib4,2021-05-09 07:52:01,Lean,255.0,911.0,229.0,1066.0,38.0,10895.0,Python,3.0,written by chatgpt,mathlib4\89aa3a3b2f4e58193a3209d9d2457d951382ef0c\scripts\align-import.py,,file,,,,"[1,62]",62.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,prompt-optimizer,2023-04-08 00:38:40,Python,2,209.0,16.0,3.0,5.0,50.0,Python,8.0,written by chatgpt,prompt-optimizer\ea72ca56973559ad5d37b38da96caa22cfb2310d\evaluations\utils.py,,file,,9.0,,"[1,64]",64.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,,,,[],[],[],1174.0,815.0,597.0,69.0,14.0,37.0,9.3,84.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,35.0,0.1,120.0,88.0,1.74,1.28,64.0,43.0,37.0,7.0,0.0,1.0,2.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,1.57,0.57,,,
3.0,assistant,2023-02-18 11:40:28,JavaScript,,118.0,24.0,32.0,4.0,217.0,Python,1.0,written by chatgpt,assistant\a7074c1438f3ff2488b9ef308f3a52aa8f210e8b\scripts\create_gear_icon.py,,file,,44.0,,"[1,73]",73.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,,,,[],[],[],113.0,77.0,66.0,4.0,0.0,2.0,9.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,9.0,7.0,2.25,1.75,73.0,47.0,47.0,3.0,0.0,1.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,2.33,2.0,,,
,rosys,2020-07-20 13:29:11,Python,12.0,56.0,9.0,5.0,8.0,3083.0,Python,61.0,written by chatgpt,rosys\acb8b2a49d060694ef9869633c0c94d446df8174\rosys\vision\image_processing.py,,method,,,,"[61,76]",16.0,,,,,,,2.0,0.0,[],[],[],0.0,[],[],[],0.0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,logtest,2022-12-23 04:30:16,Python,3.0,9.0,8.0,1.0,3.0,61.0,Python,1.0,written by chatgpt,logtest\98b3cff11ce96cb5413de9b7afa4fdd66356dfb0\copier.py,,file,,,,"[1,35]",35.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gems-tools-pro,2020-01-16 17:48:02,Python,8.0,42.0,12.0,32.0,23.0,585.0,Python,286.0,written by chatgpt,gems-tools-pro\f49b31665a630433ae1eae6eaab76725a947d49c\Scripts\GeMS_DocxToDMU.py,,method,,,,"[280,341]",62.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,iari,2021-12-03 18:21:13,Python,7.0,12.0,9.0,59.0,16.0,2189.0,Python,57.0,written by chatgpt,iari\edf1115aec1daa2ffee88fab6047d5cde7b9cd12\src\models\api\handlers\xhtml.py,iari\5a137172cac011d31dd16554751bd558d10b2fe4\src\models\api\handlers\xhtml.py,method,,,,"[56,69]",14.0,,,,,,,9.0,7.0,"[-3, -4, -5, -6, -7, -8, -9]","['0237c5a6680a1d183b4b77c0d7818e79af79e497', '6a9581e801a0d713c0adcfc1792522bd4400e855', 'cea0472f826f364e5eb8315fea827dc5ed137b25', '123fe9fddd48a04df935c7b762914f10e764097d', '5a137172cac011d31dd16554751bd558d10b2fe4', 'e0ada7209ea84bff1fbe3ffa307fe2cbd00e1dd5', 'e481a5c471e1e993f0aa01196bb1a31026996526']","[[{'highest_ratio': 0.9955476402493322, 'best_match_position': (56, 69)}], [{'highest_ratio': 0.9955476402493322, 'best_match_position': (56, 69)}], [{'highest_ratio': 0.9738675958188153, 'best_match_position': (57, 70)}], [{'highest_ratio': 0.7866786678667866, 'best_match_position': (58, 71)}], [{'highest_ratio': 0.7707231040564374, 'best_match_position': (59, 72)}], [{'highest_ratio': 0.7707231040564374, 'best_match_position': (59, 72)}], [{'highest_ratio': 0.7707231040564374, 'best_match_position': (59, 72)}]]",4.0,"[-3, -5, -6, -7]","['0237c5a6680a1d183b4b77c0d7818e79af79e497', 'cea0472f826f364e5eb8315fea827dc5ed137b25', '123fe9fddd48a04df935c7b762914f10e764097d', '5a137172cac011d31dd16554751bd558d10b2fe4']","[[{'highest_ratio': 0.9955476402493322, 'best_match_position': (56, 69)}], [{'highest_ratio': 0.9738675958188153, 'best_match_position': (57, 70)}], [{'highest_ratio': 0.7866786678667866, 'best_match_position': (58, 71)}], [{'highest_ratio': 0.7707231040564374, 'best_match_position': (59, 72)}]]",3.0,,,,"[-3, -5, -7]","['0237c5a6680a1d183b4b77c0d7818e79af79e497', 'cea0472f826f364e5eb8315fea827dc5ed137b25', '5a137172cac011d31dd16554751bd558d10b2fe4']","[[{'highest_ratio': 0.9955476402493322, 'best_match_position': (56, 69)}], [{'highest_ratio': 0.9738675958188153, 'best_match_position': (57, 70)}], [{'highest_ratio': 0.7707231040564374, 'best_match_position': (59, 72)}]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hpc-intro,2021-04-09 10:49:21,Shell,3.0,10.0,13.0,11.0,5.0,109.0,Python,2.0,written by chatgpt,hpc-intro\2d4ce2596143edad556e207c3262fc1f9b5254db\course_files\scripts\sir_plotter.py,,file,,,,"[1,51]",51.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,studentPythonStuff,2018-09-27 12:53:32,Python,,3.0,0.0,0.0,3.0,81.0,Python,2.0,written by chatgpt,studentPythonStuff\68c573568bc69b221091328788e0b29c9a2ce234\connect4.py,,file,,,,"[1,59]",59.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
