index,project_name,create_time,project_language,contributor,star,fork,issues,watch,project_commits,code_language,keyword_index,matched_keyword,path_of_first_file_commit,final_change_commit_path,code_granularity_data,code_func_type,number_of_bug_or_vulnerability_all_commit,start_end_line_data,first_loc,final_start_end_line_data,final_loc_add,final_loc_minus,final_change_type,test_code_data,regular_expression_data,number_of_commits,number_of_change_commit_to_first,change_commit_to_first_index,change_commit_to_first_hash,change_commit_to_first_blocks,number_of_all_change_commit,all_change_commit_index,all_change_commit_hash,all_change_commit_blocks,number_of_all_change_fix_commit,all_change_fix_commit_index,all_change_fix_commit_hash,all_change_fix_commit_blocks,project_lines,project_locs,project_statements,project_functions,project_classes,project_files,project_density_comments,project_comments,project_duplicated_lines,project_duplicated_blocks,project_duplicated_files,project_duplicated_lines_density,project_vulnerability,project_bugs,project_code_smells,project_sqale_index,project_sqale_debt_ratio,project_complexity_all,project_cognitive_complexity_all,project_complexity_mean_method,project_cognitive_complexity_mean_method,code_lines,code_locs,code_statements,code_functions,code_classes,code_files,code_density_comments,code_comments,code_duplicated_lines,code_duplicated_blocks,code_duplicated_files,code_duplicated_lines_density,code_code_smells,code_sqale_index,code_sqale_debt_ratio,code_complexity_all,code_cognitive_complexity_all,code_complexity_mean_method,code_cognitive_complexity_mean_method,manual_vs_gpt_loc_ratio,manual_vs_gpt_change_commit_ratio,manual_vs_gpt_change_fix_commit_ratio,code_vulnerability,code_bugs
0,BibiGPT-v1,2023-02-26 16:05:11,TypeScript,7.0,5006,678,42,32,481,TypeScript,5,generated by chatgpt,BibiGPT-v1\25753bb3f719a0f4c1b39bd136e2ec0d3eeae99d\utils\formatSummary.ts,BibiGPT-v1\b5cfe9a076d46346021a3e970e04f808a69aaa9e\utils\formatSummary.ts,method,,199,"[14,53]",40,,,,,,,2,1.0,[-2],['b5cfe9a076d46346021a3e970e04f808a69aaa9e'],"[[{'highest_ratio': 0.9641751437417072, 'best_match_position': (14, 53)}]]",1.0,[-2],['b5cfe9a076d46346021a3e970e04f808a69aaa9e'],"[[{'highest_ratio': 0.9641751437417072, 'best_match_position': (14, 53)}]]",0.0,[],[],[],1621.0,1087.0,469.0,78.0,0.0,40.0,13.8,174.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,175.0,0.5,211.0,175.0,2.71,2.24,41.0,19.0,9.0,2.0,0.0,1.0,51.3,20.0,0.0,0.0,0.0,0.0,1.0,5.0,0.9,3.0,2.0,1.5,1.0,,,,,
5,chatgpt-web-next,2023-03-16 15:21:29,TypeScript,,102,68,1,5,48,TypeScript,2,generated by chatgpt,chatgpt-web-next\f6eda930dbeaa0150f3a46e01b68a516f5b63802\src\hooks\useCountDown.ts,chatgpt-web-next\74f5728765ce826c6458a6d87f80142cd6eca354\src\hooks\useCountDown.ts,file,,11,"[1,28]",28,,,,,,,2,1.0,[-2],['74f5728765ce826c6458a6d87f80142cd6eca354'],"[[{'highest_ratio': 0.974934036939314, 'best_match_position': (1, 31)}]]",1.0,[-2],['74f5728765ce826c6458a6d87f80142cd6eca354'],"[[{'highest_ratio': 0.974934036939314, 'best_match_position': (1, 31)}]]",0.0,[],[],[],2172.0,1899.0,479.0,147.0,1.0,37.0,0.6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,127.0,0.2,300.0,194.0,2.04,1.32,28.0,17.0,12.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,7.0,1.0,1.17,0.17,,,,,
11,abais,2023-06-30 05:17:57,TypeScript,2.0,3,1,0,3,6,TypeScript,3,generated by chatgpt,abais\2947d0d885332e9151001cc86b383ce3297439d5\utils\userIdGenerator.ts,,method,,0,"[4,27]",24,,,,,,,1,0.0,[],[],[],0.0,[],[],[],0.0,[],[],[],1684.0,1429.0,497.0,96.0,4.0,30.0,1.6,23.0,48.0,2.0,1.0,2.9,0.0,0.0,14.0,98.0,0.2,221.0,168.0,2.3,1.75,25.0,19.0,13.0,2.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.5,0.5,,,,,
13,wxt-examples,2023-09-05 22:56:44,TypeScript,,13,6,4,1,23,TypeScript,15,generated by chatgpt,wxt-examples\9d5e5c96539ca297544c3daf698a1ba6272ea3b1\scripts\parse-git-diff.ts,,method,,1,"[16,60]",45,,,,,,,1,0.0,[],[],[],0.0,[],[],[],0.0,[],[],[],1354.0,599.0,5.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,6.0,0.0,6.0,0.0,46.0,40.0,24.0,2.0,0.0,1.0,4.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,6.5,6.5,,,,,
14,_ts-api-template,2023-06-05 07:25:58,TypeScript,,0,0,0,1,8,TypeScript,1,generated by chatgpt,_ts-api-template\9a7a755504cd72db94f524f362e1511e777ef250\src\api.ts,_ts-api-template\71363bc6eb68af086772ed8c36be39715d64fb7d\src\api.ts,file,,0,"[1,77]",77,,,,,,,2,1.0,[-2],['71363bc6eb68af086772ed8c36be39715d64fb7d'],"[[{'highest_ratio': 0.5051062655258074, 'best_match_position': (1, 55)}]]",1.0,[-2],['71363bc6eb68af086772ed8c36be39715d64fb7d'],"[[{'highest_ratio': 0.5051062655258074, 'best_match_position': (1, 55)}]]",0.0,[],[],[],79.0,57.0,37.0,10.0,0.0,2.0,12.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.3,10.0,0.0,1.0,0.0,77.0,56.0,37.0,10.0,0.0,1.0,12.5,8.0,0.0,0.0,0.0,0.0,1.0,5.0,0.3,10.0,0.0,1.0,0.0,,,,,
15,songify-app,2023-04-06 15:41:44,TypeScript,,2,1,10,2,87,TypeScript,12,generated by chatgpt,songify-app\24ece4b06ccdb13d33afd6cb6c9d98c682879191\server\prisma\seed.ts,,method,,16,"[14,60]",47,,,,,,,1,0.0,[],[],[],0.0,[],[],[],0.0,[],[],[],1840.0,1470.0,268.0,95.0,46.0,63.0,6.6,104.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,122.0,33.0,1.28,0.35,48.0,38.0,17.0,3.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,1.33,,,,,
16,fast-fit-fun,2023-11-28 09:08:57,TypeScript,,1,0,0,2,25,TypeScript,3,generated by chatgpt,fast-fit-fun\dd1bf69cad0da842980982d2c4487a7b0a022a06\src\meow.ts,fast-fit-fun\4398e1ea582d44098d4f4767748ee997aed5e99c\src\meow.ts,statement,,2,"[4,64]",61,,,,,,,2,1.0,[-2],['4398e1ea582d44098d4f4767748ee997aed5e99c'],"[[{'highest_ratio': 0.9576365663322185, 'best_match_position': (4, 64)}]]",1.0,[-2],['4398e1ea582d44098d4f4767748ee997aed5e99c'],"[[{'highest_ratio': 0.9576365663322185, 'best_match_position': (4, 64)}]]",0.0,[],[],[],828.0,27.0,,,,10.0,32.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,62.0,61.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
21,fintrack,2024-04-14 01:00:52,TypeScript,,1,1,0,1,28,TypeScript,26,generated by chatgpt,fintrack\e39079007a57d383b978833e4a7dd24d82329457\src\lib\utils.ts,fintrack\f7272b509e90a8171a03666d9ffdc8e2ed0aef45\src\lib\utils.ts,method,,10,"[[28,38],[43,56],[61,100]]",65,,,,,,,4,3.0,"[-2, -3, -4]","['f7272b509e90a8171a03666d9ffdc8e2ed0aef45', 'c7afa68d06d55a71be94a3ae514eb53f4cab58c0', '0549115f22dc98ee1db70b7e7adb495b70b0999f']","[[{'highest_ratio': 1.0, 'best_match_position': (28, 38)}, {'highest_ratio': 1.0, 'best_match_position': (43, 56)}, {'highest_ratio': 0.8642826367944851, 'best_match_position': (77, 116)}], [{'highest_ratio': 1.0, 'best_match_position': (29, 39)}, {'highest_ratio': 1.0, 'best_match_position': (44, 57)}, {'highest_ratio': 0.8642826367944851, 'best_match_position': (78, 117)}], [{'highest_ratio': 1.0, 'best_match_position': (29, 39)}, {'highest_ratio': 1.0, 'best_match_position': (44, 57)}, {'highest_ratio': 0.8, 'best_match_position': (92, 131)}]]",1.0,[-2],['f7272b509e90a8171a03666d9ffdc8e2ed0aef45'],"[[{'highest_ratio': 1.0, 'best_match_position': (28, 38)}, {'highest_ratio': 1.0, 'best_match_position': (43, 56)}, {'highest_ratio': 0.8642826367944851, 'best_match_position': (77, 116)}]]",0.0,[],[],[],8206.0,71.0,,,,132.0,6.6,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,0.0,0.0,68.0,53.0,27.0,7.0,0.0,1.0,13.1,8.0,0.0,0.0,0.0,0.0,1.0,2.0,0.1,15.0,9.0,2.14,1.29,,,,,
27,chen-overflow,2023-09-26 14:50:42,TypeScript,,0,0,0,1,41,TypeScript,9,generated by chatgpt,chen-overflow\01a7eec2df2579a0fa553407c62525fb86ef70c4\lib\utils.ts,,method,,10,"[[10,52],[55,63]]",52,,,,,,,5,0.0,[],[],[],0.0,[],[],[],0.0,[],[],[],2190.0,266.0,,,,36.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,0.0,,,0.0,0.0,54.0,46.0,33.0,2.0,0.0,1.0,4.2,2.0,0.0,0.0,0.0,0.0,1.0,11.0,0.8,17.0,24.0,8.5,12.0,,,,,
28,Morphify,2023-11-05 18:28:20,TypeScript,,0,0,0,1,5,TypeScript,8,generated by chatgpt,Morphify\b42b6a8fde75e1e26e4fb43a000f720a111ce4e1\lib\utils.ts,,method,,1,"[[9,17],[20,52],[55,62],[65,71]]",57,,,,,,,1,0.0,[],[],[],0.0,[],[],[],0.0,[],[],[],2347.0,56.0,,,,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,0.0,0.0,61.0,45.0,22.0,4.0,0.0,1.0,16.7,9.0,0.0,0.0,0.0,0.0,1.0,2.0,0.1,10.0,7.0,2.5,1.75,,,,,
