path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line
shadow-brreg\8c79f240b167b77b4f9d40336fbc8a4681d694b7\app\shadow\src\initdb.ts,3,written by chatgpt,,
cocalc\f35d1461dbcd3df9d20190ac2388e3964e6f9604\src\packages\util\jupyter-api\chdir-commands.ts,39,written by chatgpt,,
Spellmasons\6afb772dc46604e7678a971013c742b06b4f92b5\src\graphics\Particles.ts,65,written by chatgpt,,
factor\fa8fdc17e29935d1be565650e19fef1cf7d107d8\src\util\webauthn.ts,1,written by chatgpt,,
pinstop\6c8202202ae311c9078e1c70afa46cf492cdcb02\src\lib\utils.ts,8,written by chatgpt,,
userscripts\6b7ed7f4da2314f4c85efe143aba02d2954ea78c\userscripts\@common\string.ts,45,written by chatgpt,,
tsubooru\efb4d46b9a6b0486a1a5c164a9f26d0b28a80ea0\src\common\isNumber.ts,1,written by chatgpt,,
mac-mouse-fix-website\2d72694b6b3131202226f1d43dd3ca32aafcf93a\utils\util.ts,7,written by chatgpt,,
whiskerweb\9a52b42647ff91ba28f974d5cdc29f6172fe1c81\src\engine\HelperFunctions\loadFont.ts,1,written by chatgpt,,
directives-in-practice\b7edf61bf0d1c70f3150489aa37a1e7b261c1fbd\src\app\pages\directive-solutions\tooltip\tooltip.directive.ts,3,written by chatgpt,,
paplico-paint\5aa3eb7384973d44fece23cb5c70c84cc1d944ac\pkgs\core\src\Engine\VectorUtils.ts,26,written by chatgpt,,
scouting-app-2024\c83197ba3adfb9a8c604255361df47ae3023e145\client\src\lib\camelCaseConvert.ts,1,written by chatgpt,,
visualeague\84fa7efe82fc826a1d6a2d6f3d9549bb714ed471\utility\rosterFunctions.ts,454,written by chatgpt,,
react-native-sandbox\e3fd0cda728ac420f53974e824fa6c855b9f26e8\src\screens\ChatExample\mockMessages.ts,7,written by chatgpt,,
sample_inventory\e74d09d03ca7fbf2eeb7f7907a81a1881ac6b587\src\services\order\sale\sale-order.service.ts,67,written by chatgpt,,
realtor-app\f6dbe3ad549f7e9254f3d2c518f6be1047a398cd\src\prisma\prisma.service.ts,15,written by chatgpt,,
pdf-ref-resolver\e3cc309593dea73d71eda3c345ca4f14ebc93d46\src\util\leven.ts,2,written by chatgpt,,
WebTechnologiesProject\7366fbd4a63b5ed3a1ca08f118eec02b01ee36e7\Angular_front-end\src\app\shared.service.ts,240,written by chatgpt,,
felixtjernberg.se\ef8876f7682ba02bb0c8ea0085161f36193260aa\src\lib\components\TextConversation\textConversation.ts,40,written by chatgpt,,
westlandpost.com\b90125ee6c94a8499858191053d27c667a10c0a5\src\common\content-data.ts,7,written by chatgpt,,
GMailAIReplier\e8fd38ebbd360e1b8aa38c8759c1c05212ed7734\main.ts,180,written by chatgpt,,
LeetCode\fd3a49964bdbc1215545252e5b9bb02f8a47ef98\0965-univalued-binary-tree\0965-univalued-binary-tree.ts,15,written by chatgpt,,
TomeOfBaldur\b5f14ffd017d2ea565403d714fdad6d4dc53889e\src\engine\HelperFunctions\loadFont.ts,1,written by chatgpt,,
TOMaTo\aa4aba0f5fd4de393f903e2af094075c420a52c0\src\main\calculator.ts,6,written by chatgpt,,
whiskerweb\9a52b42647ff91ba28f974d5cdc29f6172fe1c81\src\engine\HelperFunctions\compareArrays.ts,1,written by chatgpt,,
whiskerweb\9a52b42647ff91ba28f974d5cdc29f6172fe1c81\src\engine\HelperFunctions\convertToRoman.ts,1,written by chatgpt,,
shadow-brreg\14640d0826f2f9cc1985ba0b92afcc4dc0201bc8\app\shadow\src\index.ts,3,written by chatgpt,,
tsubooru\efb4d46b9a6b0486a1a5c164a9f26d0b28a80ea0\src\common\removeString.ts,1,written by chatgpt,,
whiskerweb\9a52b42647ff91ba28f974d5cdc29f6172fe1c81\src\engine\HelperFunctions\isTouchDevice.ts,1,written by chatgpt,,
sample_inventory\e74d09d03ca7fbf2eeb7f7907a81a1881ac6b587\src\services\order\buy\buy-order.service.ts,96,written by chatgpt,,
cocalc\f716f780ef00c6ba63f421d67a1432ff27db24db\src\packages\util\jupyter-api\setenv-commands.ts,41,written by chatgpt,,
node-mlx\e5974c8a4db719aee2d97b33193d35e14e37f8bf\tests\linalg.spec.ts,5,written by chatgpt,,
node-mlx\bbf65a32812be877f249dfe928c8084fda1980b9\tests\fft.spec.ts,4,written by chatgpt,,
react-minesweeper\30c6a8b3ddb0fba0ab8f8a2d332deb8b19096777\src\test\minesweeper.test.ts,12,written by chatgpt,,
dashboard\94644e0afea8e7ef549c1c6ccc8819d11df11042\utils\generateRandomKey.ts,16,written by chatgpt,,
TomeOfBaldur\b5f14ffd017d2ea565403d714fdad6d4dc53889e\src\engine\HelperFunctions\compareArrays.ts,1,written by chatgpt,,
TomeOfBaldur\b5f14ffd017d2ea565403d714fdad6d4dc53889e\src\engine\HelperFunctions\convertToRoman.ts,1,written by chatgpt,,
TomeOfBaldur\b5f14ffd017d2ea565403d714fdad6d4dc53889e\src\engine\HelperFunctions\isTouchDevice.ts,1,written by chatgpt,,
transcrobes\3195d49ca92c3208fe5cda61715cbb7aa3dc174a\frontend\src\workers\common-db.ts,26,written by copilot,,
appmap-js\b1ae2a30da4f6d6eaf0359ebfb4f130d900ba56a\packages\cli\src\cmds\inventory-report\SummaryReporter.ts,90,written by copilot,,
yiffer.xyz-v3\ea1ce87740b7e5faee09f529c2284096d044f9d8\app\utils\string-distance.ts,1,written by copilot,,
programmingTool\f5aaa1826710a25dc6e834f828a06a0b25bfbed5\src\extension.ts,12,written by copilot,,
chessagon\2b176d6242d89ebe46a5bc66c0a3e07f2c625e91\site\src\lib\game\status.ts,67,written by copilot,,
advent-of-code\ee01cb20b82d36c9479a2539e1de59be9742cb3a\2023\typescript\days\day10\part2\index.ts,257,written by copilot,,
bag-of-holding\4f9fb63cea4b3b6cd0bf8bff33f6a802d4a045e3\tests\utils\formatColorString.ts,3,written by copilot,,
