index,project_name,create_time,project_language,contributor,star,fork,issues,watch,project_commits,code_language,keyword_index,matched_keyword,path_of_first_file_commit,final_change_commit_path,code_granularity_data,code_func_type,number_of_bug_or_vulnerability_all_commit,start_end_line_data,first_loc,final_start_end_line_data,final_loc_add,final_loc_minus,final_change_type,test_code_data,regular_expression_data,number_of_commits,number_of_change_commit_to_first,change_commit_to_first_index,change_commit_to_first_hash,change_commit_to_first_blocks,number_of_all_change_commit,all_change_commit_index,all_change_commit_hash,all_change_commit_blocks,number_of_all_change_fix_commit,all_change_fix_commit_index,all_change_fix_commit_hash,all_change_fix_commit_blocks,project_lines,project_locs,project_statements,project_functions,project_classes,project_files,project_density_comments,project_comments,project_duplicated_lines,project_duplicated_blocks,project_duplicated_files,project_duplicated_lines_density,project_vulnerability,project_bugs,project_code_smells,project_sqale_index,project_sqale_debt_ratio,project_complexity_all,project_cognitive_complexity_all,project_complexity_mean_method,project_cognitive_complexity_mean_method,code_lines,code_locs,code_statements,code_functions,code_classes,code_files,code_density_comments,code_comments,code_duplicated_lines,code_duplicated_blocks,code_duplicated_files,code_duplicated_lines_density,code_code_smells,code_sqale_index,code_sqale_debt_ratio,code_complexity_all,code_cognitive_complexity_all,code_complexity_mean_method,code_cognitive_complexity_mean_method,manual_vs_gpt_loc_ratio,manual_vs_gpt_change_commit_ratio,manual_vs_gpt_change_fix_commit_ratio,code_vulnerability,code_bugs
3,factor,2024-03-27 04:20:36,TypeScript,,0,0,0,2,76,TypeScript,1,written by chatgpt,factor\fa8fdc17e29935d1be565650e19fef1cf7d107d8\src\util\webauthn.ts,factor\1208137170ffc553cc030a1ceaeb84bb1e3c26a4\src\util\webauthn.ts,file,,20,"[1,80]",80,,,,,,,2,1,[-2],['1208137170ffc553cc030a1ceaeb84bb1e3c26a4'],"[[{'highest_ratio': 0.9721147974760839, 'best_match_position': (1, 83)}]]",1,[-2],['1208137170ffc553cc030a1ceaeb84bb1e3c26a4'],"[[{'highest_ratio': 0.9721147974760839, 'best_match_position': (1, 83)}]]",0,[],[],[],440,199.0,110.0,22.0,0.0,9,2.9,6.0,0,0,0,0.0,0,0,5,51,0.9,36.0,40.0,1.64,1.82,81,64.0,28.0,5.0,0.0,1,3.0,2.0,0,0,0,0.0,0,0,0.0,7.0,4.0,1.4,0.8,,,,,
4,pinstop,2024-01-31 13:27:04,TypeScript,,0,0,12,1,98,TypeScript,8,written by chatgpt,pinstop\6c8202202ae311c9078e1c70afa46cf492cdcb02\src\lib\utils.ts,,method,,16,"[10,29]",20,,,,,,,2,0,[],[],[],0,[],[],[],0,[],[],[],2560,212.0,,,,45,7.8,18.0,0,0,0,0.0,0,0,0,0,0.0,1.0,,0.0,0.0,21,18.0,14.0,1.0,0.0,1,0.0,0.0,0,0,0,0.0,0,0,0.0,8.0,12.0,8.0,12.0,,,,,
7,mac-mouse-fix-website,2023-08-09 11:12:39,Vue,,4,3,0,2,546,TypeScript,7,written by chatgpt,mac-mouse-fix-website\2d72694b6b3131202226f1d43dd3ca32aafcf93a\utils\util.ts,,method,,87,"[5,25]",21,,,,,,,2,0,[],[],[],0,[],[],[],0,[],[],[],2732,510.0,,,,33,18.0,112.0,0,0,0,0.0,0,8,4,20,0.1,5.0,,0.0,0.0,22,9.0,4.0,1.0,0.0,1,43.8,7.0,0,0,0,0.0,1,2,0.7,2.0,1.0,2.0,1.0,,,,,
8,whiskerweb,2023-12-30 15:12:55,TypeScript,,0,0,0,1,20,TypeScript,1,written by chatgpt,whiskerweb\9a52b42647ff91ba28f974d5cdc29f6172fe1c81\src\engine\HelperFunctions\loadFont.ts,,file,,1,"[1,53]",53,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],7418,5584.0,2161.0,704.0,54.0,125,9.2,564.0,104,9,4,1.4,0,12,210,1088,0.6,1300.0,903.0,1.85,1.28,53,42.0,27.0,6.0,0.0,1,10.6,5.0,0,0,0,0.0,1,12,1.0,15.0,22.0,2.5,3.67,,,,,
9,directives-in-practice,2023-05-29 20:59:36,TypeScript,,2,1,0,1,75,TypeScript,3,written by chatgpt,directives-in-practice\b7edf61bf0d1c70f3150489aa37a1e7b261c1fbd\src\app\pages\directive-solutions\tooltip\tooltip.directive.ts,directives-in-practice\7ceff90b8329db84cbc47f8d7dafb5679c518754\src\app\pages\directive-solutions\tooltip\tooltip.directive.ts,file,,23,"[1,44]",44,,,,,,,2,1,[-2],['7ceff90b8329db84cbc47f8d7dafb5679c518754'],"[[{'highest_ratio': 0.9930470347648261, 'best_match_position': (1, 52)}]]",1,[-2],['7ceff90b8329db84cbc47f8d7dafb5679c518754'],"[[{'highest_ratio': 0.9930470347648261, 'best_match_position': (1, 52)}]]",1,[-2],['7ceff90b8329db84cbc47f8d7dafb5679c518754'],"[[{'highest_ratio': 0.9930470347648261, 'best_match_position': (1, 52)}]]",1643,208.0,,,,72,1.0,2.0,0,0,0,0.0,0,0,0,0,0.0,15.0,,0.0,0.0,45,36.0,13.0,4.0,1.0,1,2.7,1.0,0,0,0,0.0,1,1,0.1,6.0,2.0,1.5,0.5,,,,,
11,scouting-app-2024,2023-10-29 23:26:32,TypeScript,13.0,2,0,29,4,751,TypeScript,1,written by chatgpt,scouting-app-2024\c83197ba3adfb9a8c604255361df47ae3023e145\client\src\lib\camelCaseConvert.ts,scouting-app-2024\ddce5c3982992c5b4da8304a1cb6ae91d4b5ba33\client\src\lib\camelCaseConvert.ts,file,,150,"[1,6]",6,,,,,,regular expression,2,1,[-2],['ddce5c3982992c5b4da8304a1cb6ae91d4b5ba33'],"[[{'highest_ratio': 0.9403973509933775, 'best_match_position': (1, 9)}]]",1,[-2],['ddce5c3982992c5b4da8304a1cb6ae91d4b5ba33'],"[[{'highest_ratio': 0.9403973509933775, 'best_match_position': (1, 9)}]]",0,[],[],[],3073,36.0,,,,58,0.0,0.0,0,0,0,0.0,0,7,0,0,0.0,2.0,,0.0,0.0,6,4.0,1.0,2.0,0.0,1,0.0,0.0,0,0,0,0.0,1,5,4.2,2.0,0.0,1.0,0.0,,,,,
14,sample_inventory,2024-02-17 10:29:58,TypeScript,2.0,0,0,0,1,294,TypeScript,67,written by chatgpt,sample_inventory\e74d09d03ca7fbf2eeb7f7907a81a1881ac6b587\src\services\order\sale\sale-order.service.ts,sample_inventory\b3355f74968c79a664004de5fd1c5690d45e9d15\src\services\order\sale\sale-order.service.ts,statement,,45,"[66,109]",44,,,,,,,6,4,"[-3, -4, -5, -6]","['b3355f74968c79a664004de5fd1c5690d45e9d15', '7d5963519a6ae2f86eb534cfe0fb9f0967fb5756', 'e4dcb41d0a0fc921dc0741aa9451e1734de32682', 'ec56695bf944181e9e3700f87588e07b9976289c']","[[{'highest_ratio': 0.926984126984127, 'best_match_position': (67, 110)}], [{'highest_ratio': 0.926984126984127, 'best_match_position': (65, 108)}], [{'highest_ratio': 0.926984126984127, 'best_match_position': (65, 108)}], [{'highest_ratio': 0.926984126984127, 'best_match_position': (62, 105)}]]",1,[-3],['b3355f74968c79a664004de5fd1c5690d45e9d15'],"[[{'highest_ratio': 0.926984126984127, 'best_match_position': (67, 110)}]]",0,[],[],[],2591,2299.0,468.0,153.0,36.0,50,3.4,80.0,54,2,2,2.1,0,0,89,365,0.5,237.0,156.0,1.55,1.02,45,43.0,3.0,1.0,0.0,1,2.3,1.0,0,0,0,0.0,15,142,11.0,8.0,7.0,8.0,7.0,,,,,
16,pdf-ref-resolver,2023-02-27 17:06:02,TypeScript,,1,0,0,5,49,TypeScript,2,written by chatgpt,pdf-ref-resolver\e3cc309593dea73d71eda3c345ca4f14ebc93d46\src\util\leven.ts,pdf-ref-resolver\e297657eda519fdc914c2213eaea5b44c6a00a1e\src\util\leven.ts,method,,6,"[10,39]",30,,,,,,,2,1,[-2],['e297657eda519fdc914c2213eaea5b44c6a00a1e'],"[[{'highest_ratio': 0.9461077844311377, 'best_match_position': (15, 44)}]]",1,[-2],['e297657eda519fdc914c2213eaea5b44c6a00a1e'],"[[{'highest_ratio': 0.9461077844311377, 'best_match_position': (15, 44)}]]",0,[],[],[],1782,,,,,19,,,0,0,0,0.0,0,0,0,0,0.0,,,0.0,0.0,31,23.0,15.0,2.0,0.0,1,23.3,7.0,0,0,0,0.0,0,0,0.0,7.0,8.0,3.5,4.0,,,,,
17,WebTechnologiesProject,2023-09-27 11:06:10,TypeScript,4.0,1,0,0,1,459,TypeScript,240,written by chatgpt,WebTechnologiesProject\7366fbd4a63b5ed3a1ca08f118eec02b01ee36e7\Angular_front-end\src\app\shared.service.ts,,method,,55,"[[233,241],[252,262],[264,273]]",30,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],10164,5320.0,,,,151,4.0,223.0,681,31,13,6.7,0,94,38,54,0.0,43.0,,0.0,0.0,33,14.0,10.0,2.0,0.0,1,17.6,3.0,0,0,0,0.0,1,5,1.2,2.0,0.0,1.0,0.0,,,,,
20,GMailAIReplier,2024-01-17 11:28:34,TypeScript,,11,2,0,1,4,TypeScript,180,written by chatgpt,GMailAIReplier\e8fd38ebbd360e1b8aa38c8759c1c05212ed7734\main.ts,,method,,0,"[185,196]",12,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],324,,,,,1,,,0,0,0,0.0,0,0,0,0,0.0,,,0.0,0.0,13,10.0,2.0,1.0,0.0,1,41.2,7.0,0,0,0,0.0,1,2,0.7,1.0,0.0,1.0,0.0,,,,,
22,TomeOfBaldur,2023-10-04 17:31:28,TypeScript,,0,0,0,1,16,TypeScript,1,written by chatgpt,TomeOfBaldur\b5f14ffd017d2ea565403d714fdad6d4dc53889e\src\engine\HelperFunctions\loadFont.ts,,file,,1,"[1,53]",53,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],12281,9673.0,3765.0,935.0,69.0,163,10.1,1086.0,46,4,3,0.4,2,12,337,2105,0.7,2011.0,1666.0,2.15,1.78,53,42.0,27.0,6.0,0.0,1,10.6,5.0,0,0,0,0.0,1,12,1.0,15.0,22.0,2.5,3.67,,,,,
23,TOMaTo,2023-04-29 03:37:12,TypeScript,2.0,0,0,0,2,91,TypeScript,6,written by chatgpt,TOMaTo\aa4aba0f5fd4de393f903e2af094075c420a52c0\src\main\calculator.ts,TOMaTo\61408ab21163b0c846ebfa6d3603e26fff770093\src\main\calculator.ts,method,,9,"[13,44]",32,,,,,,,3,1,[-2],['61408ab21163b0c846ebfa6d3603e26fff770093'],"[[{'highest_ratio': 0.9762266059686393, 'best_match_position': (13, 44)}]]",1,[-2],['61408ab21163b0c846ebfa6d3603e26fff770093'],"[[{'highest_ratio': 0.9762266059686393, 'best_match_position': (13, 44)}]]",0,[],[],[],1559,,,,,23,,,0,0,0,0.0,0,0,0,0,0.0,,,0.0,0.0,33,29.0,17.0,4.0,0.0,1,3.3,1.0,0,0,0,0.0,0,0,0.0,5.0,3.0,1.25,0.75,,,,,
24,whiskerweb,2023-12-30 15:12:55,TypeScript,,0,0,0,1,20,TypeScript,1,written by chatgpt,whiskerweb\9a52b42647ff91ba28f974d5cdc29f6172fe1c81\src\engine\HelperFunctions\compareArrays.ts,whiskerweb\9a52b42647ff91ba28f974d5cdc29f6172fe1c81\src\engine\HelperFunctions\compareArrays.ts,file,,1,"[8,23]",16,,,,,,,1,1,[-1],['9a52b42647ff91ba28f974d5cdc29f6172fe1c81'],"[[{'highest_ratio': 0.8252427184466019, 'best_match_position': (1, 23)}]]",1,[-1],['9a52b42647ff91ba28f974d5cdc29f6172fe1c81'],"[[{'highest_ratio': 0.8252427184466019, 'best_match_position': (1, 23)}]]",0,[],[],[],7418,5584.0,2161.0,704.0,54.0,125,9.2,564.0,104,9,4,1.4,0,12,210,1088,0.6,1300.0,903.0,1.85,1.28,16,13.0,9.0,1.0,0.0,1,0.0,0.0,0,0,0,0.0,0,0,0.0,4.0,4.0,4.0,4.0,,,,,
25,whiskerweb,2023-12-30 15:12:55,TypeScript,,0,0,0,1,20,TypeScript,1,written by chatgpt,whiskerweb\9a52b42647ff91ba28f974d5cdc29f6172fe1c81\src\engine\HelperFunctions\convertToRoman.ts,,file,,1,"[1,19]",19,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],7418,5584.0,2161.0,704.0,54.0,125,9.2,564.0,104,9,4,1.4,0,12,210,1088,0.6,1300.0,903.0,1.85,1.28,19,12.0,9.0,1.0,0.0,1,14.3,2.0,0,0,0,0.0,0,0,0.0,3.0,3.0,3.0,3.0,,,,,
28,whiskerweb,2023-12-30 15:12:55,TypeScript,,0,0,0,1,20,TypeScript,1,written by chatgpt,whiskerweb\9a52b42647ff91ba28f974d5cdc29f6172fe1c81\src\engine\HelperFunctions\isTouchDevice.ts,,file,,1,"[1,5]",5,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],7418,5584.0,2161.0,704.0,54.0,125,9.2,564.0,104,9,4,1.4,0,12,210,1088,0.6,1300.0,903.0,1.85,1.28,5,3.0,1.0,1.0,0.0,1,25.0,1.0,0,0,0,0.0,0,0,0.0,3.0,1.0,3.0,1.0,,,,,
